tscriptid,tscriptname,ottdartid,status,ensdartid,tname,comments
ZDB-TSCRIPT-090929-16958,atp5g3b-003,OTTDART00000036479,retained intron,ENSDART00000133700.2,atp5mc3b-202,
ZDB-TSCRIPT-090929-16960,bmpr2a-002,OTTDART00000036481,retained intron,ENSDART00000148145.2,bmpr2a-202,
ZDB-TSCRIPT-120213-668,bmpr2a-003,OTTDART00000054279,,ENSDART00000150955.2,bmpr2a-203,
ZDB-TSCRIPT-090929-16962,gpd2-002,OTTDART00000036483,retained intron,ENSDART00000140453.2,gpd2-202,
ZDB-TSCRIPT-090929-16963,gpd2-003,OTTDART00000036484,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-16966,dytn-003,OTTDART00000036487,retained intron,ENSDART00000109036.4,dytn-202,
ZDB-TSCRIPT-090929-16970,hdlbpa-003,OTTDART00000036491,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-16971,hdlbpa-004,OTTDART00000036492,retained intron,ENSDART00000133439.2,hdlbpa-202,
ZDB-TSCRIPT-090929-16973,slco2a1-002,OTTDART00000036496,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-16979,zbtb11-002,OTTDART00000036502,retained intron,ENSDART00000008841.10,zbtb11-201,
ZDB-TSCRIPT-090929-16986,os9-004,OTTDART00000036509,retained intron,ENSDART00000143355.2,os9-204,
ZDB-TSCRIPT-090929-16985,os9-003,OTTDART00000036508,,ENSDART00000138171.3,os9-203,
ZDB-TSCRIPT-090929-16984,os9-002,OTTDART00000036507,,ENSDART00000041882.9,os9-201,
ZDB-TSCRIPT-090929-16991,ruvbl1-002,OTTDART00000036514,retained intron,ENSDART00000142652.2,ruvbl1-202,
ZDB-TSCRIPT-090929-16993,ptgis-002,OTTDART00000036516,retained intron,ENSDART00000127906.3,ptgis-202,
ZDB-TSCRIPT-090929-16994,ptgis-003,OTTDART00000036517,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17013,acox1-003,OTTDART00000036541,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17018,barhl2-002,OTTDART00000036546,retained intron,ENSDART00000163726.2,barhl2-201,
ZDB-TSCRIPT-090929-17024,baxa-002,OTTDART00000036552,retained intron,ENSDART00000146063.2,baxa-202,
ZDB-TSCRIPT-120213-992,baxa-003,OTTDART00000053697,,ENSDART00000151650.2,baxa-205,
ZDB-TSCRIPT-090929-17029,rae1-003,OTTDART00000036557,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17028,rae1-002,OTTDART00000036556,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17035,elavl3-003,OTTDART00000036563,retained intron,ENSDART00000133036.2,elavl3-203,
ZDB-TSCRIPT-090929-17040,uap1-003,OTTDART00000036568,retained intron,ENSDART00000145997.2,uap1-204,
ZDB-TSCRIPT-090929-17046,mtif2-002,OTTDART00000036583,retained intron,ENSDART00000133020.2,mtif2-202,
ZDB-TSCRIPT-090929-17048,ilf3a-002,OTTDART00000036585,retained intron,ENSDART00000123420.3,ilf3a-203,
ZDB-TSCRIPT-090929-17049,ilf3a-003,OTTDART00000036586,retained intron,ENSDART00000137765.2,ilf3a-206,
ZDB-TSCRIPT-090929-17050,ilf3a-004,OTTDART00000036587,retained intron,ENSDART00000143544.3,ilf3a-208,
ZDB-TSCRIPT-090929-17051,ilf3a-005,OTTDART00000036588,retained intron,ENSDART00000044218.8,ilf3a-201,
ZDB-TSCRIPT-090929-17053,ilf3a-007,OTTDART00000036590,retained intron,ENSDART00000138558.3,ilf3a-207,
ZDB-TSCRIPT-090929-17054,ilf3a-008,OTTDART00000036591,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17073,fhl2b-002,OTTDART00000036610,retained intron,ENSDART00000138078.2,fhl2b-202,
ZDB-TSCRIPT-090929-17077,ryk-002,OTTDART00000036614,retained intron,ENSDART00000132097.2,ryk-203,
ZDB-TSCRIPT-090929-17087,eif4bb-003,OTTDART00000036624,retained intron,ENSDART00000128034.3,eif4bb-203,
ZDB-TSCRIPT-090929-17094,sumf1-003,OTTDART00000036631,retained intron,ENSDART00000141557.2,sumf1-203,
ZDB-TSCRIPT-090929-17100,myl6-006,OTTDART00000036637,retained intron,ENSDART00000137333.3,myl6-204,
ZDB-TSCRIPT-090929-17097,myl6-003,OTTDART00000036634,,ENSDART00000138100.2,myl6-205,
ZDB-TSCRIPT-090929-17108,cish-004,OTTDART00000036645,retained intron,ENSDART00000140573.2,cish-204,
ZDB-TSCRIPT-090929-17110,ba1-002,OTTDART00000036648,retained intron,ENSDART00000145522.2,hbba1-203,
ZDB-TSCRIPT-090929-17111,ba1-003,OTTDART00000036649,retained intron,ENSDART00000142014.2,hbba1-202,
ZDB-TSCRIPT-090929-17115,zgc:162324-002,OTTDART00000036654,retained intron,ENSDART00000147717.3,zgc:162324-203,
ZDB-TSCRIPT-090929-17117,ncoa5-002,OTTDART00000036656,NMD,ENSDART00000135296,,
ZDB-TSCRIPT-090929-17118,ncoa5-003,OTTDART00000036657,retained intron,ENSDART00000141700.2,ncoa5-203,
ZDB-TSCRIPT-090929-17122,trim25-003,OTTDART00000036671,retained intron,ENSDART00000170928.2,trim25-203,
ZDB-TSCRIPT-090929-17125,mul1b-002,OTTDART00000036674,retained intron,ENSDART00000142737.2,mul1b-202,
ZDB-TSCRIPT-090929-17135,thumpd3-006,OTTDART00000036684,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17132,thumpd3-003,OTTDART00000036681,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17133,thumpd3-004,OTTDART00000036682,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17130,thumpd3-001,:OTTDART00000036679,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17141,nprl2-002,OTTDART00000036690,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17145,hsd17b7-002,OTTDART00000036694,retained intron,ENSDART00000145693.3,hsd17b7-203,
ZDB-TSCRIPT-090929-17146,hsd17b7-003,OTTDART00000036695,retained intron,ENSDART00000132146.2,hsd17b7-202,
ZDB-TSCRIPT-090929-17151,noc3l-002,OTTDART00000036702,retained intron,ENSDART00000123511.3,noc3l-202,
ZDB-TSCRIPT-090929-17153,ottdart00000036705,OTTDART00000036705,retained intron,ENSDART00000171385.2,arnt2-205,
ZDB-TSCRIPT-090929-17154,arnt2-003,OTTDART00000036706,retained intron,ENSDART00000160229.2,arnt2-202,
ZDB-TSCRIPT-141209-1198,arnt2-005,OTTDART00000062216,,ENSDART00000164258.2,arnt2-203,
ZDB-TSCRIPT-090929-17159,nrbf2b-002,OTTDART00000036711,retained intron,ENSDART00000141883.2,nrbf2b-202,
ZDB-TSCRIPT-090929-17161,htatip2-002,OTTDART00000036713,retained intron,ENSDART00000140367.2,htatip2-203,
ZDB-TSCRIPT-090929-17170,mus81-003,OTTDART00000036724,retained intron,ENSDART00000133028.2,mus81-202,
ZDB-TSCRIPT-090929-17171,mus81-004,OTTDART00000036725,retained intron,ENSDART00000139646.2,mus81-203,
ZDB-TSCRIPT-090929-17184,rbm4.2-004,OTTDART00000036738,retained intron,ENSDART00000133632.2,rbm4.2-203,
ZDB-TSCRIPT-090929-17184,rbm4.2-004,OTTDART00000036738,,ENSDART00000140914.2,rbm4.2-204,
ZDB-TSCRIPT-090929-17186,sf1-002,OTTDART00000036740,NMD,ENSDART00000020212,,
ZDB-TSCRIPT-090929-17188,sf1-004,OTTDART00000036742,retained intron,ENSDART00000139321.2,sf1-203,
ZDB-TSCRIPT-090929-17190,rbm4.1-002,OTTDART00000036744,retained intron,ENSDART00000148054.2,rbm4.1-202,
ZDB-TSCRIPT-090929-17194,ptgr1-002,OTTDART00000036748,retained intron,ENSDART00000141769.3,ptgr1-203,
ZDB-TSCRIPT-090929-17195,ptgr1-003,OTTDART00000036749,retained intron,ENSDART00000146784.2,ptgr1-204,
ZDB-TSCRIPT-090929-17196,ptgr1-004,OTTDART00000036750,retained intron,ENSDART00000137661.3,ptgr1-202,
ZDB-TSCRIPT-090929-17203,pvalb9-002,OTTDART00000036757,retained intron,ENSDART00000147282.2,pvalb9-202,
ZDB-TSCRIPT-090929-17210,atpaf2-002,OTTDART00000036764,retained intron,ENSDART00000145024.2,atpaf2-205,
ZDB-TSCRIPT-090929-17212,atpaf2-004,OTTDART00000036766,retained intron,ENSDART00000139407.3,atpaf2-204,
ZDB-TSCRIPT-090929-17213,atpaf2-005,OTTDART00000036767,retained intron,ENSDART00000134297.2,atpaf2-203,
ZDB-TSCRIPT-090929-17215,zc3hc1-002,OTTDART00000036769,retained intron,ENSDART00000146156.2,zc3hc1-202,
ZDB-TSCRIPT-090929-17219,caprin2-002,OTTDART00000036773,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17227,eif4a1a-002,OTTDART00000036781,retained intron,ENSDART00000140694.2,eif4a1a-202,
ZDB-TSCRIPT-090929-17228,eif4a1a-003,OTTDART00000036782,retained intron,ENSDART00000146681.2,eif4a1a-204,
ZDB-TSCRIPT-090929-17229,eif4a1a-004,OTTDART00000036783,retained intron,ENSDART00000142772.2,eif4a1a-203,
ZDB-TSCRIPT-160623-334,eif4a1a-005,OTTDART00000063581,,ENSDART00000173617.2,eif4a1a-205,
ZDB-TSCRIPT-090929-17232,mpdu1b-002,OTTDART00000036786,retained intron,ENSDART00000139530.2,mpdu1b-202,
ZDB-TSCRIPT-090929-17239,phf21aa-003,OTTDART00000036793,retained intron,ENSDART00000133491.2,phf21aa-203,
ZDB-TSCRIPT-090929-17240,phf21aa-004,OTTDART00000036794,retained intron,ENSDART00000133486.2,phf21aa-202,
ZDB-TSCRIPT-090929-17250,ptpmt1-003,OTTDART00000036804,retained intron,ENSDART00000143017.2,ptpmt1-202,
ZDB-TSCRIPT-090929-17252,gpatch1-002,OTTDART00000036806,retained intron,ENSDART00000130085.3,gpatch1-202,
ZDB-TSCRIPT-090929-17258,ctrb1-002,OTTDART00000036812,retained intron,ENSDART00000134525.2,ctrb1-202,
ZDB-TSCRIPT-090929-17270,aktip-002,OTTDART00000036824,NMD,ENSDART00000029565,,
ZDB-TSCRIPT-090929-17273,aktip-005,OTTDART00000036827,NMD,ENSDART00000138409,,
ZDB-TSCRIPT-090929-17277,tmem106a-004,OTTDART00000036831,retained intron,ENSDART00000145952.2,tmem106a-205,
ZDB-TSCRIPT-090929-17278,tmem106a-005,OTTDART00000036832,,ENSDART00000143389.3,tmem106a-204,
ZDB-TSCRIPT-090929-17280,nbr1-002,OTTDART00000036834,retained intron,ENSDART00000138141.2,,
ZDB-TSCRIPT-090929-17281,nbr1-003,OTTDART00000036835,,ENSDART00000142025.2,nbr1a-203,
ZDB-TSCRIPT-090929-17287,slc38a4-002,OTTDART00000036841,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17288,slc38a4-003,OTTDART00000036842,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-110325-1810,slc38a4-005,OTTDART00000051169,,ENSDART00000149826.3,slc38a4-202,
ZDB-TSCRIPT-090929-17291,bc2-003,OTTDART00000036845,retained intron,ENSDART00000143302.2,chmp2a-203,
ZDB-TSCRIPT-090929-17292,bc2-004,OTTDART00000036846,retained intron,ENSDART00000145352.2,chmp2a-204,
ZDB-TSCRIPT-090929-17293,bc2-005,OTTDART00000036847,retained intron,ENSDART00000139255.2,chmp2a-202,
ZDB-TSCRIPT-090929-17301,oaz2b-002,OTTDART00000036855,retained intron,ENSDART00000144101.2,oaz2b-202,
ZDB-TSCRIPT-090929-17307,fam53b-003,OTTDART00000036861,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17306,fam53b-002,OTTDART00000036860,NMD,ENSDART00000135393,,
ZDB-TSCRIPT-090929-17333,cct7-002,OTTDART00000036888,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17334,cct7-003,OTTDART00000036889,,ENSDART00000128363.3,cct7-202,
ZDB-TSCRIPT-090929-17336,hspa12b-002,OTTDART00000036891,retained intron,ENSDART00000131442.2,hspa12b-202,
ZDB-TSCRIPT-090929-17338,adprh-002,OTTDART00000036893,retained intron,ENSDART00000145498.2,adprh-202,
ZDB-TSCRIPT-090929-17344,pde5ab-003,OTTDART00000036899,retained intron,ENSDART00000126819.3,pde5ab-202,
ZDB-TSCRIPT-090929-17350,parp12b-002,OTTDART00000036905,retained intron,ENSDART00000138321.3,parp12b-202,
ZDB-TSCRIPT-090929-17352,oraov1-002,OTTDART00000036907,retained intron,ENSDART00000172253.2,lto1-202,
ZDB-TSCRIPT-090929-17361,arntl1b-003,OTTDART00000036917,retained intron,ENSDART00000147837.2,arntl1b-204,
ZDB-TSCRIPT-090929-17362,arntl1b-004,OTTDART00000036918,retained intron,ENSDART00000133011.3,arntl1b-202,
ZDB-TSCRIPT-090929-17368,rsph10b-002,OTTDART00000036924,retained intron,ENSDART00000136499.2,rsph10b-202,
ZDB-TSCRIPT-090929-17376,tas1r1-002,OTTDART00000036932,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17383,mlst8-002,OTTDART00000036939,retained intron,ENSDART00000131995.3,mlst8-202,
ZDB-TSCRIPT-090929-17397,rnasen-002,OTTDART00000036953,retained intron,ENSDART00000144223.2,drosha-202,
ZDB-TSCRIPT-090929-17401,lsm5-004,OTTDART00000036957,retained intron,ENSDART00000138363.2,lsm5-203,
ZDB-TSCRIPT-090929-17404,ankrd16-002,OTTDART00000036960,retained intron,ENSDART00000147424.2,ankrd16-203,
ZDB-TSCRIPT-090929-17405,ankrd16-003,OTTDART00000036961,retained intron,ENSDART00000131541.2,ankrd16-202,
ZDB-TSCRIPT-090929-17412,ormdl3-002,OTTDART00000036971,NMD,ENSDART00000132731,,
ZDB-TSCRIPT-090929-17415,foxn2b-002,OTTDART00000036974,retained intron,ENSDART00000140262.2,foxn2b-202,
ZDB-TSCRIPT-090929-17418,ndufs2-002,OTTDART00000036977,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17421,cmasa-002,OTTDART00000036980,retained intron,ENSDART00000131666.2,cmasa-202,
ZDB-TSCRIPT-090929-17424,zgc:110591-002,OTTDART00000036983,retained intron,ENSDART00000140102.2,zgc:110591-202,
ZDB-TSCRIPT-090929-17427,zgc:171713-002,OTTDART00000036988,NMD,ENSDART00000147659,,
ZDB-TSCRIPT-090929-17429,epyc-003,OTTDART00000036990,retained intron,ENSDART00000134449.2,epyc-204,
ZDB-TSCRIPT-090929-17430,epyc-004,OTTDART00000036991,retained intron,ENSDART00000140488.2,epyc-205,
ZDB-TSCRIPT-090929-17435,zgc:114045-002,OTTDART00000036996,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17437,zgc:114045-003,OTTDART00000036998,retained intron,ENSDART00000135739.2,zgc:114045-201,
ZDB-TSCRIPT-090929-17445,nup37-003,OTTDART00000037007,retained intron,ENSDART00000141050.2,nup37-205,
ZDB-TSCRIPT-090929-17446,nup37-004,OTTDART00000037008,,ENSDART00000133750.2,nup37-203,
ZDB-TSCRIPT-090929-17448,cldn7a-002,OTTDART00000037010,retained intron,ENSDART00000135972.2,cldn7a-202,
ZDB-TSCRIPT-090929-17463,acsf2-005,OTTDART00000037028,retained intron,ENSDART00000144634.2,acsf2-205,
ZDB-TSCRIPT-090929-17465,tinf2-002,OTTDART00000037030,NMD,ENSDART00000137481,,
ZDB-TSCRIPT-090929-17471,crygmxl2-002,OTTDART00000037036,retained intron,ENSDART00000133829.2,crygmxl2-202,
ZDB-TSCRIPT-090929-17478,lrrc59-002,OTTDART00000037043,retained intron,ENSDART00000134006.2,lrrc59-202,
ZDB-TSCRIPT-090929-17479,lrrc59-003,OTTDART00000037044,retained intron,ENSDART00000137965.2,lrrc59-203,
ZDB-TSCRIPT-090929-17499,txn-002,OTTDART00000037067,retained intron,ENSDART00000134562.2,txn-203,
ZDB-TSCRIPT-090929-17500,txn-003,OTTDART00000037068,retained intron,ENSDART00000134361.2,txn-202,
ZDB-TSCRIPT-090929-17508,hmgb3a-002,OTTDART00000037077,retained intron,ENSDART00000135728.3,hmgb3a-203,
ZDB-TSCRIPT-090929-17509,hmgb3a-003,OTTDART00000037078,NMD,ENSDART00000123056,,
ZDB-TSCRIPT-090929-17513,tnk1-004,OTTDART00000037082,retained intron,ENSDART00000139678.2,tnk1-202,
ZDB-TSCRIPT-090929-17533,ano5b-003,OTTDART00000037102,retained intron,ENSDART00000143076.2,ano5b-203,
ZDB-TSCRIPT-090929-17537,cct8-004,OTTDART00000037106,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17538,cct8-005,OTTDART00000037107,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17535,cct8-002,OTTDART00000037104,,,,
ZDB-TSCRIPT-090929-17536,cct8-003,OTTDART00000037105,,,,
ZDB-TSCRIPT-090929-17561,abca5-002,OTTDART00000037130,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17571,dph2-003,OTTDART00000037140,retained intron,ENSDART00000136739.2,dph2-202,
ZDB-TSCRIPT-090929-17580,lhpp-002,OTTDART00000037149,retained intron,ENSDART00000142602.2,lhpp-202,
ZDB-TSCRIPT-090929-17583,pora-003,OTTDART00000037152,retained intron,ENSDART00000134666.2,pora-202,
ZDB-TSCRIPT-090929-17582,pora-002,OTTDART00000037151,,ENSDART00000139229.3,pora-203,
ZDB-TSCRIPT-090929-17586,zgc:158564-002,OTTDART00000037155,retained intron,ENSDART00000047271.7,zgc:158564-201,
ZDB-TSCRIPT-090929-17587,zgc:158564-003,OTTDART00000037156,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17588,zgc:158564-004,OTTDART00000037157,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17589,zgc:158564-005,OTTDART00000037158,retained intron,ENSDART00000138994.2,zgc:158564-202,
ZDB-TSCRIPT-090929-17595,tnni2b.1-003,OTTDART00000037164,retained intron,ENSDART00000136736.2,tnni2b.1-202,
ZDB-TSCRIPT-160623-433,tnni2b.1-005,OTTDART00000063887,,ENSDART00000173783.2,tnni2b.1-205,
ZDB-TSCRIPT-090929-17600,msi2a-002,OTTDART00000037173,retained intron,ENSDART00000135642.3,msi2a-204,
ZDB-TSCRIPT-090929-17601,msi2a-003,OTTDART00000037174,retained intron,ENSDART00000141183.2,msi2a-205,
ZDB-TSCRIPT-090929-17602,msi2a-004,OTTDART00000037175,retained intron,ENSDART00000134104.3,msi2a-203,
ZDB-TSCRIPT-090929-17607,zgc:162297-002,OTTDART00000037180,retained intron,ENSDART00000172591.2,zgc:162297-202,
ZDB-TSCRIPT-090929-17631,haus6-002,OTTDART00000037204,retained intron,ENSDART00000162743.2,haus6-202,
ZDB-TSCRIPT-090929-17632,haus6-003,OTTDART00000037205,,ENSDART00000164104.2,haus6-203,
ZDB-TSCRIPT-090929-17638,tpi1b-004,OTTDART00000037212,retained intron,ENSDART00000142808.2,tpi1b-203,
ZDB-TSCRIPT-090929-17637,tpi1b-003,OTTDART00000037211,,ENSDART00000144649.3,tpi1b-204,
ZDB-TSCRIPT-090929-17643,ist1-003,OTTDART00000037217,retained intron,ENSDART00000143168.2,ist1-204,
ZDB-TSCRIPT-090929-17644,ist1-004,OTTDART00000037218,retained intron,ENSDART00000137729.2,ist1-203,
ZDB-TSCRIPT-090929-17651,ewsr1a-003,OTTDART00000037225,retained intron,ENSDART00000138942.2,ewsr1a-202,
ZDB-TSCRIPT-090929-17652,ewsr1a-004,OTTDART00000037226,retained intron,ENSDART00000146734.3,ewsr1a-204,
ZDB-TSCRIPT-090929-17662,dap3-002,OTTDART00000037236,retained intron,ENSDART00000140513.2,dap3-202,
ZDB-TSCRIPT-090929-17667,lyrm7-002,OTTDART00000037241,retained intron,ENSDART00000144284.2,lyrm7-202,
ZDB-TSCRIPT-090929-17675,nop2-002,OTTDART00000037249,retained intron,ENSDART00000129638.3,nop2-202,
ZDB-TSCRIPT-090929-17676,aak1a-002,OTTDART00000037250,retained intron,ENSDART00000132508.2,aak1a-202,
ZDB-TSCRIPT-090929-17688,cse1l-002,OTTDART00000037262,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-141209-3050,cse1l-003,OTTDART00000060210,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17691,dazap1-003,OTTDART00000037265,NMD,ENSDART00000145516,,
ZDB-TSCRIPT-090929-17692,dazap1-004,OTTDART00000037266,retained intron,ENSDART00000142935.2,dazap1-203,
ZDB-TSCRIPT-090929-17696,erbb2ip-003,OTTDART00000037270,retained intron,ENSDART00000122614.3,erbin-202,
ZDB-TSCRIPT-090929-17697,erbb2ip-004,OTTDART00000037271,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17700,lin54-003,OTTDART00000037274,retained intron,ENSDART00000134303.2,lin54-202,
ZDB-TSCRIPT-090929-17703,trim23-002,OTTDART00000037277,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17709,fam166b-003,OTTDART00000037283,retained intron,ENSDART00000164918.2,fam166b-201,
ZDB-TSCRIPT-090929-17708,fam166b-002,OTTDART00000037282,,ENSDART00000166331.2,fam166b-202,
ZDB-TSCRIPT-090929-17720,flad1-004,OTTDART00000037296,retained intron,ENSDART00000142316.2,flad1-203,
ZDB-TSCRIPT-090929-17729,rab7-002,OTTDART00000037306,retained intron,ENSDART00000134856.2,rab7a-202,
ZDB-TSCRIPT-090929-17734,gata1a-002,OTTDART00000037311,retained intron,ENSDART00000143727.2,gata1a-202,
ZDB-TSCRIPT-090929-17738,fbln2-003,OTTDART00000037315,retained intron,ENSDART00000172812.2,fbln2-202,
ZDB-TSCRIPT-090929-17744,hibadhb-002,OTTDART00000037321,retained intron,ENSDART00000137902.3,hibadhb-204,
ZDB-TSCRIPT-090929-17745,hibadhb-003,OTTDART00000037322,retained intron,ENSDART00000131452.2,hibadhb-202,
ZDB-TSCRIPT-090929-17746,hibadhb-004,OTTDART00000037323,retained intron,ENSDART00000132407.2,hibadhb-203,
ZDB-TSCRIPT-090929-17753,rs1a-002,OTTDART00000037330,retained intron,ENSDART00000135375.2,rs1a-202,
ZDB-TSCRIPT-090929-17757,apoc2-002,OTTDART00000037334,retained intron,ENSDART00000142869.2,apoc2-201,
ZDB-TSCRIPT-090929-17783,park7-001,OTTDART00000037360,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17784,park7-002,OTTDART00000037361,,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17785,park7-003,OTTDART00000037362,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17789,ptbp1b-004,OTTDART00000037366,retained intron,ENSDART00000146737.2,ptbp1b-204,
ZDB-TSCRIPT-090929-17801,zgc:171226-005,OTTDART00000037378,retained intron,ENSDART00000140421.3,krt98-206,
ZDB-TSCRIPT-090929-17800,zgc:171226-004,OTTDART00000037377,,ENSDART00000137449.3,krt98-205,
ZDB-TSCRIPT-090929-17799,zgc:171226-003,OTTDART00000037376,,ENSDART00000133488.2,krt98-203,
ZDB-TSCRIPT-090929-17802,cd82b-002,OTTDART00000037379,retained intron,ENSDART00000134714.2,cd82b-201,
ZDB-TSCRIPT-090929-17820,atp2b4-002,OTTDART00000037399,retained intron,ENSDART00000129307.3,atp2b4-203,
ZDB-TSCRIPT-090929-17858,slc45a1-002,OTTDART00000037439,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17872,atl2-002,OTTDART00000037454,retained intron,ENSDART00000128005.3,atl2-202,
ZDB-TSCRIPT-090929-17883,trmt11-003,OTTDART00000037465,retained intron,ENSDART00000139652.2,trmt11-204,
ZDB-TSCRIPT-090929-17884,trmt11-004,OTTDART00000037466,retained intron,ENSDART00000132457.3,trmt11-203,
ZDB-TSCRIPT-090929-17895,vcla-002,OTTDART00000037484,retained intron,ENSDART00000133413.2,vcla-203,
ZDB-TSCRIPT-090929-17897,coq3-002,OTTDART00000037486,retained intron,ENSDART00000133351.2,coq3-202,
ZDB-TSCRIPT-090929-17903,supv3l1-002,OTTDART00000037494,retained intron,ENSDART00000125257.3,supv3l1-202,
ZDB-TSCRIPT-090929-17908,ldb3a-005,OTTDART00000037499,NMD,ENSDART00000131856,,
ZDB-TSCRIPT-090929-17920,zgc:158234-003,OTTDART00000037511,retained intron,ENSDART00000145973.2,PAXBP1-203,
ZDB-TSCRIPT-090929-17921,zgc:158234-004,OTTDART00000037512,,ENSDART00000147816.2,PAXBP1-201,
ZDB-TSCRIPT-090929-17923,elovl6l-002,OTTDART00000037514,retained intron,ENSDART00000143032.2,elovl6l-202,
ZDB-TSCRIPT-090929-17943,trim3b-003,OTTDART00000037534,retained intron,ENSDART00000143734.2,trim3b-203,
ZDB-TSCRIPT-090929-17942,trim3b-002,OTTDART00000037533,,ENSDART00000136291.2,trim3b-201,
ZDB-TSCRIPT-090929-17967,zfyve21-003,OTTDART00000037558,NMD,ENSDART00000132458,,
ZDB-TSCRIPT-090929-17968,zfyve21-004,OTTDART00000037559,retained intron,ENSDART00000074738.6,zfyve21-203,
ZDB-TSCRIPT-090929-17969,zfyve21-005,OTTDART00000037560,retained intron,ENSDART00000140473.2,zfyve21-205,
ZDB-TSCRIPT-090929-1797,ing3-002,OTTDART00000010693,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-17981,esr2b-003,OTTDART00000037573,retained intron,ENSDART00000147196.2,esr2b-205,
ZDB-TSCRIPT-090929-17982,esr2b-004,OTTDART00000037574,retained intron,ENSDART00000141570.2,esr2b-204,
ZDB-TSCRIPT-090929-17985,aldh5a1-002,OTTDART00000037581,retained intron,ENSDART00000135997.2,aldh5a1-203,
ZDB-TSCRIPT-090929-18015,ckba-005,OTTDART00000037611,retained intron,ENSDART00000146069.2,ckba-205,
ZDB-TSCRIPT-090929-18019,smad9-002,OTTDART00000037615,,ENSDART00000145509.2,alg5-204,
ZDB-TSCRIPT-090929-18020,smad9-003,OTTDART00000037616,retained intron,ENSDART00000138281.2,alg5-203,
ZDB-TSCRIPT-090929-20973,eif2ak3-003,OTTDART00000040875,,ENSDART00000146474.2,eif2ak3-203,
ZDB-TSCRIPT-090929-18027,eif2ak3-002,OTTDART00000037623,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-18031,zgc:158689-004,OTTDART00000037628,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-090929-18035,commd8-002,OTTDART00000037632,NMD,ENSDART00000124784,,
ZDB-TSCRIPT-090929-18050,cuedc1a-002,OTTDART00000037649,retained intron,ENSDART00000141642.2,cuedc1a-203,
ZDB-TSCRIPT-090929-18064,vstm4a-002,OTTDART00000037663,retained intron,ENSDART00000114007.4,vstm4a-202,
ZDB-TSCRIPT-090929-18069,pcnxl4-002,OTTDART00000037668,retained intron,ENSDART00000138720.2,pcnx4-202,
ZDB-TSCRIPT-090929-18088,deptor-003,OTTDART00000037687,artifact,,,no Ensembl ID match.  transcript withdrawn?
