aliasid,clonealias,cloneid
FR891,FR891,ZDB-CDNA-040425-354
FR993,FR993,ZDB-CDNA-040425-1423
FR786,FR786,ZDB-CDNA-040425-3857
FR4876,FR4876,ZDB-CDNA-040425-1918
FR789,FR789,ZDB-CDNA-040425-359
FR4997,FR4997,ZDB-CDNA-040425-3713
FR815,FR815,ZDB-CDNA-040425-380
FR4924,FR4924,ZDB-CDNA-040425-1933
FR986,FR986,ZDB-CDNA-040425-1428
FR818,FR818,ZDB-CDNA-040425-3779
FR4517,FR4517,ZDB-CDNA-040425-393
FR882,FR882,ZDB-CDNA-040425-410
FR4875,FR4875,ZDB-CDNA-040425-422
FR778,FR778,ZDB-CDNA-040425-425
FR5050,FR5050,ZDB-CDNA-040425-1595
FR4952,FR4952,ZDB-CDNA-040425-434
FR849,FR849,ZDB-CDNA-040425-442
FR937,FR937,ZDB-CDNA-040425-448
FR866,FR866,ZDB-CDNA-040425-451
FR4493,FR4493,ZDB-CDNA-040425-1739
FR844,FR844,ZDB-CDNA-040425-469
FR4854,FR4854,ZDB-CDNA-040425-473
FR5034,FR5034,ZDB-CDNA-040425-483
FR880,FR880,ZDB-CDNA-040425-498
FR735,FR735,ZDB-CDNA-040425-505
FR945,FR945,ZDB-CDNA-040425-507
FR4455,FR4455,ZDB-CDNA-040425-512
FR4910,FR4910,ZDB-CDNA-040425-529
FR969,FR969,ZDB-CDNA-040425-542
FR4944,FR4944,ZDB-CDNA-040425-1561
FR623,FR623,ZDB-CDNA-040425-2522
FR4974,FR4974,ZDB-CDNA-040425-560
FR4511,FR4511,ZDB-CDNA-040425-2983
FR650,FR650,ZDB-CDNA-040425-565
FR785,FR785,ZDB-CDNA-040425-566
FR719,FR719,ZDB-CDNA-040425-570
FR900,FR900,ZDB-CDNA-040425-1678
FR858,FR858,ZDB-CDNA-040425-1182
FR930,FR930,ZDB-CDNA-040425-585
FR4948,FR4948,ZDB-CDNA-040425-599
FR725,FR725,ZDB-CDNA-040425-627
FR955,FR955,ZDB-CDNA-040425-1692
FR4492,FR4492,ZDB-CDNA-040425-657
FR4885,FR4885,ZDB-CDNA-040425-658
FR4959,FR4959,ZDB-CDNA-040425-3718
FR826,FR826,ZDB-CDNA-040425-670
FR4912,FR4912,ZDB-CDNA-040425-1569
FR852,FR852,ZDB-CDNA-040425-3769
FR4521,FR4521,ZDB-CDNA-040425-685
FR4472,FR4472,ZDB-CDNA-040425-1696
FR975,FR975,ZDB-CDNA-040425-714
FR4533,FR4533,ZDB-CDNA-040425-3796
FR4529,FR4529,ZDB-CDNA-040425-1304
FR4972,FR4972,ZDB-CDNA-040425-2812
FR4988,FR4988,ZDB-CDNA-040425-1960
FR825,FR825,ZDB-CDNA-040425-3765
FR4833,FR4833,ZDB-CDNA-040425-731
FR4494,FR4494,ZDB-CDNA-040425-732
FR4907,FR4907,ZDB-CDNA-040425-738
FR685,FR685,ZDB-CDNA-040425-745
FR4550,FR4550,ZDB-CDNA-040425-3799
FR4814,FR4814,ZDB-CDNA-040425-753
FR629,FR629,ZDB-CDNA-040425-2529
FR4941,FR4941,ZDB-CDNA-040425-759
FR4903,FR4903,ZDB-CDNA-040425-760
FR4902,FR4902,ZDB-CDNA-040425-3648
FR5022,FR5022,ZDB-CDNA-040425-1958
FR4812,FR4812,ZDB-CDNA-040425-3649
FR4480,FR4480,ZDB-CDNA-040425-3725
FR4496,FR4496,ZDB-CDNA-040425-830
FR4822,FR4822,ZDB-CDNA-040425-3660
FR4951,FR4951,ZDB-CDNA-040425-833
FR827,FR827,ZDB-CDNA-040425-832
FR4806,FR4806,ZDB-CDNA-040425-2863
FR816,FR816,ZDB-CDNA-040425-489
FR767,FR767,ZDB-CDNA-040425-877
FR833,FR833,ZDB-CDNA-040425-904
FR4853,FR4853,ZDB-CDNA-040425-1893
FR868,FR868,ZDB-CDNA-040425-3830
FR609,FR609,ZDB-CDNA-040425-2552
FR951,FR951,ZDB-CDNA-040425-3739
FR927,FR927,ZDB-CDNA-040425-922
FR5047,FR5047,ZDB-CDNA-040425-1181
FR812,FR812,ZDB-CDNA-040425-940
FR998,FR998,ZDB-CDNA-040425-1363
FR681,FR681,ZDB-CDNA-040425-3877
FR4516,FR4516,ZDB-CDNA-040425-3794
FR648,FR648,ZDB-CDNA-040425-968
FR729,FR729,ZDB-CDNA-040425-1643
FR796,FR796,ZDB-CDNA-040425-1605
FR4444,FR4444,ZDB-CDNA-040425-3821
FR840,FR840,ZDB-CDNA-040425-1609
FR5023,FR5023,ZDB-CDNA-040425-1610
FR869,FR869,ZDB-CDNA-040425-401
FR813,FR813,ZDB-CDNA-040425-3761
FR726,FR726,ZDB-CDNA-040425-3897
FR722,FR722,ZDB-CDNA-040425-3894
FR720,FR720,ZDB-CDNA-040425-1362
FR666,FR666,ZDB-CDNA-040425-1614
FR694,FR694,ZDB-CDNA-040425-1370
FR678,FR678,ZDB-CDNA-040425-1136
FR690,FR690,ZDB-CDNA-040425-3884
FR715,FR715,ZDB-CDNA-040425-371
FR682,FR682,ZDB-CDNA-040425-1376
FR724,FR724,ZDB-CDNA-040425-3878
FR709,FR709,ZDB-CDNA-040425-1625
FR659,FR659,ZDB-CDNA-040425-1302
FR708,FR708,ZDB-CDNA-040425-1404
FR703,FR703,ZDB-CDNA-040425-1405
FR774,FR774,ZDB-CDNA-040425-1628
FR658,FR658,ZDB-CDNA-040425-1421
FR799,FR799,ZDB-CDNA-040425-1629
FR794,FR794,ZDB-CDNA-040425-1422
FR798,FR798,ZDB-CDNA-040425-1630
FR781,FR781,ZDB-CDNA-040425-1631
FR802,FR802,ZDB-CDNA-040425-1231
FR795,FR795,ZDB-CDNA-040425-1005
FR805,FR805,ZDB-CDNA-040425-3838
FR797,FR797,ZDB-CDNA-040425-1633
FR762,FR762,ZDB-CDNA-040425-3855
FR771,FR771,ZDB-CDNA-040425-3854
FR750,FR750,ZDB-CDNA-040425-1635
FR788,FR788,ZDB-CDNA-040425-3847
FR791,FR791,ZDB-CDNA-040425-3844
FR793,FR793,ZDB-CDNA-040425-1073
FR792,FR792,ZDB-CDNA-040425-1448
FR875,FR875,ZDB-CDNA-040425-1450
FR867,FR867,ZDB-CDNA-040425-1642
FR871,FR871,ZDB-CDNA-040425-1645
FR870,FR870,ZDB-CDNA-040425-1646
FR885,FR885,ZDB-CDNA-040425-3834
FR854,FR854,ZDB-CDNA-040425-1488
FR874,FR874,ZDB-CDNA-040425-1647
FR878,FR878,ZDB-CDNA-040425-1651
FR819,FR819,ZDB-CDNA-040425-1132
FR831,FR831,ZDB-CDNA-040425-1652
FR817,FR817,ZDB-CDNA-040425-1281
FR860,FR860,ZDB-CDNA-040425-1512
FR835,FR835,ZDB-CDNA-040425-3776
FR836,FR836,ZDB-CDNA-040425-1061
FR863,FR863,ZDB-CDNA-040425-3774
FR838,FR838,ZDB-CDNA-040425-3772
FR807,FR807,ZDB-CDNA-040425-3766
FR810,FR810,ZDB-CDNA-040425-1470
FR808,FR808,ZDB-CDNA-040425-1662
FR823,FR823,ZDB-CDNA-040425-3763
FR822,FR822,ZDB-CDNA-040425-1665
FR905,FR905,ZDB-CDNA-040425-1245
FR811,FR811,ZDB-CDNA-040425-3759
FR851,FR851,ZDB-CDNA-040425-3757
FR848,FR848,ZDB-CDNA-040425-3756
FR909,FR909,ZDB-CDNA-040425-1475
FR898,FR898,ZDB-CDNA-040425-1675
FR892,FR892,ZDB-CDNA-040425-1676
FR920,FR920,ZDB-CDNA-040425-1680
FR904,FR904,ZDB-CDNA-040425-1683
FR901,FR901,ZDB-CDNA-040425-1686
FR903,FR903,ZDB-CDNA-040425-1687
FR918,FR918,ZDB-CDNA-040425-3747
FR919,FR919,ZDB-CDNA-040425-1688
FR950,FR950,ZDB-CDNA-040425-1689
FR947,FR947,ZDB-CDNA-040425-3746
FR956,FR956,ZDB-CDNA-040425-1693
FR963,FR963,ZDB-CDNA-040425-1694
FR929,FR929,ZDB-CDNA-040425-1588
FR952,FR952,ZDB-CDNA-040425-3740
FR967,FR967,ZDB-CDNA-040425-3738
FR4468,FR4468,ZDB-CDNA-040425-1695
FR4482,FR4482,ZDB-CDNA-040425-1214
FR4466,FR4466,ZDB-CDNA-040425-1313
FR4457,FR4457,ZDB-CDNA-040425-1464
FR4465,FR4465,ZDB-CDNA-040425-3733
FR4481,FR4481,ZDB-CDNA-040425-1698
FR941,FR941,ZDB-CDNA-040425-1702
FR938,FR938,ZDB-CDNA-040425-1704
FR4479,FR4479,ZDB-CDNA-040425-1705
FR939,FR939,ZDB-CDNA-040425-1459
FR943,FR943,ZDB-CDNA-040425-3727
FR4473,FR4473,ZDB-CDNA-040425-3723
FR931,FR931,ZDB-CDNA-040425-1080
FR4462,FR4462,ZDB-CDNA-040425-3721
FR4461,FR4461,ZDB-CDNA-040425-1456
FR4475,FR4475,ZDB-CDNA-040425-2992
FR4458,FR4458,ZDB-CDNA-040425-2990
FR4454,FR4454,ZDB-CDNA-040425-2988
FR4449,FR4449,ZDB-CDNA-040425-2985
FR4450,FR4450,ZDB-CDNA-040425-1709
FR4448,FR4448,ZDB-CDNA-040425-1592
FR4441,FR4441,ZDB-CDNA-040425-1300
FR997,FR997,ZDB-CDNA-040425-3819
FR996,FR996,ZDB-CDNA-040425-3818
FR4434,FR4434,ZDB-CDNA-040425-1717
FR4436,FR4436,ZDB-CDNA-040425-1343
FR988,FR988,ZDB-CDNA-040425-3814
FR979,FR979,ZDB-CDNA-040425-1212
FR970,FR970,ZDB-CDNA-040425-1721
FR4523,FR4523,ZDB-CDNA-040425-1723
FR4551,FR4551,ZDB-CDNA-040425-3798
FR4552,FR4552,ZDB-CDNA-040425-1728
FR4553,FR4553,ZDB-CDNA-040425-1407
FR4531,FR4531,ZDB-CDNA-040425-1116
FR4513,FR4513,ZDB-CDNA-040425-1164
FR4507,FR4507,ZDB-CDNA-040425-1155
FR4520,FR4520,ZDB-CDNA-040425-3789
FR4505,FR4505,ZDB-CDNA-040425-1104
FR4526,FR4526,ZDB-CDNA-040425-1338
FR4538,FR4538,ZDB-CDNA-040425-1741
FR4539,FR4539,ZDB-CDNA-040425-1743
FR4487,FR4487,ZDB-CDNA-040425-2979
FR4536,FR4536,ZDB-CDNA-040425-1746
FR4528,FR4528,ZDB-CDNA-040425-2978
FR4503,FR4503,ZDB-CDNA-040425-1093
FR4504,FR4504,ZDB-CDNA-040425-1411
FR4490,FR4490,ZDB-CDNA-040425-1750
FR4512,FR4512,ZDB-CDNA-040425-985
FR4485,FR4485,ZDB-CDNA-040425-1284
FR4484,FR4484,ZDB-CDNA-040425-1757
FR4499,FR4499,ZDB-CDNA-040425-1758
FR4486,FR4486,ZDB-CDNA-040425-1759
FR4500,FR4500,ZDB-CDNA-040425-1762
FR4497,FR4497,ZDB-CDNA-040425-1763
FR4794,FR4794,ZDB-CDNA-040425-1813
FR4793,FR4793,ZDB-CDNA-040425-1236
FR4790,FR4790,ZDB-CDNA-040425-1835
FR4847,FR4847,ZDB-CDNA-040425-1241
FR4843,FR4843,ZDB-CDNA-040425-1596
FR4850,FR4850,ZDB-CDNA-040425-1042
FR4858,FR4858,ZDB-CDNA-040425-1864
FR4861,FR4861,ZDB-CDNA-040425-1865
FR4845,FR4845,ZDB-CDNA-040425-2872
FR4852,FR4852,ZDB-CDNA-040425-1866
FR4859,FR4859,ZDB-CDNA-040425-2870
FR4862,FR4862,ZDB-CDNA-040425-993
FR4867,FR4867,ZDB-CDNA-040425-1359
FR4866,FR4866,ZDB-CDNA-040425-1868
FR4856,FR4856,ZDB-CDNA-040425-2869
FR4864,FR4864,ZDB-CDNA-040425-1871
FR4851,FR4851,ZDB-CDNA-040425-1874
FR4863,FR4863,ZDB-CDNA-040425-1253
FR4819,FR4819,ZDB-CDNA-040425-2866
FR4816,FR4816,ZDB-CDNA-040425-1878
FR4807,FR4807,ZDB-CDNA-040425-1879
FR4842,FR4842,ZDB-CDNA-040425-1880
FR4841,FR4841,ZDB-CDNA-040425-1881
FR4838,FR4838,ZDB-CDNA-040425-1882
FR4839,FR4839,ZDB-CDNA-040425-2861
FR4823,FR4823,ZDB-CDNA-040425-1883
FR4824,FR4824,ZDB-CDNA-040425-1884
FR4820,FR4820,ZDB-CDNA-040425-1885
FR4815,FR4815,ZDB-CDNA-040425-1335
FR4808,FR4808,ZDB-CDNA-040425-1889
FR4869,FR4869,ZDB-CDNA-040425-1890
FR4855,FR4855,ZDB-CDNA-040425-1891
FR4868,FR4868,ZDB-CDNA-040425-1892
FR4870,FR4870,ZDB-CDNA-040425-3657
FR4828,FR4828,ZDB-CDNA-040425-3656
FR4803,FR4803,ZDB-CDNA-040425-1002
FR4800,FR4800,ZDB-CDNA-040425-1059
FR4913,FR4913,ZDB-CDNA-040425-1896
FR4897,FR4897,ZDB-CDNA-040425-1897
FR4896,FR4896,ZDB-CDNA-040425-3653
FR4911,FR4911,ZDB-CDNA-040425-1465
FR4899,FR4899,ZDB-CDNA-040425-1898
FR4898,FR4898,ZDB-CDNA-040425-1899
FR4904,FR4904,ZDB-CDNA-040425-1901
FR4830,FR4830,ZDB-CDNA-040425-1902
FR4832,FR4832,ZDB-CDNA-040425-3647
FR4831,FR4831,ZDB-CDNA-040425-3646
FR4834,FR4834,ZDB-CDNA-040425-3645
FR4892,FR4892,ZDB-CDNA-040425-3644
FR4901,FR4901,ZDB-CDNA-040425-1908
FR4894,FR4894,ZDB-CDNA-040425-1909
FR4893,FR4893,ZDB-CDNA-040425-1910
FR4900,FR4900,ZDB-CDNA-040425-1911
FR4879,FR4879,ZDB-CDNA-040425-3642
FR4880,FR4880,ZDB-CDNA-040425-1912
FR4888,FR4888,ZDB-CDNA-040425-1913
FR4873,FR4873,ZDB-CDNA-040425-1914
FR4886,FR4886,ZDB-CDNA-040425-1915
FR4887,FR4887,ZDB-CDNA-040425-1916
FR4874,FR4874,ZDB-CDNA-040425-1917
FR4878,FR4878,ZDB-CDNA-040425-1094
FR4871,FR4871,ZDB-CDNA-040425-1920
FR4877,FR4877,ZDB-CDNA-040425-3638
FR4909,FR4909,ZDB-CDNA-040425-1090
FR4905,FR4905,ZDB-CDNA-040425-1098
FR4906,FR4906,ZDB-CDNA-040425-1921
FR4884,FR4884,ZDB-CDNA-040425-1923
FR4946,FR4946,ZDB-CDNA-040425-1552
FR4947,FR4947,ZDB-CDNA-040425-1924
FR4942,FR4942,ZDB-CDNA-040425-3632
FR4945,FR4945,ZDB-CDNA-040425-1925
FR4929,FR4929,ZDB-CDNA-040425-1926
FR4916,FR4916,ZDB-CDNA-040425-1927
FR4917,FR4917,ZDB-CDNA-040425-1931
FR4925,FR4925,ZDB-CDNA-040425-1932
FR4922,FR4922,ZDB-CDNA-040425-1934
FR4928,FR4928,ZDB-CDNA-040425-1935
FR4920,FR4920,ZDB-CDNA-040425-1937
FR4933,FR4933,ZDB-CDNA-040425-1938
FR4926,FR4926,ZDB-CDNA-040425-3627
FR4927,FR4927,ZDB-CDNA-040425-3626
FR4931,FR4931,ZDB-CDNA-040425-1939
FR4940,FR4940,ZDB-CDNA-040425-1327
FR4937,FR4937,ZDB-CDNA-040425-1940
FR4938,FR4938,ZDB-CDNA-040425-1941
FR4939,FR4939,ZDB-CDNA-040425-1072
FR4934,FR4934,ZDB-CDNA-040425-1943
FR4976,FR4976,ZDB-CDNA-040425-1946
FR4915,FR4915,ZDB-CDNA-040425-1952
FR4914,FR4914,ZDB-CDNA-040425-1294
FR4935,FR4935,ZDB-CDNA-040425-1954
FR4936,FR4936,ZDB-CDNA-040425-1039
FR4975,FR4975,ZDB-CDNA-040425-1956
FR5020,FR5020,ZDB-CDNA-040425-1141
FR4978,FR4978,ZDB-CDNA-040425-1344
FR4990,FR4990,ZDB-CDNA-040425-1962
FR4964,FR4964,ZDB-CDNA-040425-3061
FR4987,FR4987,ZDB-CDNA-040425-3060
FR4973,FR4973,ZDB-CDNA-040425-1963
FR5006,FR5006,ZDB-CDNA-040425-1967
FR5017,FR5017,ZDB-CDNA-040425-950
FR5016,FR5016,ZDB-CDNA-040425-1968
FR4979,FR4979,ZDB-CDNA-040425-2818
FR4965,FR4965,ZDB-CDNA-040425-987
FR4986,FR4986,ZDB-CDNA-040425-1972
FR4984,FR4984,ZDB-CDNA-040425-1973
FR5011,FR5011,ZDB-CDNA-040425-1974
FR4967,FR4967,ZDB-CDNA-040425-1975
FR4960,FR4960,ZDB-CDNA-040425-1982
FR4985,FR4985,ZDB-CDNA-040425-1984
FR4981,FR4981,ZDB-CDNA-040425-1064
FR4993,FR4993,ZDB-CDNA-040425-1213
FR4963,FR4963,ZDB-CDNA-040425-1273
FR4953,FR4953,ZDB-CDNA-040425-1987
FR4969,FR4969,ZDB-CDNA-040425-1040
FR4971,FR4971,ZDB-CDNA-040425-1991
FR4992,FR4992,ZDB-CDNA-040425-1992
FR4994,FR4994,ZDB-CDNA-040425-1996
FR4980,FR4980,ZDB-CDNA-040425-1997
FR4995,FR4995,ZDB-CDNA-040425-3710
FR4991,FR4991,ZDB-CDNA-040425-1485
FR4958,FR4958,ZDB-CDNA-040425-2000
FR4957,FR4957,ZDB-CDNA-040425-2001
FR5042,FR5042,ZDB-CDNA-040425-2011
FR5051,FR5051,ZDB-CDNA-040425-2015
FR5045,FR5045,ZDB-CDNA-040425-1295
FR4983,FR4983,ZDB-CDNA-040425-1980
FR566,FR566,ZDB-CDNA-040425-2477
FR573,FR573,ZDB-CDNA-040425-2484
FR652,FR652,ZDB-CDNA-040425-2488
FR655,FR655,ZDB-CDNA-040425-1491
FR631,FR631,ZDB-CDNA-040425-2491
FR624,FR624,ZDB-CDNA-040425-419
FR584,FR584,ZDB-CDNA-040425-2499
FR622,FR622,ZDB-CDNA-040425-2523
FR647,FR647,ZDB-CDNA-040425-2525
FR630,FR630,ZDB-CDNA-040425-2527
FR628,FR628,ZDB-CDNA-040425-2882
FR651,FR651,ZDB-CDNA-040425-2533
FR620,FR620,ZDB-CDNA-040425-2540
FR586,FR586,ZDB-CDNA-040425-2542
FR591,FR591,ZDB-CDNA-040425-1100
FR606,FR606,ZDB-CDNA-040425-2548
FR604,FR604,ZDB-CDNA-040425-1161
FR618,FR618,ZDB-CDNA-040425-2549
FR602,FR602,ZDB-CDNA-040425-3630
FR588,FR588,ZDB-CDNA-040425-1542
FR4982,FR4982,ZDB-CDNA-040425-2560
FR564,FR564,ZDB-CDNA-040425-2580
FR568,FR568,ZDB-CDNA-040425-2583
FR569,FR569,ZDB-CDNA-040425-1026
FR120,FR120,ZDB-CDNA-040425-2609
FR4849,FR4849,ZDB-CDNA-040425-2876
FR889,FR889,ZDB-CDNA-040425-1095
FR890,FR890,ZDB-CDNA-040425-3755
FR4495,FR4495,ZDB-CDNA-040425-3786
FR4836,FR4836,ZDB-CDNA-040425-1032
FR4962,FR4962,ZDB-CDNA-040425-1528
FR828,FR828,ZDB-CDNA-040425-3781
FR982,FR982,ZDB-CDNA-040425-1210
FR4818,FR4818,ZDB-CDNA-040425-3665
FR4865,FR4865,ZDB-CDNA-040425-1870
FR4954,FR4954,ZDB-CDNA-040425-2794
FR4883,FR4883,ZDB-CDNA-040425-1055
FR4949,FR4949,ZDB-CDNA-040425-1148
FR876,FR876,ZDB-CDNA-040425-3835
FR4889,FR4889,ZDB-CDNA-040425-3643
FR4908,FR4908,ZDB-CDNA-040425-3641
FR801,FR801,ZDB-CDNA-040425-3842
FR4615,FR4615,ZDB-CDNA-040425-1756
FR4741,FR4741,ZDB-CDNA-040425-5
FR916,FR916,ZDB-CDNA-040425-7
FR4772,FR4772,ZDB-CDNA-040425-27
FR4769,FR4769,ZDB-CDNA-040425-42
FR4631,FR4631,ZDB-CDNA-040425-46
FR4705,FR4705,ZDB-CDNA-040425-49
FR5192,FR5192,ZDB-CDNA-040425-3751
FR4689,FR4689,ZDB-CDNA-040425-83
FR4697,FR4697,ZDB-CDNA-040425-85
FR4650,FR4650,ZDB-CDNA-040425-87
FR4780,FR4780,ZDB-CDNA-040425-2887
FR5000,FR5000,ZDB-CDNA-040425-100
FR5031,FR5031,ZDB-CDNA-040425-102
FR4779,FR4779,ZDB-CDNA-040425-124
FR4669,FR4669,ZDB-CDNA-040425-126
FR5310,FR5310,ZDB-CDNA-040425-128
FR4656,FR4656,ZDB-CDNA-040425-1804
FR5070,FR5070,ZDB-CDNA-040425-3715
FR5073,FR5073,ZDB-CDNA-040425-135
FR834,FR834,ZDB-CDNA-040425-155
FR4811,FR4811,ZDB-CDNA-040425-163
FR5033,FR5033,ZDB-CDNA-040425-3618
FR4700,FR4700,ZDB-CDNA-040425-171
FR4792,FR4792,ZDB-CDNA-040425-176
FR4542,FR4542,ZDB-CDNA-040425-183
FR4707,FR4707,ZDB-CDNA-040425-2952
FR4609,FR4609,ZDB-CDNA-040425-187
FR4562,FR4562,ZDB-CDNA-040425-190
FR4660,FR4660,ZDB-CDNA-040425-199
FR5084,FR5084,ZDB-CDNA-040425-211
FR5038,FR5038,ZDB-CDNA-040425-226
FR5236,FR5236,ZDB-CDNA-040425-230
FR4563,FR4563,ZDB-CDNA-040425-231
FR4620,FR4620,ZDB-CDNA-040425-232
FR4747,FR4747,ZDB-CDNA-040425-233
FR4701,FR4701,ZDB-CDNA-040425-2948
FR4702,FR4702,ZDB-CDNA-040425-235
FR5248,FR5248,ZDB-CDNA-040425-237
FR4506,FR4506,ZDB-CDNA-040425-239
FR4445,FR4445,ZDB-CDNA-040425-2984
FR4662,FR4662,ZDB-CDNA-040425-242
FR5232,FR5232,ZDB-CDNA-040425-247
FR5216,FR5216,ZDB-CDNA-040425-3730
FR5102,FR5102,ZDB-CDNA-040425-2008
FR5026,FR5026,ZDB-CDNA-040425-270
FR4618,FR4618,ZDB-CDNA-040425-286
FR4710,FR4710,ZDB-CDNA-040425-2878
FR4470,FR4470,ZDB-CDNA-040425-3737
FR577,FR577,ZDB-CDNA-040425-294
FR4734,FR4734,ZDB-CDNA-040425-2883
FR5213,FR5213,ZDB-CDNA-040425-297
FR4510,FR4510,ZDB-CDNA-040425-2982
FR4626,FR4626,ZDB-CDNA-040425-2973
FR4844,FR4844,ZDB-CDNA-040425-1872
FR4825,FR4825,ZDB-CDNA-040425-327
FR4672,FR4672,ZDB-CDNA-040425-328
FR940,FR940,ZDB-CDNA-040425-349
FR4612,FR4612,ZDB-CDNA-040425-356
FR4522,FR4522,ZDB-CDNA-040425-360
FR4558,FR4558,ZDB-CDNA-040425-1775
FR5364,FR5364,ZDB-CDNA-040425-3051
FR4753,FR4753,ZDB-CDNA-040425-1078
FR4603,FR4603,ZDB-CDNA-040425-375
FR911,FR911,ZDB-CDNA-040425-1371
FR4704,FR4704,ZDB-CDNA-040425-384
FR5012,FR5012,ZDB-CDNA-040425-418
FR4713,FR4713,ZDB-CDNA-040425-2889
FR4635,FR4635,ZDB-CDNA-040425-433
FR5184,FR5184,ZDB-CDNA-040425-450
FR4777,FR4777,ZDB-CDNA-040425-460
FR4519,FR4519,ZDB-CDNA-040425-461
FR4748,FR4748,ZDB-CDNA-040425-463
FR914,FR914,ZDB-CDNA-040425-465
FR730,FR730,ZDB-CDNA-040425-468
FR4623,FR4623,ZDB-CDNA-040425-501
FR4447,FR4447,ZDB-CDNA-040425-515
FR4559,FR4559,ZDB-CDNA-040425-516
FR4621,FR4621,ZDB-CDNA-040425-522
FR5101,FR5101,ZDB-CDNA-040425-2007
FR4571,FR4571,ZDB-CDNA-040425-537
FR936,FR936,ZDB-CDNA-040425-1701
FR5072,FR5072,ZDB-CDNA-040425-553
FR5164,FR5164,ZDB-CDNA-040425-555
FR4664,FR4664,ZDB-CDNA-040425-561
FR5131,FR5131,ZDB-CDNA-040425-568
FR5081,FR5081,ZDB-CDNA-040425-3703
FR4755,FR4755,ZDB-CDNA-040425-2885
FR4568,FR4568,ZDB-CDNA-040425-591
FR5121,FR5121,ZDB-CDNA-040425-592
FR4829,FR4829,ZDB-CDNA-040425-597
FR5294,FR5294,ZDB-CDNA-040425-2202
FR4709,FR4709,ZDB-CDNA-040425-602
FR4573,FR4573,ZDB-CDNA-040425-990
FR4600,FR4600,ZDB-CDNA-040425-614
FR5025,FR5025,ZDB-CDNA-040425-1957
FR4706,FR4706,ZDB-CDNA-040425-640
FR4537,FR4537,ZDB-CDNA-040425-642
FR4690,FR4690,ZDB-CDNA-040425-651
FR906,FR906,ZDB-CDNA-040425-3754
FR922,FR922,ZDB-CDNA-040425-1669
FR4752,FR4752,ZDB-CDNA-040425-1823
FR4813,FR4813,ZDB-CDNA-040425-689
FR5214,FR5214,ZDB-CDNA-040425-1188
FR4435,FR4435,ZDB-CDNA-040425-1390
FR4711,FR4711,ZDB-CDNA-040425-2879
FR841,FR841,ZDB-CDNA-040425-709
FR4684,FR4684,ZDB-CDNA-040425-719
FR4546,FR4546,ZDB-CDNA-040425-1770
FR4693,FR4693,ZDB-CDNA-040425-730
FR5008,FR5008,ZDB-CDNA-040425-3058
FR4555,FR4555,ZDB-CDNA-040425-1745
FR5048,FR5048,ZDB-CDNA-040425-734
FR4717,FR4717,ZDB-CDNA-040425-742
FR5137,FR5137,ZDB-CDNA-040425-752
FR4730,FR4730,ZDB-CDNA-040425-1288
FR5043,FR5043,ZDB-CDNA-040425-757
FR4751,FR4751,ZDB-CDNA-040425-1058
FR5326,FR5326,ZDB-CDNA-040425-2658
FR5332,FR5332,ZDB-CDNA-040425-764
FR5158,FR5158,ZDB-CDNA-040425-770
FR5127,FR5127,ZDB-CDNA-040425-2055
FR4799,FR4799,ZDB-CDNA-040425-3655
FR4636,FR4636,ZDB-CDNA-040425-1776
FR4778,FR4778,ZDB-CDNA-040425-1825
FR917,FR917,ZDB-CDNA-040425-829
FR4501,FR4501,ZDB-CDNA-040425-1761
FR5077,FR5077,ZDB-CDNA-040425-834
FR4663,FR4663,ZDB-CDNA-040425-405
FR4611,FR4611,ZDB-CDNA-040425-2966
FR4527,FR4527,ZDB-CDNA-040425-1469
FR4535,FR4535,ZDB-CDNA-040425-1737
FR4691,FR4691,ZDB-CDNA-040425-490
FR4782,FR4782,ZDB-CDNA-040425-860
FR5203,FR5203,ZDB-CDNA-040425-3736
FR910,FR910,ZDB-CDNA-040425-880
FR4440,FR4440,ZDB-CDNA-040425-1598
FR4804,FR4804,ZDB-CDNA-040425-1894
FR4464,FR4464,ZDB-CDNA-040425-887
FR5110,FR5110,ZDB-CDNA-040425-2042
FR4835,FR4835,ZDB-CDNA-040425-892
FR843,FR843,ZDB-CDNA-040425-3827
FR5288,FR5288,ZDB-CDNA-040425-983
FR4999,FR4999,ZDB-CDNA-040425-1944
FR5231,FR5231,ZDB-CDNA-040425-908
FR5143,FR5143,ZDB-CDNA-040425-914
FR5069,FR5069,ZDB-CDNA-040425-931
FR4784,FR4784,ZDB-CDNA-040425-936
FR4628,FR4628,ZDB-CDNA-040425-2971
FR4692,FR4692,ZDB-CDNA-040425-1788
FR5320,FR5320,ZDB-CDNA-040425-954
FR5156,FR5156,ZDB-CDNA-040425-3866
FR4509,FR4509,ZDB-CDNA-040425-960
FR5195,FR5195,ZDB-CDNA-040425-2986
FR4565,FR4565,ZDB-CDNA-040425-1580
FR4680,FR4680,ZDB-CDNA-040425-964
FR5205,FR5205,ZDB-CDNA-040425-2080
FR4534,FR4534,ZDB-CDNA-040425-1730
FR894,FR894,ZDB-CDNA-040425-1081
FR5223,FR5223,ZDB-CDNA-040425-1600
FR4613,FR4613,ZDB-CDNA-040425-1607
FR842,FR842,ZDB-CDNA-040425-3826
FR873,FR873,ZDB-CDNA-040425-1310
FR881,FR881,ZDB-CDNA-040425-1649
FR820,FR820,ZDB-CDNA-040425-1298
FR855,FR855,ZDB-CDNA-040425-986
FR877,FR877,ZDB-CDNA-040425-1653
