ENSDARG00000088995|ENSDART00000122214|CABZ01030692.1|
ENSDARG00000006865|ENSDART00000131947|glra4a|
ENSDARG00000006865|ENSDART00000030509|glra4a|
ENSDARG00000006865|ENSDART00000026194|glra4a|
ENSDARG00000053876|ENSDART00000075998|klhl26|
ENSDARG00000053876|ENSDART00000144181|klhl26|
ENSDARG00000052470|ENSDART00000074327|igfbp2a|
ENSDARG00000095122|ENSDART00000132072|si:dkey-58b18.9|
ENSDARG00000057708|ENSDART00000124369|PHTF1|
ENSDARG00000057708|ENSDART00000080355|PHTF1|
ENSDARG00000094302|ENSDART00000144482|si:ch211-69o18.1|
ENSDARG00000079126|ENSDART00000114742|si:dkey-250i3.3|
ENSDARG00000079126|ENSDART00000108509|si:dkey-250i3.3|
ENSDARG00000069883|ENSDART00000102070|ATF6B|
ENSDARG00000090440|ENSDART00000126197|CT025695.3|
ENSDARG00000089219|ENSDART00000126139|CT025695.2|
ENSDARG00000058052|ENSDART00000080855|CR388145.1|
ENSDARG00000045929|ENSDART00000067513||
ENSDARG00000007918|ENSDART00000151999|ttc27|
ENSDARG00000007918|ENSDART00000136384|ttc27|
ENSDARG00000007918|ENSDART00000063772|ttc27|
ENSDARG00000087529|ENSDART00000123163|ANKLE1|
ENSDARG00000036016|ENSDART00000052293|sh3bgrl3|
ENSDARG00000095642|ENSDART00000132563|si:dkey-28f6.2|
ENSDARG00000012060|ENSDART00000090825|thbs3b|
ENSDARG00000012060|ENSDART00000043133|thbs3b|
ENSDARG00000094756|ENSDART00000146217|si:dkey-58b18.10|
ENSDARG00000071524|ENSDART00000105823|insrb|
ENSDARG00000052134|ENSDART00000054441|zgc:111991|
ENSDARG00000092136|ENSDART00000138699|cenpw|
ENSDARG00000092136|ENSDART00000134732|cenpw|
ENSDARG00000020136|ENSDART00000026085|ptges|
ENSDARG00000045625|ENSDART00000067096|THUMPD1|
ENSDARG00000018124|ENSDART00000027158|psmd3|
ENSDARG00000040982|ENSDART00000060051|fgf14|
ENSDARG00000031749|ENSDART00000040271|C3AR1|
ENSDARG00000027807|ENSDART00000149973|fynrk|
ENSDARG00000027807|ENSDART00000032212|fynrk|
ENSDARG00000036008|ENSDART00000137179|caly|
ENSDARG00000036008|ENSDART00000052272|caly|
ENSDARG00000070991|ENSDART00000135583|mlpha|
ENSDARG00000070991|ENSDART00000128940|mlpha|
ENSDARG00000070991|ENSDART00000104671|mlpha|
ENSDARG00000091729|ENSDART00000131105||
ENSDARG00000088164|ENSDART00000121421||
ENSDARG00000063158|ENSDART00000092051|SLC24A2 (1 of 2)|
ENSDARG00000062501|ENSDART00000090447|hhipl1|
ENSDARG00000078649|ENSDART00000086417|il21rl|
ENSDARG00000043471|ENSDART00000063824|EARS2|
ENSDARG00000086750|ENSDART00000129996|si:dkey-264f17.5|
ENSDARG00000086750|ENSDART00000142144|si:dkey-264f17.5|
ENSDARG00000091042|ENSDART00000122117|SACS (1 of 2)|
ENSDARG00000087018|ENSDART00000127248|PRKD2 (2 of 3)|
ENSDARG00000010906|ENSDART00000105586|srsf2b|
ENSDARG00000010906|ENSDART00000017706|srsf2b|
ENSDARG00000087803|ENSDART00000122693|NDUFC2|
ENSDARG00000089241|ENSDART00000130152|THRSP|
ENSDARG00000093076|ENSDART00000132003|si:dkey-58b18.5|
ENSDARG00000036017|ENSDART00000052295|paqr7a|
ENSDARG00000016513|ENSDART00000127259|setd3|
ENSDARG00000016513|ENSDART00000022758|setd3|
ENSDARG00000026090|ENSDART00000105694|adprm|
ENSDARG00000086212|ENSDART00000126787|zgc:174273|
ENSDARG00000086212|ENSDART00000128445|zgc:174273|
ENSDARG00000075929|ENSDART00000134759|si:dkey-219c10.4|
ENSDARG00000075929|ENSDART00000113705|si:dkey-219c10.4|
ENSDARG00000069961|ENSDART00000102243|il21r|
ENSDARG00000053232|ENSDART00000148454|itgb1b.1|
ENSDARG00000053232|ENSDART00000148633|itgb1b.1|
ENSDARG00000053232|ENSDART00000075234|itgb1b.1|
ENSDARG00000070588|ENSDART00000103828|BX530067.1|
ENSDARG00000074503|ENSDART00000134778|tmem222b|
ENSDARG00000074503|ENSDART00000115412|tmem222b|
ENSDARG00000031562|ENSDART00000090939|tada2a|
ENSDARG00000031562|ENSDART00000130670|tada2a|
ENSDARG00000088638|ENSDART00000146603|si:dkey-188p4.1|
ENSDARG00000088638|ENSDART00000129651|si:dkey-188p4.1|
ENSDARG00000093653|ENSDART00000144083|si:dkey-58b18.6|
ENSDARG00000032056|ENSDART00000046094|arl6|
ENSDARG00000032056|ENSDART00000123118|arl6|
ENSDARG00000040683|ENSDART00000082091|MEP1B (1 of 2)|
ENSDARG00000052649|ENSDART00000052746|ube2i2|
ENSDARG00000024381|ENSDART00000037515|msto1|
ENSDARG00000024381|ENSDART00000151782|msto1|
ENSDARG00000041250|ENSDART00000060453|mfsd11|
ENSDARG00000035095|ENSDART00000122446|oep|
ENSDARG00000035095|ENSDART00000101023|oep|
ENSDARG00000035095|ENSDART00000042441|oep|
ENSDARG00000008886|ENSDART00000008468|msxb|
ENSDARG00000092163|ENSDART00000150555|si:dkey-264f17.1|
ENSDARG00000092163|ENSDART00000138825|si:dkey-264f17.1|
ENSDARG00000092164|ENSDART00000131522|si:ch73-299h12.2|
ENSDARG00000089864|ENSDART00000128686|BX323573.1|
ENSDARG00000060631|ENSDART00000085636|GARNL3|
ENSDARG00000062674|ENSDART00000151853|btbd10a|
ENSDARG00000062674|ENSDART00000137604|btbd10a|
ENSDARG00000062674|ENSDART00000136797|btbd10a|
ENSDARG00000062674|ENSDART00000133725|btbd10a|
ENSDARG00000062674|ENSDART00000090867|btbd10a|
ENSDARG00000076528|ENSDART00000113689|FAM181B|
ENSDARG00000037883|ENSDART00000144751|prcp|
ENSDARG00000037883|ENSDART00000083367|prcp|
ENSDARG00000001829|ENSDART00000024606|zgc:112982|
ENSDARG00000001829|ENSDART00000111096|zgc:112982|
ENSDARG00000001829|ENSDART00000146736|zgc:112982|
ENSDARG00000001829|ENSDART00000144664|zgc:112982|
ENSDARG00000001829|ENSDART00000130038|zgc:112982|
ENSDARG00000059545|ENSDART00000082866|foxj1a|
ENSDARG00000028119|ENSDART00000035905|sumo3a|
ENSDARG00000028119|ENSDART00000144524|sumo3a|
ENSDARG00000028119|ENSDART00000143730|sumo3a|
ENSDARG00000028119|ENSDART00000141017|sumo3a|
ENSDARG00000028119|ENSDART00000146577|sumo3a|
ENSDARG00000028119|ENSDART00000142530|sumo3a|
ENSDARG00000028119|ENSDART00000130411|sumo3a|
ENSDARG00000055548|ENSDART00000123143|NPAT|
ENSDARG00000055548|ENSDART00000077919|NPAT|
ENSDARG00000077177|ENSDART00000113335|map2k4b|
ENSDARG00000040666|ENSDART00000059549|mki67ip|
ENSDARG00000040666|ENSDART00000133549|mki67ip|
ENSDARG00000040666|ENSDART00000133060|mki67ip|
ENSDARG00000040666|ENSDART00000145223|mki67ip|
ENSDARG00000090181|ENSDART00000135910|si:dkey-242e21.4|
ENSDARG00000090181|ENSDART00000139272|si:dkey-242e21.4|
ENSDARG00000090181|ENSDART00000121711|si:dkey-242e21.4|
ENSDARG00000091078|ENSDART00000124073|CU929079.1|
ENSDARG00000068098|ENSDART00000134043|si:ch211-198o12.4|
ENSDARG00000068098|ENSDART00000135809|si:ch211-198o12.4|
ENSDARG00000068098|ENSDART00000098282|si:ch211-198o12.4|
ENSDARG00000053362|ENSDART00000075398|cilp|
ENSDARG00000075677|ENSDART00000149905|mrpl17|
ENSDARG00000075677|ENSDART00000113534|mrpl17|
ENSDARG00000086260|ENSDART00000101226|CABZ01052573.1|
ENSDARG00000090320|ENSDART00000122050|CABZ01052573.2|
ENSDARG00000008680|ENSDART00000149057|kpnb1|
ENSDARG00000008680|ENSDART00000024140|kpnb1|
ENSDARG00000023189|ENSDART00000051460|AL954173.1|
ENSDARG00000042624|ENSDART00000009560|PAK1 (1 of 2)|
ENSDARG00000094691|ENSDART00000138889|si:dkey-58b18.7|
ENSDARG00000090024|ENSDART00000129702|CABZ01038376.1|
ENSDARG00000057531|ENSDART00000091519|PGAP3|
ENSDARG00000090305|ENSDART00000125650||
ENSDARG00000093739|ENSDART00000134315|C9H17orf105|
ENSDARG00000093739|ENSDART00000139540|C9H17orf105|
ENSDARG00000089940|ENSDART00000130999|CU928013.2|
ENSDARG00000095863|ENSDART00000060822|zgc:161979|
ENSDARG00000071478|ENSDART00000105721|lnx2b|
ENSDARG00000071478|ENSDART00000141561|lnx2b|
ENSDARG00000071478|ENSDART00000139159|lnx2b|
ENSDARG00000071478|ENSDART00000128538|lnx2b|
ENSDARG00000095069|ENSDART00000147227|si:dkey-74i2.2|
ENSDARG00000076968|ENSDART00000113683|fam100b|
ENSDARG00000095181|ENSDART00000147158|si:ch73-299h12.1|
ENSDARG00000015985|ENSDART00000013990|abcc9|
ENSDARG00000015985|ENSDART00000079987|abcc9|
ENSDARG00000036844|ENSDART00000113247|tsen54|
ENSDARG00000036844|ENSDART00000053482|tsen54|
ENSDARG00000031150|ENSDART00000065234|zgc:112375|
ENSDARG00000090328|ENSDART00000122988|CABZ01038376.2|
ENSDARG00000070380|ENSDART00000103207|AL954173.3|
ENSDARG00000078208|ENSDART00000114511|CT025695.1|
ENSDARG00000079264|ENSDART00000111363|BAIAP3|
ENSDARG00000021124|ENSDART00000006132|cfl1|
ENSDARG00000021124|ENSDART00000144817|cfl1|
ENSDARG00000089779|ENSDART00000138287|si:rp71-1l17.2|
ENSDARG00000089779|ENSDART00000142956|si:rp71-1l17.2|
ENSDARG00000089779|ENSDART00000124177|si:rp71-1l17.2|
ENSDARG00000076650|ENSDART00000114937|CR848033.1|
ENSDARG00000079462|ENSDART00000114961|PTGES3L|
ENSDARG00000094465|ENSDART00000144349|si:dkeyp-80c12.8|
ENSDARG00000044808|ENSDART00000048399|slc4a4b|
ENSDARG00000092848|ENSDART00000141460|si:ch211-255f4.8|
ENSDARG00000052468|ENSDART00000074317|GSK3B (2 of 2)|
ENSDARG00000052468|ENSDART00000136481|GSK3B (2 of 2)|
ENSDARG00000093530|ENSDART00000147962|AL954741.1|
ENSDARG00000019223|ENSDART00000011910|arglu1a|
ENSDARG00000019223|ENSDART00000142272|arglu1a|
ENSDARG00000008982|ENSDART00000013918|casq2|
ENSDARG00000036364|ENSDART00000052825|ZDHHC24 (1 of 2)|
ENSDARG00000014432|ENSDART00000141767|CCDC77|
ENSDARG00000014432|ENSDART00000146538|CCDC77|
ENSDARG00000014432|ENSDART00000143564|CCDC77|
ENSDARG00000014432|ENSDART00000143368|CCDC77|
ENSDARG00000014432|ENSDART00000142550|CCDC77|
ENSDARG00000014432|ENSDART00000138485|CCDC77|
ENSDARG00000014432|ENSDART00000103208|CCDC77|
ENSDARG00000014432|ENSDART00000022021|CCDC77|
ENSDARG00000056464|ENSDART00000078972|fitm1|
ENSDARG00000008019|ENSDART00000104340|mxg|
ENSDARG00000094319|ENSDART00000142801|si:ch211-255f4.9|
ENSDARG00000015263|ENSDART00000003505|ADM (1 of 2)|
ENSDARG00000096378|ENSDART00000151668|rln1|
ENSDARG00000059460|ENSDART00000082664|cmt4b2|
ENSDARG00000070122|ENSDART00000143248|stk11ip|
ENSDARG00000070122|ENSDART00000102645|stk11ip|
ENSDARG00000007247|ENSDART00000044738|ric8a|
ENSDARG00000007247|ENSDART00000130354|ric8a|
ENSDARG00000096445|ENSDART00000152021|PLB1|
ENSDARG00000096445|ENSDART00000151991|PLB1|
ENSDARG00000096445|ENSDART00000151903|PLB1|
ENSDARG00000037897|ENSDART00000139386|glyr1|
ENSDARG00000037897|ENSDART00000055239|glyr1|
ENSDARG00000037897|ENSDART00000134287|glyr1|
ENSDARG00000037897|ENSDART00000131817|glyr1|
ENSDARG00000037897|ENSDART00000055238|glyr1|
ENSDARG00000010816|ENSDART00000143517|slc7a14a|
ENSDARG00000010816|ENSDART00000137746|slc7a14a|
ENSDARG00000010816|ENSDART00000032618|slc7a14a|
ENSDARG00000006206|ENSDART00000149175|pou4f3|
ENSDARG00000006206|ENSDART00000128131|pou4f3|
ENSDARG00000036846|ENSDART00000053494|anks4b|
ENSDARG00000045627|ENSDART00000113943|cyp3a65|
ENSDARG00000090861|ENSDART00000128260|CABZ01087514.1|
ENSDARG00000077219|ENSDART00000111038|PLXDC2 (2 of 2)|
ENSDARG00000041718|ENSDART00000061143|sept9b|
ENSDARG00000041718|ENSDART00000141425|sept9b|
ENSDARG00000041718|ENSDART00000127913|sept9b|
ENSDARG00000076076|ENSDART00000132674|crtc1|
ENSDARG00000076076|ENSDART00000144006|crtc1|
ENSDARG00000076076|ENSDART00000137049|crtc1|
ENSDARG00000076076|ENSDART00000075993|crtc1|
ENSDARG00000094443|ENSDART00000134474|CR356223.5|
ENSDARG00000088625|ENSDART00000123016|AL929105.3|
ENSDARG00000093902|ENSDART00000132472|si:ch211-242m24.8|
ENSDARG00000035718|ENSDART00000040786|AL929105.1|
ENSDARG00000078789|ENSDART00000111566|TMEM184C|
ENSDARG00000078789|ENSDART00000146020|TMEM184C|
ENSDARG00000089636|ENSDART00000122153|BX322587.1|
ENSDARG00000088644|ENSDART00000125626|CU468041.1|
ENSDARG00000007915|ENSDART00000127639|jak2a|
ENSDARG00000007915|ENSDART00000149212|jak2a|
ENSDARG00000007915|ENSDART00000150140|jak2a|
ENSDARG00000007915|ENSDART00000149063|jak2a|
ENSDARG00000007915|ENSDART00000004255|jak2a|
ENSDARG00000036852|ENSDART00000053502|DOM3Z|
ENSDARG00000053561|ENSDART00000021194|ms4a17a.11|
ENSDARG00000053561|ENSDART00000137380|ms4a17a.11|
ENSDARG00000036853|ENSDART00000053505|PITPNC1|
ENSDARG00000062510|ENSDART00000144894|bcl11ba|
ENSDARG00000062510|ENSDART00000123745|bcl11ba|
ENSDARG00000062510|ENSDART00000090487|bcl11ba|
ENSDARG00000019338|ENSDART00000011706|adprhl2|
ENSDARG00000054746|ENSDART00000123886|uggt1|
ENSDARG00000071800|ENSDART00000106473|si:ch211-255f4.11|
ENSDARG00000063387|ENSDART00000142848|sec22c|
ENSDARG00000063387|ENSDART00000092591|sec22c|
ENSDARG00000077809|ENSDART00000149852|il13|
ENSDARG00000077809|ENSDART00000109512|il13|
ENSDARG00000094543|ENSDART00000132436|sod3|
ENSDARG00000076812|ENSDART00000110251||
ENSDARG00000055053|ENSDART00000077344|CR558302.3|
ENSDARG00000037884|ENSDART00000055220|rab30|
ENSDARG00000093488|ENSDART00000139473|si:dkey-98b14.1|
ENSDARG00000093488|ENSDART00000134849|si:dkey-98b14.1|
ENSDARG00000052690|ENSDART00000074592|ARRDC3|
ENSDARG00000052690|ENSDART00000140591|ARRDC3|
ENSDARG00000052690|ENSDART00000134886|ARRDC3|
ENSDARG00000079782|ENSDART00000146213|vmhcl|
ENSDARG00000079782|ENSDART00000141922|vmhcl|
ENSDARG00000079782|ENSDART00000123565|vmhcl|
ENSDARG00000079782|ENSDART00000128784|vmhcl|
ENSDARG00000079782|ENSDART00000152105|vmhcl|
ENSDARG00000079782|ENSDART00000138076|vmhcl|
ENSDARG00000079782|ENSDART00000124461|vmhcl|
ENSDARG00000079782|ENSDART00000078958|vmhcl|
ENSDARG00000079782|ENSDART00000123064|vmhcl|
ENSDARG00000096398|ENSDART00000151672|si:ch211-276a17.5|
ENSDARG00000078289|ENSDART00000027028|CABZ01046425.1|
ENSDARG00000055841|ENSDART00000097168|CABZ01046427.1|
ENSDARG00000023369|ENSDART00000036702|mxd|
ENSDARG00000019294|ENSDART00000027072|cbln8|
ENSDARG00000037057|ENSDART00000147793|gcdh|
ENSDARG00000037057|ENSDART00000134245|gcdh|
ENSDARG00000037057|ENSDART00000053864|gcdh|
ENSDARG00000090166|ENSDART00000121472|L1TD1|
ENSDARG00000077162|ENSDART00000115355||
ENSDARG00000010280|ENSDART00000137955|clasp1a|
ENSDARG00000010280|ENSDART00000142853|clasp1a|
ENSDARG00000010280|ENSDART00000131334|clasp1a|
ENSDARG00000010280|ENSDART00000102445|clasp1a|
ENSDARG00000020534|ENSDART00000125216|CU633618.1|
ENSDARG00000093865|ENSDART00000141847|CR356223.3|
ENSDARG00000059327|ENSDART00000082425|gata2a|
ENSDARG00000059327|ENSDART00000136311|gata2a|
ENSDARG00000059327|ENSDART00000082420|gata2a|
ENSDARG00000031293|ENSDART00000137643|dnajc9|
ENSDARG00000031293|ENSDART00000044150|dnajc9|
ENSDARG00000031293|ENSDART00000136354|dnajc9|
ENSDARG00000031293|ENSDART00000135871|dnajc9|
ENSDARG00000016793|ENSDART00000100309|crybb1l2|
ENSDARG00000016793|ENSDART00000127380|crybb1l2|
ENSDARG00000016793|ENSDART00000127087|crybb1l2|
ENSDARG00000045824|ENSDART00000145334|FAM3D|
ENSDARG00000045824|ENSDART00000138946|FAM3D|
ENSDARG00000045824|ENSDART00000138851|FAM3D|
ENSDARG00000045824|ENSDART00000067354|FAM3D|
ENSDARG00000045824|ENSDART00000146689|FAM3D|
ENSDARG00000078877|ENSDART00000148012|zdhhc24|
ENSDARG00000078877|ENSDART00000106368|zdhhc24|
ENSDARG00000056784|ENSDART00000133250|aire|
ENSDARG00000056784|ENSDART00000147935|aire|
ENSDARG00000056784|ENSDART00000079317|aire|
ENSDARG00000055786|ENSDART00000078186|PRSS23|
ENSDARG00000021556|ENSDART00000147597|ubl3b|
ENSDARG00000021556|ENSDART00000029860|ubl3b|
ENSDARG00000093705|ENSDART00000138023|si:dkey-103j14.4|
ENSDARG00000067829|ENSDART00000097710|ppargc1a|
ENSDARG00000094362|ENSDART00000145797|si:dkey-162b3.5|
ENSDARG00000093510|ENSDART00000136178|si:ch211-255f4.12|
ENSDARG00000016516|ENSDART00000018253|rbm8a|
ENSDARG00000014849|ENSDART00000012064|pih1d2|
ENSDARG00000079325|ENSDART00000078237|CABZ01046432.1|
ENSDARG00000092773|ENSDART00000141342|si:dkey-58b18.2|
ENSDARG00000088426|ENSDART00000130855|HS6ST1 (2 of 3)|
ENSDARG00000093560|ENSDART00000132414|si:ch211-233c16.1|
ENSDARG00000036186|ENSDART00000052556|mbpa|
ENSDARG00000036186|ENSDART00000128196|mbpa|
ENSDARG00000036186|ENSDART00000150168|mbpa|
ENSDARG00000036186|ENSDART00000149259|mbpa|
ENSDARG00000036186|ENSDART00000151442|mbpa|
ENSDARG00000036186|ENSDART00000149658|mbpa|
ENSDARG00000036186|ENSDART00000148424|mbpa|
ENSDARG00000036186|ENSDART00000148797|mbpa|
ENSDARG00000036186|ENSDART00000151272|mbpa|
ENSDARG00000036186|ENSDART00000149639|mbpa|
ENSDARG00000036186|ENSDART00000148445|mbpa|
ENSDARG00000054754|ENSDART00000134756|hs6st1a|
ENSDARG00000054754|ENSDART00000077010|hs6st1a|
ENSDARG00000091968|ENSDART00000146778|si:dkey-50i6.6|
ENSDARG00000006925|ENSDART00000133908|si:dkey-58b18.3|
ENSDARG00000006925|ENSDART00000057485|si:dkey-58b18.3|
ENSDARG00000088255|ENSDART00000125617|SMOC1 (2 of 2)|
ENSDARG00000056490|ENSDART00000137476|SSBP4 (2 of 2)|
ENSDARG00000056490|ENSDART00000004816|SSBP4 (2 of 2)|
ENSDARG00000056490|ENSDART00000138822|SSBP4 (2 of 2)|
ENSDARG00000068698|ENSDART00000099456|psenen|
ENSDARG00000071622|ENSDART00000113703|CABZ01046433.1|
ENSDARG00000057582|ENSDART00000080284|KLHL34|
ENSDARG00000093292|ENSDART00000140912|CABZ01008481.1|
ENSDARG00000094022|ENSDART00000148228|si:ch211-217g15.4|
ENSDARG00000086631|ENSDART00000106414|rnh1|
ENSDARG00000093024|ENSDART00000132667||
ENSDARG00000038917|ENSDART00000149813|rad50|
ENSDARG00000038917|ENSDART00000075927|rad50|
ENSDARG00000038917|ENSDART00000121721|rad50|
ENSDARG00000095262|ENSDART00000137118|CABZ01008480.1|
ENSDARG00000045130|ENSDART00000066368|klhl11|
ENSDARG00000034264|ENSDART00000146828|odz4|
ENSDARG00000034264|ENSDART00000002791|odz4|
ENSDARG00000034264|ENSDART00000045312|odz4|
ENSDARG00000096148|ENSDART00000150434|si:dkey-264f17.3|
ENSDARG00000077736|ENSDART00000084014|CPLX1 (1 of 2)|
ENSDARG00000092575|ENSDART00000136266|si:ch211-255f4.13|
ENSDARG00000011247|ENSDART00000017427|rnpc3|
ENSDARG00000011247|ENSDART00000122175|rnpc3|
ENSDARG00000015392|ENSDART00000081245|dhx15|
ENSDARG00000015392|ENSDART00000149682|dhx15|
ENSDARG00000094218|ENSDART00000133362|si:dkey-1b17.1|
ENSDARG00000094218|ENSDART00000146613|si:dkey-1b17.1|
ENSDARG00000094739|ENSDART00000131364|si:dkey-51a16.10|
ENSDARG00000093852|ENSDART00000142383|si:dkey-19a16.1|
ENSDARG00000089188|ENSDART00000126365|SMOC1 (1 of 2)|
ENSDARG00000058794|ENSDART00000145305|si:dkey-19a16.2|
ENSDARG00000053708|ENSDART00000075780|CR848029.1|
ENSDARG00000095336|ENSDART00000150418|si:dkey-199m13.3|
ENSDARG00000095336|ENSDART00000143253|si:dkey-199m13.3|
ENSDARG00000076081|ENSDART00000105615|sncgb|
ENSDARG00000001937|ENSDART00000019804|CABZ01043017.1|
ENSDARG00000086907|ENSDART00000125790|NCBP1 (2 of 2)|
ENSDARG00000044809|ENSDART00000141607|fpgs|
ENSDARG00000044809|ENSDART00000135486|fpgs|
ENSDARG00000044809|ENSDART00000065858|fpgs|
ENSDARG00000031455|ENSDART00000133663|zgc:113343|
ENSDARG00000031455|ENSDART00000102724|zgc:113343|
ENSDARG00000031455|ENSDART00000134898|zgc:113343|
ENSDARG00000092862|ENSDART00000137506|PLCG2 (2 of 2)|
ENSDARG00000092862|ENSDART00000131555|PLCG2 (2 of 2)|
ENSDARG00000092862|ENSDART00000143404|PLCG2 (2 of 2)|
ENSDARG00000067824|ENSDART00000143636|si:ch211-122m3.1|
ENSDARG00000067824|ENSDART00000136363|si:ch211-122m3.1|
ENSDARG00000067824|ENSDART00000097695|si:ch211-122m3.1|
ENSDARG00000017220|ENSDART00000124689|otud7b|
ENSDARG00000017220|ENSDART00000041811|otud7b|
ENSDARG00000017220|ENSDART00000128840|otud7b|
ENSDARG00000014692|ENSDART00000022643|znf622|
ENSDARG00000045302|ENSDART00000066625|smpx|
ENSDARG00000093461|ENSDART00000133535|BX323560.2|
ENSDARG00000075706|ENSDART00000145505|si:ch211-106h4.9|
ENSDARG00000075706|ENSDART00000135668|si:ch211-106h4.9|
ENSDARG00000075706|ENSDART00000144383|si:ch211-106h4.9|
ENSDARG00000075706|ENSDART00000132955|si:ch211-106h4.9|
ENSDARG00000075706|ENSDART00000111810|si:ch211-106h4.9|
ENSDARG00000060210|ENSDART00000084597|d2hgdh|
ENSDARG00000039910|ENSDART00000058380|rbm42|
ENSDARG00000018006|ENSDART00000152111|vrk1|
ENSDARG00000018006|ENSDART00000045991|vrk1|
ENSDARG00000032079|ENSDART00000042884|acsl3a|
ENSDARG00000086766|ENSDART00000123484|CABZ01086927.1|
ENSDARG00000088054|ENSDART00000124250|CABZ01086926.1|
ENSDARG00000055652|ENSDART00000078037|ACLY|
ENSDARG00000071384|ENSDART00000105501|SLC7A11 (1 of 2)|
ENSDARG00000075158|ENSDART00000111388|igdcc3|
ENSDARG00000075158|ENSDART00000148819|igdcc3|
ENSDARG00000036383|ENSDART00000112438|si:ch73-335m24.5|
ENSDARG00000090506|ENSDART00000124264|GTF3C1|
ENSDARG00000028524|ENSDART00000014072|col5a3b|
ENSDARG00000095625|ENSDART00000135205|BX663512.1|
ENSDARG00000018325|ENSDART00000015007|taf5|
ENSDARG00000076218|ENSDART00000111023|b3galt4|
ENSDARG00000020164|ENSDART00000026011|efnb2a|
ENSDARG00000020164|ENSDART00000144999|efnb2a|
ENSDARG00000020164|ENSDART00000141584|efnb2a|
ENSDARG00000014986|ENSDART00000017977|acvr1l|
ENSDARG00000014986|ENSDART00000122860|acvr1l|
ENSDARG00000014986|ENSDART00000140138|acvr1l|
ENSDARG00000014986|ENSDART00000127520|acvr1l|
ENSDARG00000068036|ENSDART00000098160|tmem119b|
ENSDARG00000092822|ENSDART00000134784|si:ch211-261b22.2|
ENSDARG00000031616|ENSDART00000139419|g6pca.1|
ENSDARG00000031616|ENSDART00000131301|g6pca.1|
ENSDARG00000031616|ENSDART00000130159|g6pca.1|
ENSDARG00000031616|ENSDART00000032050|g6pca.1|
ENSDARG00000031616|ENSDART00000106435|g6pca.1|
ENSDARG00000027279|ENSDART00000103350|numb|
ENSDARG00000027279|ENSDART00000017329|numb|
ENSDARG00000089539|ENSDART00000130528|PGBD4 (3 of 7)|
ENSDARG00000092128|ENSDART00000142165|si:dkey-1b17.2|
ENSDARG00000095377|ENSDART00000146709|si:ch211-28e16.4|
ENSDARG00000016391|ENSDART00000008409|tceb3|
ENSDARG00000032571|ENSDART00000043626|crfb8|
ENSDARG00000032571|ENSDART00000108687|crfb8|
ENSDARG00000088870|ENSDART00000135420|si:dkey-265e15.5|
ENSDARG00000088870|ENSDART00000004188|si:dkey-265e15.5|
ENSDARG00000088870|ENSDART00000099538|si:dkey-265e15.5|
ENSDARG00000060054|ENSDART00000084223|EPC1 (1 of 2)|
ENSDARG00000056112|ENSDART00000123278|pikfyve|
ENSDARG00000056112|ENSDART00000148767|pikfyve|
ENSDARG00000056112|ENSDART00000112453|pikfyve|
ENSDARG00000056112|ENSDART00000143964|pikfyve|
ENSDARG00000056112|ENSDART00000110204|pikfyve|
ENSDARG00000056112|ENSDART00000078540|pikfyve|
ENSDARG00000079584|ENSDART00000110671|zgc:194930|
ENSDARG00000093465|ENSDART00000136537|si:ch73-7i4.3|
ENSDARG00000013489|ENSDART00000146169|GLTSCR2|
ENSDARG00000013489|ENSDART00000021814|GLTSCR2|
ENSDARG00000018312|ENSDART00000098610|RELL1|
ENSDARG00000018312|ENSDART00000129219|RELL1|
ENSDARG00000093327|ENSDART00000144134|si:rp71-1h3.1|
ENSDARG00000093327|ENSDART00000139322|si:rp71-1h3.1|
ENSDARG00000093327|ENSDART00000141232|si:rp71-1h3.1|
ENSDARG00000093327|ENSDART00000148221|si:rp71-1h3.1|
ENSDARG00000095236|ENSDART00000143328|si:ch73-110p20.1|
ENSDARG00000095236|ENSDART00000138683|si:ch73-110p20.1|
ENSDARG00000095236|ENSDART00000137618|si:ch73-110p20.1|
ENSDARG00000095236|ENSDART00000144857|si:ch73-110p20.1|
ENSDARG00000095236|ENSDART00000133853|si:ch73-110p20.1|
ENSDARG00000095236|ENSDART00000138984|si:ch73-110p20.1|
ENSDARG00000095236|ENSDART00000131344|si:ch73-110p20.1|
ENSDARG00000074361|ENSDART00000113963|GDPD4 (2 of 3)|
ENSDARG00000088488|ENSDART00000123959|CR352290.3|
ENSDARG00000089592|ENSDART00000025987|CR352290.4|
ENSDARG00000003210|ENSDART00000141493|ANO2 (2 of 2)|
ENSDARG00000003210|ENSDART00000022998|ANO2 (2 of 2)|
ENSDARG00000075632|ENSDART00000133519|rad9b|
ENSDARG00000075632|ENSDART00000137383|rad9b|
ENSDARG00000075632|ENSDART00000141728|rad9b|
ENSDARG00000075632|ENSDART00000109222|rad9b|
ENSDARG00000092106|ENSDART00000141325|si:ch211-214p13.8|
ENSDARG00000076892|ENSDART00000079717|nme2b.2|
ENSDARG00000076892|ENSDART00000111744|nme2b.2|
ENSDARG00000076892|ENSDART00000110456|nme2b.2|
ENSDARG00000076892|ENSDART00000110761|nme2b.2|
ENSDARG00000068613|ENSDART00000099298|zgc:154018|
ENSDARG00000073711|ENSDART00000109799|mmrn2b|
ENSDARG00000053724|ENSDART00000075790|ADCYAP1R1 (2 of 2)|
ENSDARG00000028159|ENSDART00000125925|tead1a|
