ftr,cons
sa45771,splice_site_variant
sa45772,stop_gained
sa45773,
sa45773,stop_gained
sa45773,
sa45774,splice_site_variant
sa45775,stop_gained
sa45775,stop_gained
sa45776,stop_gained
sa45777,stop_gained
sa45777,stop_gained
sa45778,splice_site_variant
sa45778,splice_site_variant
sa45779,stop_gained
sa45779,stop_gained
sa45781,stop_gained
sa45782,stop_gained
sa45782,stop_gained
sa45783,
sa45783,stop_gained
sa45784,stop_gained
sa45785,splice_site_variant
sa45785,splice_site_variant
sa45786,stop_gained
sa45787,stop_gained
sa45787,stop_gained
sa45788,stop_gained
sa45789,
sa45789,stop_gained
sa45789,
sa45790,stop_gained
sa45790,
sa45791,splice_site_variant
sa45791,splice_site_variant
sa45791,splice_site_variant
sa45792,stop_gained
sa45792,
sa45792,stop_gained
sa45792,stop_gained
sa45792,
sa45793,stop_gained
sa45793,stop_gained
sa45794,stop_gained
sa45794,stop_gained
sa45794,
sa45794,
sa45794,stop_gained
sa45795,stop_gained
sa45795,stop_gained
sa45796,
sa45796,stop_gained
sa45796,stop_gained
sa45797,stop_gained
sa45798,
sa45798,splice_site_variant
sa45798,
sa45798,splice_site_variant
sa45799,stop_gained
sa45800,splice_site_variant
sa45800,
sa45801,stop_gained
sa45801,
sa45801,stop_gained
sa45802,splice_site_variant
sa45802,splice_site_variant
sa45803,splice_site_variant
sa45803,
sa45803,
sa45803,
sa45804,
sa45804,
sa45804,
sa45804,stop_gained
sa45804,stop_gained
sa45805,stop_gained
sa45805,stop_gained
sa45805,stop_gained
sa45805,stop_gained
sa45805,stop_gained
sa45806,stop_gained
sa45806,stop_gained
sa45807,stop_gained
sa45807,stop_gained
sa45808,
sa45808,stop_gained
sa45808,stop_gained
sa45809,
sa45809,splice_site_variant
sa45810,stop_gained
sa45811,splice_site_variant
sa45812,splice_site_variant
sa45813,stop_gained
sa45814,stop_gained
sa45815,splice_site_variant
sa45816,splice_site_variant
sa45816,
sa45817,splice_site_variant
sa45817,
sa45817,
sa45818,stop_gained
sa45818,stop_gained
sa45819,stop_gained
sa45820,stop_gained
sa45821,stop_gained
sa45822,stop_gained
sa45822,stop_gained
sa45823,stop_gained
sa45823,stop_gained
sa45824,stop_gained
sa45824,stop_gained
sa45825,stop_gained
sa45826,stop_gained
sa45827,
sa45827,splice_site_variant
sa45827,
sa45828,splice_site_variant
sa45828,splice_site_variant
sa45829,stop_gained
sa45829,stop_gained
sa45829,stop_gained
sa45830,splice_site_variant
sa45830,splice_site_variant
sa45830,splice_site_variant
sa45831,splice_site_variant
sa45831,splice_site_variant
sa45832,splice_site_variant
sa45832,
sa45833,splice_site_variant
sa45834,stop_gained
sa45835,splice_site_variant
sa45836,splice_site_variant
sa45837,splice_site_variant
sa45837,splice_site_variant
sa45839,stop_gained
sa45840,stop_gained
sa45840,
sa45841,stop_gained
sa45841,stop_gained
sa45841,stop_gained
sa45842,stop_gained
sa45843,splice_site_variant
sa45843,splice_site_variant
sa45844,stop_gained
sa45845,stop_gained
sa45846,
sa45846,stop_gained
sa45847,stop_gained
sa45847,stop_gained
sa45848,stop_gained
sa45849,stop_gained
sa45850,stop_gained
sa45851,stop_gained
sa45853,splice_site_variant
sa45854,stop_gained
sa45854,stop_gained
sa45855,splice_site_variant
sa45856,stop_gained
sa45857,stop_gained
sa45857,stop_gained
sa45858,splice_site_variant
sa45858,stop_gained
sa45858,stop_gained
sa45859,stop_gained
sa45860,stop_gained
sa45861,stop_gained
sa45862,splice_site_variant
sa45863,splice_site_variant
sa45864,stop_gained
sa45865,splice_site_variant
sa45866,stop_gained
sa45867,stop_gained
sa45868,stop_gained
sa45869,splice_site_variant
sa45870,stop_gained
sa45871,splice_site_variant
