tscriptid,ottdartid,ensdartid
sepp1a-003,OTTDART00000025437,ENSDART00000140772.2
snx9a-003,OTTDART00000025448,ENSDART00000098593.5
snx9a-002,OTTDART00000025447,ENSDART00000142672.2
ivd-004,OTTDART00000025460,ENSDART00000133468.2
ivd-003,OTTDART00000025459,ENSDART00000135445.2
jade1-002,OTTDART00000025464,ENSDART00000136971.2
jade1-004,OTTDART00000055619,ENSDART00000151869.2
jade1-003,OTTDART00000025465,ENSDART00000143852.2
pou3f3a-004,OTTDART00000025479,
tra2b-003,OTTDART00000025485,ENSDART00000142024.2
tra2b-002,OTTDART00000025484,ENSDART00000146059.2
tra2b-004,OTTDART00000025486,ENSDART00000146127.3
tra2b-005,OTTDART00000025487,ENSDART00000132331.3
ren-002,OTTDART00000025504,ENSDART00000131894.2
fn1a-002,OTTDART00000025514,ENSDART00000103753.5
rbm39b-004,OTTDART00000025527,ENSDART00000133415.2
rbm39b-005,OTTDART00000025528,ENSDART00000139576.2
rbm39b-006,OTTDART00000025529,ENSDART00000143129.3
wdr3-003,OTTDART00000025548,ENSDART00000145259.3
wdr3-004,OTTDART00000025549,ENSDART00000142280.2
tbx15-002,OTTDART00000025551,ENSDART00000124533.3
henmt1-002,OTTDART00000006745,ENSDART00000139202.2
henmt1-003,OTTDART00000058492,ENSDART00000152853.2
piwil1-002,OTTDART00000025563,
sort1a-002,OTTDART00000025565,ENSDART00000134481.2
pla1a-001,OTTDART00000025588,ENSDART00000171570
pla1a-002,OTTDART00000025589,ENSDART00000168177.2
ybx1-002,OTTDART00000025615,ENSDART00000128057.3
ybx1-003,OTTDART00000025622,ENSDART00000126513.3
pcmtl-004,OTTDART00000025631,ENSDART00000134833.2
rbp4-003,OTTDART00000025658,ENSDART00000159927.2
hnrnpk-002,OTTDART00000025662,ENSDART00000143950.2
hnrnpk-003,OTTDART00000025663,ENSDART00000135841.2
sap18-002,OTTDART00000025668,ENSDART00000145240.2
xpo4-002,OTTDART00000025671,ENSDART00000144188.2
nfu1-002,OTTDART00000025682,ENSDART00000143095.2
crygm7-003,OTTDART00000025687,ENSDART00000145297.2
crygm7-002,OTTDART00000025686,ENSDART00000139189.2
fgfr1a-004,OTTDART00000025696,ENSDART00000127119
npc2-002,OTTDART00000025721,ENSDART00000139875.3
phf5a-003,OTTDART00000025754,ENSDART00000144771.2
crygs4-002,OTTDART00000025769,ENSDART00000133841.2
cry1ba-003,OTTDART00000025774,ENSDART00000140615.2
stat5b-002,OTTDART00000025776,ENSDART00000077952
cpt2-003,OTTDART00000025808,ENSDART00000146679.2
arhgap12b-002,OTTDART00000025822,
prkab1b-002,OTTDART00000025826,
unc119.1-002,OTTDART00000025831,ENSDART00000130686.3
ldb3b-003,OTTDART00000025838,ENSDART00000171135.2
ldb3b-005,OTTDART00000025840,ENSDART00000170265.2
wdr13-003,OTTDART00000025850,ENSDART00000135917.2
comta-002,OTTDART00000025853,
cpn1-002,OTTDART00000025855,ENSDART00000144422.2
cpn1-003,OTTDART00000025856,ENSDART00000139444.2
srsf2a-002,OTTDART00000025858,ENSDART00000136278.3
srsf2a-004,OTTDART00000025860,ENSDART00000140550
srsf2a-005,OTTDART00000025861,ENSDART00000146446
srsf2a-006,OTTDART00000025862,ENSDART00000132753
slc9a3r1-002,OTTDART00000025878,ENSDART00000136272.2
llgl2-002,OTTDART00000025880,ENSDART00000132047.2
llgl2-003,OTTDART00000025881,ENSDART00000138776.2
fbxo9-002,OTTDART00000025896,
unk-002,OTTDART00000025901,ENSDART00000137254.2
acvr2aa-002,OTTDART00000025925,ENSDART00000145209.2
ccdc25-002,OTTDART00000006886,ENSDART00000131601.2
hnrnpl2-003,OTTDART00000025930,ENSDART00000135442.3
hnrnpl2-004,OTTDART00000025931,ENSDART00000146815.2
vps26b-002,OTTDART00000025952,ENSDART00000148345.2
dlc-002,OTTDART00000025962,ENSDART00000148359.2
tnfaip1-004,OTTDART00000025983,ENSDART00000136520
slc25a5-002,OTTDART00000025987,ENSDART00000140369.2
aldh3a2a-004,OTTDART00000025992,ENSDART00000139551.2
anxa11a-003,OTTDART00000025997,ENSDART00000142408.2
mark3a-002,OTTDART00000026005,ENSDART00000146726.2
dixdc1a-002,OTTDART00000026014,ENSDART00000078723.6
rps6kb1b-003,OTTDART00000026021,ENSDART00000147078.2
rps6kb1b-002,OTTDART00000026020,ENSDART00000145216.2
adh8a-002,OTTDART00000026023,ENSDART00000102295.5
adh8b-002,OTTDART00000026025,ENSDART00000133315.2
adh8b-003,OTTDART00000026026,ENSDART00000139618.2
vps26a-002,OTTDART00000026033,ENSDART00000134637.2
vps26a-003,OTTDART00000026034,ENSDART00000136621.2
srsf1a-003,OTTDART00000026044,ENSDART00000137058.2
adam8a-002,OTTDART00000026062,ENSDART00000139572.2
mcmbp-003,OTTDART00000026072,ENSDART00000133970.2
mcmbp-004,OTTDART00000026073,ENSDART00000143853.2
mcmbp-002,OTTDART00000021359,ENSDART00000135712.3
mettl16-003,OTTDART00000026086,ENSDART00000134159.2
mettl16-002,OTTDART00000026085,ENSDART00000127771.3
poldip2-004,OTTDART00000026092,ENSDART00000145227.2
poldip2-003,OTTDART00000026091,ENSDART00000147819.3
vrk2-002,OTTDART00000026097,ENSDART00000139264.2
vrk2-003,OTTDART00000026098,ENSDART00000145407.2
tsr1-002,OTTDART00000026105,ENSDART00000149256
slc6a4a-002,OTTDART00000026116,ENSDART00000141436.2
slc6a4a-003,OTTDART00000057514,ENSDART00000152317.2
wsb1-002,OTTDART00000026122,ENSDART00000147496.2
hif1an-002,OTTDART00000026127,ENSDART00000142211.2
rps24-003,OTTDART00000026150,ENSDART00000143934.3
rps24-004,OTTDART00000026151,ENSDART00000134691.2
rtn1a-001,OTTDART00000026156,ENSDART00000126860
pgam1a-002,OTTDART00000026162,ENSDART00000145300.2
serpinh1b-003,OTTDART00000026165,ENSDART00000133845.2
serpinh1b-004,OTTDART00000057540,ENSDART00000152365.2
rabl3-002,OTTDART00000026186,ENSDART00000134743.2
trappc6bl-002,OTTDART00000026209,ENSDART00000137675
atp5o-002,OTTDART00000026214,ENSDART00000142453.3
atp5o-003,OTTDART00000026215,ENSDART00000141849.2
thoc2-001,OTTDART00000026221,ENSDART00000054611.6
thoc2-002,OTTDART00000026222,ENSDART00000141138.2
thoc2-005,OTTDART00000026225,ENSDART00000143316.3
thoc2-006,OTTDART00000026226,ENSDART00000146178.2
six4a-002,OTTDART00000026246,ENSDART00000143903
eaf1-003,OTTDART00000026251,ENSDART00000145141.2
ddc-002,OTTDART00000026264,ENSDART00000145527.2
prpf3-003,OTTDART00000026267,ENSDART00000141696.2
ptpn2a-003,OTTDART00000026273,ENSDART00000141111.2
asmtl-002,OTTDART00000026275,ENSDART00000143984.2
pafah1b3-003,OTTDART00000026282,ENSDART00000135184.2
cnih1-002,OTTDART00000026284,ENSDART00000144981.2
cnih1-003,OTTDART00000026285,ENSDART00000131709.2
cdkn3-002,OTTDART00000026287,ENSDART00000142402.2
gmfb-002,OTTDART00000026289,ENSDART00000138940.2
epn1-003,OTTDART00000026297,ENSDART00000134612.2
epn1-004,OTTDART00000026298,ENSDART00000145583.2
epn1-005,OTTDART00000046586,
nifk-002,OTTDART00000026321,ENSDART00000133549.3
nifk-004,OTTDART00000034772,ENSDART00000145223.2
ogt.2-002,OTTDART00000026336,ENSDART00000170269.2
ogt.2-003,OTTDART00000026337,ENSDART00000161312.2
dusp1-002,OTTDART00000026341,ENSDART00000168963.2
dusp1-003,OTTDART00000026342,ENSDART00000159520.2
hacl1-002,OTTDART00000026351,ENSDART00000143898
mef2d-003,OTTDART00000026357,ENSDART00000137034.2
mef2d-004,OTTDART00000026358,ENSDART00000147591.2
jdp2b-002,OTTDART00000007036,ENSDART00000143530.2
jdp2b-003,OTTDART00000058757,ENSDART00000153231.2
ogt.1-005,OTTDART00000026367,ENSDART00000161569.2
ogt.1-006,OTTDART00000026368,ENSDART00000167221.2
ogt.1-007,OTTDART00000026369,ENSDART00000158615.2
cdh17-002,OTTDART00000026379,ENSDART00000123187.3
mcm3ap-002,OTTDART00000026384,ENSDART00000142512.2
snx4-002,OTTDART00000026386,ENSDART00000132729.2
efna1b-002,OTTDART00000026389,ENSDART00000135279.2
ottdart00000026399,OTTDART00000026399,ENSDART00000133476.2
polr2gl-002,OTTDART00000026416,ENSDART00000148216.2
lrrfip2-002,OTTDART00000026423,ENSDART00000145745
snx9b-002,OTTDART00000007059,ENSDART00000060938
lrrfip2-004,OTTDART00000026425,ENSDART00000141115.2
caska-003,OTTDART00000026430,ENSDART00000138844.2
caska-002,OTTDART00000026429,ENSDART00000135366.2
caska-004,OTTDART00000026431,ENSDART00000146656.2
ube2e3-002,OTTDART00000026434,ENSDART00000136628.2
tmem50a-002,OTTDART00000026436,ENSDART00000133635.2
sestd1-002,OTTDART00000026441,ENSDART00000139283.2
sestd1-003,OTTDART00000026442,ENSDART00000135365.2
cpeb4-004,OTTDART00000026448,ENSDART00000136218.2
cpeb4-002,OTTDART00000026446,ENSDART00000124255.3
slit3-002,OTTDART00000026452,ENSDART00000126199.3
stc2a-002,OTTDART00000026455,ENSDART00000138082.2
sparc-005,OTTDART00000026464,ENSDART00000142572.2
sparc-006,OTTDART00000026465,ENSDART00000141916.2
glrx-003,OTTDART00000026485,ENSDART00000137850.2
cfl1-002,OTTDART00000026491,ENSDART00000144817.2
asah1a-002,OTTDART00000026497,ENSDART00000146361.2
ftsj1-004,OTTDART00000026527,ENSDART00000135363
efemp2b-003,OTTDART00000026559,ENSDART00000142581.2
efemp2b-004,OTTDART00000026560,ENSDART00000133521.2
fibpb-001,OTTDART00000026561,ENSDART00000146956
bfb-002,OTTDART00000026587,ENSDART00000124221.3
dpp3-002,OTTDART00000026592,ENSDART00000146724.2
xrn2-002,OTTDART00000007202,ENSDART00000162720
apoa4b.1-002,OTTDART00000026606,ENSDART00000144241.2
apoeb-004,OTTDART00000026611,ENSDART00000133484.2
apoeb-003,OTTDART00000026610,ENSDART00000113722.5
hm13-003,OTTDART00000026620,
hm13-002,OTTDART00000026622,ENSDART00000130276.3
cdc23-002,OTTDART00000026637,ENSDART00000141004.2
taz-002,OTTDART00000026644,ENSDART00000139758.3
taz-003,OTTDART00000026645,ENSDART00000147982
taz-004,OTTDART00000026646,ENSDART00000142699.3
taz-005,OTTDART00000026647,ENSDART00000146653.2
taz-007,OTTDART00000026649,ENSDART00000131302
dtnbp1a-005,OTTDART00000026655,ENSDART00000137511.2
dtnbp1a-003,OTTDART00000026653,ENSDART00000143415.3
dtnbp1a-004,OTTDART00000026654,ENSDART00000146039.2
dtnbp1a-008,OTTDART00000026658,ENSDART00000147893.2
fgfr4-002,OTTDART00000026661,
derl1-003,OTTDART00000026664,ENSDART00000135893.2
derl1-002,OTTDART00000026663,ENSDART00000132136.2
tomm40-004,OTTDART00000026668,ENSDART00000136777.2
cct3-002,OTTDART00000026671,ENSDART00000138610.2
cct3-003,OTTDART00000026672,ENSDART00000147289.3
cct3-004,OTTDART00000026673,ENSDART00000134538.3
lmna-003,OTTDART00000026676,ENSDART00000135831.2
lmna-002,OTTDART00000026675,ENSDART00000147986.2
pgk1-002,OTTDART00000026678,
pgk1-003,OTTDART00000026679,
slc25a14-002,OTTDART00000026698,ENSDART00000146465.2
selenbp1-002,OTTDART00000026709,
srsf1b-003,OTTDART00000026711,
dcaf13-002,OTTDART00000026756,ENSDART00000148355.2
dcaf13-003,OTTDART00000026757,ENSDART00000139307.2
psma4-002,OTTDART00000026768,ENSDART00000146071.2
mmgt1-002,OTTDART00000026781,ENSDART00000138434.2
f9a-002,OTTDART00000026784,
hprt1-002,OTTDART00000026788,ENSDART00000024075
rbmx-002,OTTDART00000026790,ENSDART00000138084
rbmx-003,OTTDART00000026791,ENSDART00000139839.3
rbmx-005,OTTDART00000026793,ENSDART00000144615.3
psmd13-002,OTTDART00000026814,ENSDART00000104599.5
olfm2a-002,OTTDART00000026819,ENSDART00000138035.2
actr6-003,OTTDART00000026856,ENSDART00000140907.2
uba2-002,OTTDART00000026860,ENSDART00000161452.2
mapre1b-002,OTTDART00000026882,ENSDART00000133602.2
hsd17b12a-002,OTTDART00000026913,ENSDART00000141167.2
hsd17b12a-003,OTTDART00000026914,ENSDART00000140389.2
tnnt3a-002,OTTDART00000026918,ENSDART00000145437.2
krt8-002,OTTDART00000026927,ENSDART00000142261.2
krt8-003,OTTDART00000026928,ENSDART00000137533.2
pitx2-003,OTTDART00000026936,ENSDART00000137652.2
pitx2-004,OTTDART00000062801,ENSDART00000173243.2
gria2b-003,OTTDART00000026940,ENSDART00000134602.2
gria2b-004,OTTDART00000026941,ENSDART00000147856.2
hnrnpa0b-002,OTTDART00000026976,ENSDART00000052512
hnrnpa0b-003,OTTDART00000026977,ENSDART00000144599
ppdpfb-002,OTTDART00000026980,ENSDART00000132024.2
tpd52l2b-003,OTTDART00000026983,ENSDART00000139876.2
tpd52l2b-005,OTTDART00000026985,ENSDART00000140535.2
fam50a-002,OTTDART00000026998,ENSDART00000141667.2
itga5-002,OTTDART00000027005,ENSDART00000147392.2
sgk1-004,OTTDART00000027009,ENSDART00000148122.2
sgk1-006,OTTDART00000042780,ENSDART00000147156.2
dpm1-002,OTTDART00000027019,ENSDART00000131388.2
uba1-004,OTTDART00000027023,ENSDART00000136021.2
her9-002,OTTDART00000027042,ENSDART00000143756.2
sult1st5-003,OTTDART00000027047,ENSDART00000146231.2
pa2g4b-003,OTTDART00000027052,ENSDART00000132271.2
hnf4a-002,OTTDART00000027055,ENSDART00000124103
lmbr1l-002,OTTDART00000027068,ENSDART00000134008.2
taf7-003,OTTDART00000027079,ENSDART00000133084.2
setd7-002,OTTDART00000027088,ENSDART00000143158.2
clstn1-003,OTTDART00000027105,
tardbpl-001,OTTDART00000027106,ENSDART00000126681
tardbpl-002,OTTDART00000027107,ENSDART00000027255
lzic-002,OTTDART00000027111,ENSDART00000140048.2
pola1-002,OTTDART00000027119,ENSDART00000138097
si:ch211-226m16.2-003,OTTDART00000002164,ENSDART00000144902
zmynd11-002,OTTDART00000027138,ENSDART00000079863.7
zmynd11-003,OTTDART00000027139,ENSDART00000134339.2
zmynd11-004,OTTDART00000027140,ENSDART00000134380.2
ek1-003,OTTDART00000027146,ENSDART00000147835.2
nup58-002,OTTDART00000027175,ENSDART00000135757.2
nup58-003,OTTDART00000027176,ENSDART00000144336.3
phex-003,OTTDART00000027184,ENSDART00000136183.2
commd3-002,OTTDART00000027193,ENSDART00000143058.2
commd3-003,OTTDART00000044511,ENSDART00000131577.3
sec61g-002,OTTDART00000027198,ENSDART00000146024.2
sec61g-003,OTTDART00000027199,ENSDART00000146687.2
sec61g-004,OTTDART00000027200,ENSDART00000146074.2
cul1b-002,OTTDART00000027204,ENSDART00000141679.2
mdm2-006,OTTDART00000027214,ENSDART00000143747
ap2m1a-003,OTTDART00000027228,ENSDART00000132903.2
anxa13l-009,OTTDART00000027238,ENSDART00000139639.2
anxa13l-006,OTTDART00000027235,ENSDART00000141472.2
anxa13l-008,OTTDART00000027237,ENSDART00000135248.2
pttg1ipb-002,OTTDART00000027260,ENSDART00000146721.2
scinlb-002,OTTDART00000027270,ENSDART00000148031.2
mtf2-002,OTTDART00000027276,ENSDART00000111298.4
cnppd1-002,OTTDART00000027290,ENSDART00000144559.2
ottdart00000027295,OTTDART00000027295,
actb1-006,OTTDART00000027328,ENSDART00000135318.2
actb1-003,OTTDART00000027325,ENSDART00000148067.2
zgc:112980-005,OTTDART00000027334,ENSDART00000146333.2
zgc:112980-006,OTTDART00000027335,ENSDART00000147640.2
zgc:112980-003,OTTDART00000027332,ENSDART00000147763.2
zgc:112980-004,OTTDART00000027333,ENSDART00000140398.2
ralab-002,OTTDART00000027374,ENSDART00000145040.3
arl5c-002,OTTDART00000027398,ENSDART00000136560.2
si:dkey-22a1.3-002,OTTDART00000027400,ENSDART00000134454.2
srpx-003,OTTDART00000027429,ENSDART00000148148.2
srpx-002,OTTDART00000027428,ENSDART00000133004.2
zgc:113314-002,OTTDART00000027431,ENSDART00000134868.2
rab6bb-002,OTTDART00000027435,ENSDART00000123624.3
mknk2a-002,OTTDART00000027438,ENSDART00000132437.2
mknk2a-003,OTTDART00000033367,ENSDART00000145126.3
mllt1b-002,OTTDART00000027440,ENSDART00000146497.2
mllt1b-004,OTTDART00000027442,ENSDART00000143925.2
cast-002,OTTDART00000043557,
mpx-003,OTTDART00000042923,ENSDART00000125179.2
si:dkeyp-79c2.1-002,OTTDART00000043607,ENSDART00000140566.3
si:dkeyp-79c2.1-005,OTTDART00000043610,ENSDART00000142485.2
si:dkeyp-79c2.1-001,OTTDART00000043606,ENSDART00000141070.3
si:dkeyp-79c2.1-003,OTTDART00000043608,ENSDART00000136425.3
si:dkeyp-79c2.1-004,OTTDART00000043609,ENSDART00000142435.3
timd4-002,OTTDART00000043613,ENSDART00000143283.3
timd4-003,OTTDART00000043614,ENSDART00000132893.2
mat2aa-006,OTTDART00000042932,ENSDART00000139340.2
mat2aa-004,OTTDART00000042930,ENSDART00000146980.2
ulk1b-003,OTTDART00000053356,ENSDART00000150935.2
depdc5-002,OTTDART00000042945,ENSDART00000133480.2
ulk1b-002,OTTDART00000043833,ENSDART00000132276.2
slc22a4-002,OTTDART00000043858,ENSDART00000145081.3
med15-002,OTTDART00000043875,ENSDART00000139622
si:dkeyp-69c1.9-002,OTTDART00000043900,ENSDART00000136993.2
si:ch211-119c24.1-005,OTTDART00000043985,ENSDART00000141396.3
si:ch211-119c24.1-001,OTTDART00000043981,ENSDART00000138022.3
si:ch211-119c24.1-002,OTTDART00000043982,ENSDART00000142019.3
si:ch211-119c24.1-004,OTTDART00000043984,ENSDART00000146945.3
trpc5b-002,OTTDART00000044005,ENSDART00000141770
pgap2-003,OTTDART00000044030,
pgap2-002,OTTDART00000044029,ENSDART00000100926.5
phka1b-004,OTTDART00000044037,ENSDART00000161715.2
phka1b-002,OTTDART00000044035,ENSDART00000160870.2
phka1b-006,OTTDART00000044039,ENSDART00000165419.2
nhp2-002,OTTDART00000044058,ENSDART00000138384.2
nhp2-003,OTTDART00000044059,ENSDART00000144211.3
grpel2-002,OTTDART00000044061,ENSDART00000101036.5
si:dkey-71d15.2-002,OTTDART00000044067,ENSDART00000157904
nsd1b-002,OTTDART00000044082,
nsd1b-003,OTTDART00000044083,
mrpl22-002,OTTDART00000044092,
mrpl22-001,OTTDART00000044091,
yipf5-002,OTTDART00000044122,
slco2b1-002,OTTDART00000044128,ENSDART00000144976.3
lztfl1-002,OTTDART00000044312,ENSDART00000162848.2
lztfl1-003,OTTDART00000044313,ENSDART00000157576.2
vps41-002,OTTDART00000044330,ENSDART00000145845
asap1b-004,OTTDART00000044397,ENSDART00000133530.2
si:dkey-12l12.1-003,OTTDART00000044402,ENSDART00000122876.3
si:dkey-40h20.1-002,OTTDART00000044529,ENSDART00000134505.3
lrrc31-202,OTTDART00000044625,ENSDART00000146396.2
klhl24b-002,OTTDART00000044634,
si:ch211-230g15.5-004,OTTDART00000044643,ENSDART00000136889.2
dusp22b-003,OTTDART00000044647,ENSDART00000137637.2
dusp22b-002,,ENSDART00000136983.3
dip2ca-002,OTTDART00000044663,ENSDART00000131797.2
dip2ca-003,OTTDART00000049422,ENSDART00000148554.2
si:ch211-183d21.3-002,OTTDART00000044749,ENSDART00000132568
cluap1-002,OTTDART00000044785,ENSDART00000100527.5
rhot2-002,OTTDART00000044793,ENSDART00000145390.2
si:dkey-102m7.3-001,OTTDART00000044967,ENSDART00000170317
si:dkey-102m7.3-004,OTTDART00000044970,ENSDART00000170954.2
si:dkey-102m7.3-006,OTTDART00000044972,ENSDART00000162604.2
fermt1-002,OTTDART00000045002,ENSDART00000135564.2
mgst3a-003,OTTDART00000045014,ENSDART00000166163.2
prpf39-003,OTTDART00000045022,
prpf39-004,OTTDART00000045023,
prpf39-006,OTTDART00000045025,
prpf39-007,OTTDART00000045026,
trim105-002,OTTDART00000045029,ENSDART00000168979.2
uvssa-002,OTTDART00000045035,ENSDART00000167921
rps6kal-005,OTTDART00000045065,ENSDART00000152399.2
znf410-005,OTTDART00000045075,ENSDART00000144154.2
hmgn6-002,OTTDART00000045100,ENSDART00000144334.2
nupr1-002,OTTDART00000045198,ENSDART00000137147.2
fam118b-002,OTTDART00000045347,ENSDART00000135116.2
fam118b-003,OTTDART00000045348,ENSDART00000135882.2
rps2-003,OTTDART00000045404,ENSDART00000133878.2
si:dkey-200l5.4-005,OTTDART00000043058,ENSDART00000134458.3
si:dkey-200l5.4-004,OTTDART00000043057,ENSDART00000148211.2
ppp1r13ba-004,OTTDART00000045515,ENSDART00000146822.3
ppp1r13ba-002,OTTDART00000045513,ENSDART00000105050.4
ppp1r13ba-003,OTTDART00000045514,ENSDART00000135891.2
ppp1r13ba-005,OTTDART00000055301,ENSDART00000152005.2
si:dkey-263m6.1-003,OTTDART00000043081,ENSDART00000147776.2
si:dkey-263m6.1-001,OTTDART00000043079,ENSDART00000132765.3
ccnl1a-008,OTTDART00000042856,ENSDART00000134284.2
si:ch211-243g18.3-004,OTTDART00000042891,ENSDART00000136297.2
si:ch211-243g18.3-007,OTTDART00000042894,ENSDART00000142067.3
si:ch211-243g18.3-001,OTTDART00000042888,ENSDART00000147269.3
mat2aa-002,OTTDART00000042928,ENSDART00000059021.7
mat2aa-005,OTTDART00000042931,
depdc5-004,OTTDART00000042947,ENSDART00000147861.2
strbp-002,OTTDART00000042984,ENSDART00000137392.2
tmed2-003,OTTDART00000042999,ENSDART00000135745.2
si:dkey-263m6.1-002,OTTDART00000043080,ENSDART00000140030.2
si:dkey-76p7.5-002,OTTDART00000043174,ENSDART00000140401.2
synj1-002,OTTDART00000043247,ENSDART00000139056.2
megf10-002,OTTDART00000043264,ENSDART00000141654.2
rbm39a-009,OTTDART00000043451,ENSDART00000138314
rbm39a-003,OTTDART00000009731,ENSDART00000135970.3
rbm39a-005,OTTDART00000009733,ENSDART00000148153.3
rbm39a-002,OTTDART00000009730,ENSDART00000139298.3
evx1-005,OTTDART00000043483,
pcxa-002,OTTDART00000043516,
mark2a-003,OTTDART00000043519,ENSDART00000147589
mark2a-006,OTTDART00000043522,ENSDART00000136580.2
wdr41-002,OTTDART00000043529,
tm7sf2-003,OTTDART00000043196,ENSDART00000147302.2
atp11a-002,OTTDART00000043554,ENSDART00000132948.2
cast-014,OTTDART00000043582,ENSDART00000135858.2
havcr1-005,OTTDART00000043604,ENSDART00000142625.2
si:dkeyp-79c2.1-006,OTTDART00000043611,ENSDART00000144871.3
znf532-003,OTTDART00000043620,ENSDART00000139495
slc31a2-201,OTTDART00000043772,ENSDART00000140975.2
si:ch211-222e20.4-002,OTTDART00000043217,ENSDART00000134792.2
slc22a4-003,OTTDART00000043859,ENSDART00000138828.2
smpd4-004,OTTDART00000043882,ENSDART00000144131.3
smpd4-006,OTTDART00000043884,ENSDART00000141659.2
ntm-003,OTTDART00000043225,ENSDART00000136398.2
tnksa-002,OTTDART00000043937,ENSDART00000147294.3
si:ch211-22d5.4-003,OTTDART00000043952,ENSDART00000134296.2
si:ch211-22d5.4-002,OTTDART00000043951,ENSDART00000143988.2
si:ch211-22d5.4-005,OTTDART00000043954,ENSDART00000146593.3
ank1b-003,OTTDART00000043959,ENSDART00000137889.2
ank1b-004,OTTDART00000043960,ENSDART00000138695.3
tiam1a-003,OTTDART00000043233,ENSDART00000138262.2
si:ch211-119c24.1-003,OTTDART00000043983,ENSDART00000140630.2
si:ch211-119c24.1-006,OTTDART00000043986,ENSDART00000137803.2
phka1b-005,OTTDART00000044038,ENSDART00000171858.2
grik1a-002,OTTDART00000043242,ENSDART00000147876.2
grik1a-004,OTTDART00000043244,ENSDART00000136989.2
grik1a-005,OTTDART00000043245,ENSDART00000140023.2
arl10-001,OTTDART00000044096,
arl10-002,OTTDART00000044097,
arl10-003,OTTDART00000044098,
arl10-004,OTTDART00000044099,
mapk9-002,OTTDART00000044102,ENSDART00000139973.2
adamts2-002,OTTDART00000044114,ENSDART00000143149.2
plac8l1-002,OTTDART00000044126,ENSDART00000142277.2
slco2b1-003,OTTDART00000044129,ENSDART00000140120.3
si:rp71-26b20.2-003,OTTDART00000044179,ENSDART00000148184.3
si:rp71-26b20.2-001,OTTDART00000044177,ENSDART00000144540.3
si:rp71-26b20.2-002,OTTDART00000044178,ENSDART00000140429.3
si:rp71-26b20.2-004,OTTDART00000044180,ENSDART00000135326.2
si:rp71-26b20.2-005,OTTDART00000044181,ENSDART00000136888.3
cpb1-002,OTTDART00000044223,ENSDART00000066833
apba1b-002,OTTDART00000043257,ENSDART00000137719.2
ottdart00000044380,OTTDART00000044380,ENSDART00000132996
terf1-003,OTTDART00000044412,ENSDART00000144292.2
dmd-007,OTTDART00000044468,ENSDART00000131744.2
dmd-005,OTTDART00000044466,ENSDART00000102923.5
dmd-006,OTTDART00000044467,ENSDART00000144095.3
dmd-008,OTTDART00000044469,ENSDART00000138275.2
dmd-009,OTTDART00000044470,ENSDART00000135563.3
nktr-002,OTTDART00000044483,ENSDART00000127988
commd3-003,OTTDART00000044511,ENSDART00000131577.3
si:dkey-40h20.1-003,OTTDART00000044530,ENSDART00000134579.2
cremb-003,OTTDART00000044554,ENSDART00000165879
meis2b-002,OTTDART00000044920,ENSDART00000143510.2
nfkbiaa-002,OTTDART00000044956,ENSDART00000013798.7
fhdc2-002,OTTDART00000044962,ENSDART00000159465.2
si:dkey-102m7.3-005,OTTDART00000044971,ENSDART00000164198.2
cyp2k22-003,OTTDART00000044977,ENSDART00000131765.2
prpf39-002,OTTDART00000045021,
prpf39-005,OTTDART00000045024,
neurl1b-002,OTTDART00000045033,ENSDART00000167146
hunk-002,OTTDART00000043309,ENSDART00000136700.2
znf410-006,OTTDART00000045076,ENSDART00000143332.3
st3gal5-002,OTTDART00000045084,ENSDART00000147923.2
ercc5-002,OTTDART00000045290,ENSDART00000136878.2
arfgap2-002,OTTDART00000045345,ENSDART00000142260.2
zgc:101748-004,OTTDART00000043336,ENSDART00000139462.2
si:ch73-196i15.3-003,OTTDART00000045501,ENSDART00000132120.2
rapgef1b-003,OTTDART00000043357,ENSDART00000139806.2
si:dkey-17e16.17-002,OTTDART00000043412,ENSDART00000135123.2
atp5a1-002,OTTDART00000043440,ENSDART00000130030.3
rbm39a-007,OTTDART00000043449,ENSDART00000134009.2
rbm39a-010,OTTDART00000043452,ENSDART00000136735.2
ppp1r14ba-004,OTTDART00000043526,ENSDART00000147090.2
arhgap24-002,OTTDART00000043552,ENSDART00000167122
epdl2-002,OTTDART00000043562,ENSDART00000144084.2
slc22a6l-003,OTTDART00000043568,ENSDART00000136237.2
cast-015,OTTDART00000043583,ENSDART00000138989.2
si:dkey-92f12.2-002,OTTDART00000043624,ENSDART00000134961.2
lrig2-002,OTTDART00000043641,ENSDART00000139503.2
slc31a2-003,OTTDART00000043773,ENSDART00000112451.4
wdr34-002,OTTDART00000043783,ENSDART00000123238
smpd4-005,OTTDART00000043883,ENSDART00000133396.2
si:ch211-22d5.4-004,OTTDART00000043953,ENSDART00000147988.2
eif4ebp1-002,OTTDART00000043956,ENSDART00000132091.2
crcp-002,OTTDART00000044022,ENSDART00000142193.2
afap1l1b-002,OTTDART00000044026,
ripply1-004,OTTDART00000044072,ENSDART00000136080.2
ripply1-003,OTTDART00000044071,ENSDART00000131490.2
aldh3a2b-002,OTTDART00000044087,ENSDART00000049453.7
zgc:158234-005,OTTDART00000044100,ENSDART00000139332
vtnb-002,OTTDART00000044108,ENSDART00000145329.2
slco2b1-004,OTTDART00000044130,ENSDART00000147364.2
ssh2b-002,OTTDART00000044133,ENSDART00000169666.2
cdk13-003,OTTDART00000044171,ENSDART00000146140.3
cdk13-002,OTTDART00000044170,ENSDART00000144415.2
