tscriptid,ottdartid,ensdartid,comments
ZDB-TSCRIPT-090929-2954,OTTDART00000014902,ENSDART00000133551.2,,
ZDB-TSCRIPT-090929-2955,OTTDART00000014903,ENSDART00000147838.2,,
ZDB-TSCRIPT-090929-2957,OTTDART00000014916,ENSDART00000140109.2,,
ZDB-TSCRIPT-090929-2960,OTTDART00000014921,ENSDART00000142398.2,,
ZDB-TSCRIPT-090929-2962,OTTDART00000014923,ENSDART00000141925.2,,
ZDB-TSCRIPT-090929-2967,OTTDART00000014962,ENSDART00000136885.2,,
ZDB-TSCRIPT-090929-2968,OTTDART00000014963,ENSDART00000144611.2,,
ZDB-TSCRIPT-090929-2969,OTTDART00000014964,ENSDART00000148164.2,,
ZDB-TSCRIPT-090929-2970,OTTDART00000014965,ENSDART00000139399.2,,
ZDB-TSCRIPT-090929-2971,OTTDART00000014966,ENSDART00000188941.1,,
ZDB-TSCRIPT-090929-2973,OTTDART00000014969,ENSDART00000184467.1,,
ZDB-TSCRIPT-090929-2974,OTTDART00000014970,ENSDART00000144263.2,,
ZDB-TSCRIPT-090929-2976,OTTDART00000014972,ENSDART00000184989.1,,
ZDB-TSCRIPT-090929-2977,OTTDART00000014973,ENSDART00000132479.2,,
ZDB-TSCRIPT-090929-2980,OTTDART00000014985,ENSDART00000167981.2,,
ZDB-TSCRIPT-090929-2985,OTTDART00000014995,ENSDART00000141925.2,,
ZDB-TSCRIPT-090929-2986,OTTDART00000014996,ENSDART00000141932.2,,
ZDB-TSCRIPT-090929-3000,OTTDART00000015050,ENSDART00000133251.2,,
ZDB-TSCRIPT-090929-3002,OTTDART00000015054,ENSDART00000144584.2,,
ZDB-TSCRIPT-090929-3007,OTTDART00000015059,ENSDART00000135278.2,,
ZDB-TSCRIPT-090929-3012,OTTDART00000015071,ENSDART00000133219.2,,
ZDB-TSCRIPT-090929-3034,OTTDART00000015132,ENSDART00000137887.2,,
ZDB-TSCRIPT-090929-3041,OTTDART00000015169,ENSDART00000138502.2,,
ZDB-TSCRIPT-090929-3050,OTTDART00000015197,ENSDART00000147899.3,,
ZDB-TSCRIPT-090929-3051,OTTDART00000015198,ENSDART00000132725.2,,
ZDB-TSCRIPT-090929-3052,OTTDART00000015199,ENSDART00000143896.3,,
ZDB-TSCRIPT-090929-3057,OTTDART00000015219,ENSDART00000138593.2,,
ZDB-TSCRIPT-090929-3062,OTTDART00000015327,ENSDART00000137712.2,,
ZDB-TSCRIPT-090929-3063,OTTDART00000015328,ENSDART00000147870.2,,
ZDB-TSCRIPT-090929-3066,OTTDART00000015331,ENSDART00000142452.2,,
ZDB-TSCRIPT-090929-3071,OTTDART00000015336,ENSDART00000143866.2,,
ZDB-TSCRIPT-090929-3073,OTTDART00000015338,ENSDART00000143672.2,,
ZDB-TSCRIPT-090929-3074,OTTDART00000015340,ENSDART00000137711.2,,
ZDB-TSCRIPT-090929-3077,OTTDART00000015355,ENSDART00000143729.2,,
ZDB-TSCRIPT-090929-3098,OTTDART00000015424,ENSDART00000144960.2,,
ZDB-TSCRIPT-090929-3112,OTTDART00000015444,ENSDART00000137360.2,,
ZDB-TSCRIPT-090929-3140,OTTDART00000015638,ENSDART00000133361.3,,
ZDB-TSCRIPT-090929-3142,OTTDART00000015640,ENSDART00000146490.3,,
ZDB-TSCRIPT-090929-3150,OTTDART00000015676,ENSDART00000140627.2,,
ZDB-TSCRIPT-090929-3175,OTTDART00000015733,ENSDART00000168401.2,,
ZDB-TSCRIPT-131113-3200,OTTDART00000015775,ENSDART00000172711.2,,
ZDB-TSCRIPT-090929-3190,OTTDART00000015776,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-3198,OTTDART00000015803,ENSDART00000146068.2,,
ZDB-TSCRIPT-090929-3202,OTTDART00000015808,ENSDART00000139851.2,,
ZDB-TSCRIPT-090929-3204,OTTDART00000015821,ENSDART00000160772.2,,
ZDB-TSCRIPT-090929-3226,OTTDART00000015864,ENSDART00000133678.2,,
ZDB-TSCRIPT-090929-3235,OTTDART00000015897,ENSDART00000131354.2,,
ZDB-TSCRIPT-090929-3252,OTTDART00000015929,ENSDART00000135444.2,,
ZDB-TSCRIPT-090929-3262,OTTDART00000015991,ENSDART00000134751.2,,
ZDB-TSCRIPT-090929-3265,OTTDART00000015995,ENSDART00000144173.2,,
ZDB-TSCRIPT-090929-3280,OTTDART00000016038,ENSDART00000133173.2,,
ZDB-TSCRIPT-090929-3294,OTTDART00000016066,ENSDART00000087695.5,,
ZDB-TSCRIPT-090929-3301,OTTDART00000016083,ENSDART00000136186.2,,
ZDB-TSCRIPT-090929-3330,OTTDART00000016149,ENSDART00000145063.2,,
ZDB-TSCRIPT-090929-3340,OTTDART00000016184,ENSDART00000166364.2,,
ZDB-TSCRIPT-090929-3341,OTTDART00000016185,ENSDART00000172433.2,,
ZDB-TSCRIPT-090929-3342,OTTDART00000016186,ENSDART00000167315.2,,
ZDB-TSCRIPT-090929-3344,OTTDART00000016193,ENSDART00000142239.2,,
ZDB-TSCRIPT-090929-3359,OTTDART00000016227,ENSDART00000139481.2,,
ZDB-TSCRIPT-090929-3361,OTTDART00000016252,ENSDART00000148218.3,,
ZDB-TSCRIPT-090929-3362,OTTDART00000016253,ENSDART00000137744.3,,
ZDB-TSCRIPT-090929-3363,OTTDART00000016254,ENSDART00000141392.3,,
ZDB-TSCRIPT-090929-3364,OTTDART00000016255,ENSDART00000145899.3,,
ZDB-TSCRIPT-090929-3365,OTTDART00000016256,ENSDART00000144167.3,,
ZDB-TSCRIPT-090929-3366,OTTDART00000016257,ENSDART00000136958.3,,
ZDB-TSCRIPT-090929-3367,OTTDART00000016258,ENSDART00000135051.2,,
ZDB-TSCRIPT-090929-3368,OTTDART00000016259,ENSDART00000140014.2,,
ZDB-TSCRIPT-090929-3384,OTTDART00000016289,ENSDART00000137680.3,,
ZDB-TSCRIPT-090929-3399,OTTDART00000016338,ENSDART00000166660.2,,
ZDB-TSCRIPT-090929-3412,OTTDART00000016395,ENSDART00000135649.2,,
ZDB-TSCRIPT-090929-3417,OTTDART00000016400,ENSDART00000140919.2,,
ZDB-TSCRIPT-090929-3444,OTTDART00000016465,ENSDART00000135407.2,,
ZDB-TSCRIPT-090929-3456,OTTDART00000016498,ENSDART00000168552.2,,
ZDB-TSCRIPT-090929-3485,OTTDART00000016580,ENSDART00000142552.2,,
ZDB-TSCRIPT-090929-3486,OTTDART00000016586,ENSDART00000143297.2,,
ZDB-TSCRIPT-090929-3487,OTTDART00000016597,ENSDART00000135478.3,,
ZDB-TSCRIPT-090929-3488,OTTDART00000016598,ENSDART00000148186.3,,
ZDB-TSCRIPT-090929-3489,OTTDART00000016599,ENSDART00000140533.3,,
ZDB-TSCRIPT-090929-3490,OTTDART00000016600,ENSDART00000137446.2,,
ZDB-TSCRIPT-131113-1601,OTTDART00000016622,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-3493,OTTDART00000016636,ENSDART00000167765.2,,
ZDB-TSCRIPT-090929-3496,OTTDART00000016660,ENSDART00000099090.4,,
ZDB-TSCRIPT-090929-3500,OTTDART00000016695,ENSDART00000164531.2,,
ZDB-TSCRIPT-090929-3506,OTTDART00000016702,ENSDART00000158931.2,,
ZDB-TSCRIPT-090929-3508,OTTDART00000016706,ENSDART00000139291.2,,
ZDB-TSCRIPT-090929-3509,OTTDART00000016716,ENSDART00000134348.2,,
ZDB-TSCRIPT-090929-3589,OTTDART00000016918,ENSDART00000131373.2,,
ZDB-TSCRIPT-090929-3604,OTTDART00000017018,ENSDART00000152569.3,,
ZDB-TSCRIPT-090929-3606,OTTDART00000017022,ENSDART00000162843.2,,
ZDB-TSCRIPT-090929-3655,OTTDART00000017122,ENSDART00000136305.2,,
ZDB-TSCRIPT-090929-3666,OTTDART00000017149,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-3706,OTTDART00000017255,ENSDART00000144487.2,,
ZDB-TSCRIPT-090929-3741,OTTDART00000017369,ENSDART00000136821.2,,
ZDB-TSCRIPT-090929-3771,OTTDART00000017432,ENSDART00000131247.2,,
ZDB-TSCRIPT-090929-3776,OTTDART00000017464,ENSDART00000147350.3,,
ZDB-TSCRIPT-090929-3777,OTTDART00000017465,ENSDART00000141253.2,,
ZDB-TSCRIPT-090929-3812,OTTDART00000017523,ENSDART00000160537.2,,
ZDB-TSCRIPT-090929-3836,OTTDART00000017578,ENSDART00000138564.2,,
ZDB-TSCRIPT-090929-3838,OTTDART00000017600,ENSDART00000144377.2,,
ZDB-TSCRIPT-090929-3839,OTTDART00000017601,ENSDART00000137362.3,,
ZDB-TSCRIPT-090929-3840,OTTDART00000017602,ENSDART00000140393.2,,
ZDB-TSCRIPT-090929-3841,OTTDART00000017605,ENSDART00000144974.2,,
ZDB-TSCRIPT-090929-3846,OTTDART00000017635,ENSDART00000141933.2,,
ZDB-TSCRIPT-090929-3878,OTTDART00000017703,ENSDART00000143440.2,,
ZDB-TSCRIPT-090929-3881,OTTDART00000017707,ENSDART00000146392.2,,
ZDB-TSCRIPT-090929-3888,OTTDART00000017742,ENSDART00000139167.2,,
ZDB-TSCRIPT-090929-3892,OTTDART00000017746,ENSDART00000141491.2,,
ZDB-TSCRIPT-090929-3932,OTTDART00000017851,ENSDART00000143438.2,,
ZDB-TSCRIPT-090929-3938,OTTDART00000017860,ENSDART00000139313.3,,
ZDB-TSCRIPT-090929-3939,OTTDART00000017861,ENSDART00000147315.2,,
ZDB-TSCRIPT-090929-3940,OTTDART00000017862,ENSDART00000144975.3,,
ZDB-TSCRIPT-090929-3956,OTTDART00000017939,ENSDART00000125657.3,,
ZDB-TSCRIPT-090929-3959,OTTDART00000017946,ENSDART00000134854.2,,
ZDB-TSCRIPT-090929-3978,OTTDART00000017994,ENSDART00000133664.4,,
ZDB-TSCRIPT-090929-3979,OTTDART00000018001,ENSDART00000142082.3,,
ZDB-TSCRIPT-090929-3980,OTTDART00000018002,ENSDART00000146738.3,,
ZDB-TSCRIPT-090929-3981,OTTDART00000018003,ENSDART00000132809.2,,
ZDB-TSCRIPT-090929-3998,OTTDART00000018098,ENSDART00000157507.2,,
ZDB-TSCRIPT-090929-3999,OTTDART00000018099,ENSDART00000163293.2,,
ZDB-TSCRIPT-090929-4000,OTTDART00000018101,ENSDART00000158452.2,,
ZDB-TSCRIPT-090929-4042,OTTDART00000018323,ENSDART00000146847.2,,
ZDB-TSCRIPT-090929-4043,OTTDART00000018324,ENSDART00000137381.2,,
ZDB-TSCRIPT-090929-4047,OTTDART00000018341,ENSDART00000143319.2,,
ZDB-TSCRIPT-090929-4062,OTTDART00000018396,ENSDART00000139129.2,,
ZDB-TSCRIPT-090929-4063,OTTDART00000018397,ENSDART00000147365.2,,
ZDB-TSCRIPT-090929-4085,OTTDART00000018458,ENSDART00000147102.2,,
ZDB-TSCRIPT-090929-4105,OTTDART00000018506,ENSDART00000129185.4,,
ZDB-TSCRIPT-090929-4137,OTTDART00000018612,ENSDART00000134706.2,,
ZDB-TSCRIPT-090929-4139,OTTDART00000018614,ENSDART00000142739.3,,
ZDB-TSCRIPT-090929-4141,OTTDART00000018623,ENSDART00000132138.3,,
ZDB-TSCRIPT-090929-4142,OTTDART00000018624,ENSDART00000139252.3,,
ZDB-TSCRIPT-090929-4165,OTTDART00000018726,ENSDART00000146777.2,,
ZDB-TSCRIPT-090929-4172,OTTDART00000018737,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-4183,OTTDART00000018760,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-4184,OTTDART00000018761,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-4192,OTTDART00000018782,ENSDART00000136147.2,,
ZDB-TSCRIPT-090929-4215,OTTDART00000018832,ENSDART00000136737.2,,
ZDB-TSCRIPT-090929-4229,OTTDART00000018864,ENSDART00000140723.3,,
ZDB-TSCRIPT-090929-4230,OTTDART00000018865,ENSDART00000136527.2,,
ZDB-TSCRIPT-090929-4238,OTTDART00000018883,ENSDART00000140748.2,,
ZDB-TSCRIPT-090929-4267,OTTDART00000018950,ENSDART00000147325.2,,
ZDB-TSCRIPT-090929-4296,OTTDART00000019083,ENSDART00000141025.2,,
ZDB-TSCRIPT-090929-4298,OTTDART00000019085,ENSDART00000147101.2,,
ZDB-TSCRIPT-090929-4323,OTTDART00000019173,ENSDART00000127346.3,,
ZDB-TSCRIPT-090929-4331,OTTDART00000019191,ENSDART00000134747.2,,
ZDB-TSCRIPT-090929-4332,OTTDART00000019192,ENSDART00000138279.2,,
ZDB-TSCRIPT-090929-4344,OTTDART00000019214,ENSDART00000132807.2,,
ZDB-TSCRIPT-090929-4373,OTTDART00000019278,ENSDART00000138049.2,,
ZDB-TSCRIPT-090929-4388,OTTDART00000019316,ENSDART00000131750.2,,
ZDB-TSCRIPT-090929-4389,OTTDART00000019317,ENSDART00000133896.2,,
ZDB-TSCRIPT-090929-4416,OTTDART00000019383,ENSDART00000132773.2,,
ZDB-TSCRIPT-090929-4432,OTTDART00000019419,ENSDART00000139149.2,,
ZDB-TSCRIPT-090929-4434,OTTDART00000019421,ENSDART00000146404.3,,
ZDB-TSCRIPT-090929-4435,OTTDART00000019422,ENSDART00000135995.2,,
ZDB-TSCRIPT-090929-4436,OTTDART00000019423,ENSDART00000147249.2,,
ZDB-TSCRIPT-090929-4440,OTTDART00000019438,ENSDART00000133674.2,,
ZDB-TSCRIPT-090929-4448,OTTDART00000019454,ENSDART00000142517.3,,
ZDB-TSCRIPT-090929-4477,OTTDART00000019517,ENSDART00000135315.3,,
ZDB-TSCRIPT-090929-4491,OTTDART00000019541,ENSDART00000161654.2,,
ZDB-TSCRIPT-090929-4500,OTTDART00000019559,ENSDART00000146190.2,,
ZDB-TSCRIPT-090929-4502,OTTDART00000019564,ENSDART00000146012.2,,
ZDB-TSCRIPT-090929-4510,OTTDART00000019587,ENSDART00000137884.2,,
ZDB-TSCRIPT-090929-4513,OTTDART00000019591,ENSDART00000133445.2,,
ZDB-TSCRIPT-090929-4518,OTTDART00000019605,ENSDART00000131786.2,,
ZDB-TSCRIPT-090929-4540,OTTDART00000019699,ENSDART00000143609.3,,
ZDB-TSCRIPT-090929-4545,OTTDART00000019707,ENSDART00000132289.2,,
ZDB-TSCRIPT-090929-4552,OTTDART00000019721,ENSDART00000129574.3,,
ZDB-TSCRIPT-090929-4553,OTTDART00000019722,ENSDART00000139057.2,,
ZDB-TSCRIPT-090929-4559,OTTDART00000019731,ENSDART00000139170.2,,
ZDB-TSCRIPT-090929-4564,OTTDART00000019746,ENSDART00000147505.2,,
ZDB-TSCRIPT-090929-4575,OTTDART00000019791,ENSDART00000134871.2,,
ZDB-TSCRIPT-090929-4582,OTTDART00000019798,ENSDART00000144298.2,,
ZDB-TSCRIPT-090929-4595,OTTDART00000019836,ENSDART00000139045.2,,
ZDB-TSCRIPT-141209-32,OTTDART00000019881,ENSDART00000110532.3,,
ZDB-TSCRIPT-141209-33,OTTDART00000019884,ENSDART00000079087.6,,
ZDB-TSCRIPT-090929-4598,OTTDART00000019910,ENSDART00000136202.2,,
ZDB-TSCRIPT-090929-4599,OTTDART00000019911,ENSDART00000140072.2,,
ZDB-TSCRIPT-090929-4605,OTTDART00000019917,ENSDART00000145417.2,,
ZDB-TSCRIPT-090929-4653,OTTDART00000020046,ENSDART00000147227.2,,
ZDB-TSCRIPT-110325-11,OTTDART00000020086,ENSDART00000165997.2,,
ZDB-TSCRIPT-110325-1822,OTTDART00000020088,ENSDART00000149071.2,,
ZDB-TSCRIPT-090929-4664,OTTDART00000020108,ENSDART00000148223.2,,
ZDB-TSCRIPT-090929-4713,OTTDART00000020300,ENSDART00000141159.4,,
ZDB-TSCRIPT-090929-4714,OTTDART00000020301,ENSDART00000133911.2,,
ZDB-TSCRIPT-090929-4715,OTTDART00000020302,ENSDART00000132012.2,,
ZDB-TSCRIPT-141209-34,OTTDART00000020436,ENSDART00000165023.2,,
ZDB-TSCRIPT-141209-2474,OTTDART00000020460,ENSDART00000171083.2,,
ZDB-TSCRIPT-090929-4769,OTTDART00000020490,ENSDART00000140487.4,,
ZDB-TSCRIPT-090929-4806,OTTDART00000020578,ENSDART00000141857.2,,
ZDB-TSCRIPT-120213-773,OTTDART00000020599,ENSDART00000108507.4,,
ZDB-TSCRIPT-090929-4822,OTTDART00000020612,ENSDART00000138177.2,,
ZDB-TSCRIPT-090929-4865,OTTDART00000020739,ENSDART00000142424.2,,
ZDB-TSCRIPT-090929-4866,OTTDART00000020743,ENSDART00000140137.2,,
ZDB-TSCRIPT-090929-4868,OTTDART00000020745,ENSDART00000144356.2,,
ZDB-TSCRIPT-090929-4871,OTTDART00000020748,ENSDART00000134578.4,,
ZDB-TSCRIPT-090929-4872,OTTDART00000020749,ENSDART00000145569.3,,
ZDB-TSCRIPT-090929-4873,OTTDART00000020753,ENSDART00000150550.2,,
ZDB-TSCRIPT-090929-4885,OTTDART00000020774,ENSDART00000136720.2,,
ZDB-TSCRIPT-090929-4886,OTTDART00000020775,ENSDART00000133991.3,,
ZDB-TSCRIPT-090929-4887,OTTDART00000020776,ENSDART00000133237.3,,
ZDB-TSCRIPT-090929-4891,OTTDART00000020790,ENSDART00000169534.2,,
ZDB-TSCRIPT-090929-4892,OTTDART00000020791,ENSDART00000169153.2,,
ZDB-TSCRIPT-090929-4919,OTTDART00000020859,ENSDART00000163268.2,,
ZDB-TSCRIPT-090929-4933,OTTDART00000020898,ENSDART00000134845.3,,
ZDB-TSCRIPT-131113-1603,OTTDART00000020918,ENSDART00000155767.2,,
ZDB-TSCRIPT-090929-4969,OTTDART00000021014,ENSDART00000147575.2,,
ZDB-TSCRIPT-090929-4987,OTTDART00000021046,ENSDART00000140339.2,,
ZDB-TSCRIPT-090929-4990,OTTDART00000021055,ENSDART00000144099.2,,
ZDB-TSCRIPT-090929-5001,OTTDART00000021077,ENSDART00000137550.2,,
ZDB-TSCRIPT-090929-5005,OTTDART00000021092,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5006,OTTDART00000021093,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5012,OTTDART00000021101,ENSDART00000133540.2,,
ZDB-TSCRIPT-090929-5013,OTTDART00000021102,ENSDART00000131497.2,,
ZDB-TSCRIPT-090929-5014,OTTDART00000021119,ENSDART00000138285.2,,
ZDB-TSCRIPT-090929-5015,OTTDART00000021120,ENSDART00000131662.2,,
ZDB-TSCRIPT-090929-5017,OTTDART00000021122,ENSDART00000145089.2,,
ZDB-TSCRIPT-090929-5023,OTTDART00000021129,ENSDART00000140784.2,,
ZDB-TSCRIPT-090929-5027,OTTDART00000021133,ENSDART00000136872.3,,
ZDB-TSCRIPT-090929-5028,OTTDART00000021134,ENSDART00000144749.2,,
ZDB-TSCRIPT-141209-2484,OTTDART00000021237,ENSDART00000158794.2,,
ZDB-TSCRIPT-141209-1268,OTTDART00000021245,ENSDART00000180943.1,,
ZDB-TSCRIPT-141209-2487,OTTDART00000021246,ENSDART00000185656.1,,
ZDB-TSCRIPT-141209-47,OTTDART00000021247,ENSDART00000166828.2,,
ZDB-TSCRIPT-141209-1269,OTTDART00000021248,ENSDART00000186687.1,,
ZDB-TSCRIPT-141209-2488,OTTDART00000021249,ENSDART00000193555.1,,
ZDB-TSCRIPT-141209-48,OTTDART00000021250,ENSDART00000190928.1,,
ZDB-TSCRIPT-141209-2489,OTTDART00000021252,ENSDART00000170926.2,,
ZDB-TSCRIPT-141209-2490,OTTDART00000021255,ENSDART00000193507.1,,
ZDB-TSCRIPT-141209-1272,OTTDART00000021257,ENSDART00000186681.1,,
ZDB-TSCRIPT-141209-2491,OTTDART00000021258,ENSDART00000186681.1,,
ZDB-TSCRIPT-141209-2492,OTTDART00000021261,ENSDART00000190235.1,,
ZDB-TSCRIPT-141209-52,OTTDART00000021262,ENSDART00000183757.1,,
ZDB-TSCRIPT-141209-1275,OTTDART00000021266,ENSDART00000166020.2,,
ZDB-TSCRIPT-141209-2495,OTTDART00000021270,ENSDART00000182846.1,,
ZDB-TSCRIPT-141209-55,OTTDART00000021272,ENSDART00000181827.1,,
ZDB-TSCRIPT-141209-2497,OTTDART00000021277,ENSDART00000191731.1,,
ZDB-TSCRIPT-141209-58,OTTDART00000021281,ENSDART00000192441.1,,
ZDB-TSCRIPT-141209-1280,OTTDART00000021282,ENSDART00000193441.1,,
ZDB-TSCRIPT-141209-2499,OTTDART00000021283,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-141209-1281,OTTDART00000021285,ENSDART00000182863.1,,
ZDB-TSCRIPT-141209-1284,OTTDART00000021294,ENSDART00000186087.1,,
ZDB-TSCRIPT-141209-2503,OTTDART00000021295,ENSDART00000190142.1,,
ZDB-TSCRIPT-141209-1285,OTTDART00000021297,ENSDART00000191760.1,,
ZDB-TSCRIPT-141209-1286,OTTDART00000021300,ENSDART00000190775.1,,
ZDB-TSCRIPT-141209-2505,OTTDART00000021301,ENSDART00000184586.1,,
ZDB-TSCRIPT-141209-67,OTTDART00000021315,ENSDART00000169607.2,,
ZDB-TSCRIPT-090929-5043,OTTDART00000021348,ENSDART00000138105.2,,
ZDB-TSCRIPT-090929-5054,OTTDART00000021362,ENSDART00000143977.3,,
ZDB-TSCRIPT-090929-5056,OTTDART00000021364,ENSDART00000146571.2,,
ZDB-TSCRIPT-090929-5057,OTTDART00000021365,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5058,OTTDART00000021367,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5059,OTTDART00000021368,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5064,OTTDART00000021373,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5065,OTTDART00000021374,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5066,OTTDART00000021375,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5068,OTTDART00000021377,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-5075,OTTDART00000021384,ENSDART00000168622.2,,
ZDB-TSCRIPT-090929-5076,OTTDART00000021385,ENSDART00000170377.2,,
ZDB-TSCRIPT-090929-5077,OTTDART00000021386,ENSDART00000160232.2,,
ZDB-TSCRIPT-090929-5080,OTTDART00000021391,ENSDART00000141219.2,,
ZDB-TSCRIPT-090929-5119,OTTDART00000021438,ENSDART00000133923.3,,
ZDB-TSCRIPT-090929-5120,OTTDART00000021439,ENSDART00000147262.2,,
ZDB-TSCRIPT-090929-5121,OTTDART00000021440,ENSDART00000142152.2,,
ZDB-TSCRIPT-090929-5126,OTTDART00000021445,ENSDART00000145176.2,,
ZDB-TSCRIPT-090929-5129,OTTDART00000021448,ENSDART00000145423.3,,
ZDB-TSCRIPT-090929-5134,OTTDART00000021453,ENSDART00000145581.2,,
ZDB-TSCRIPT-090929-5135,OTTDART00000021454,ENSDART00000146375.2,,
ZDB-TSCRIPT-090929-5137,OTTDART00000021458,ENSDART00000146342.2,,
ZDB-TSCRIPT-090929-5148,OTTDART00000021476,ENSDART00000142571.2,,
ZDB-TSCRIPT-090929-5150,OTTDART00000021478,ENSDART00000136153.2,,
ZDB-TSCRIPT-090929-5164,OTTDART00000021494,ENSDART00000134242.2,,
ZDB-TSCRIPT-090929-5175,OTTDART00000021505,ENSDART00000137376.3,,
ZDB-TSCRIPT-090929-5178,OTTDART00000021509,ENSDART00000135650.2,,
ZDB-TSCRIPT-090929-5188,OTTDART00000021521,ENSDART00000140143.3,,
ZDB-TSCRIPT-090929-5189,OTTDART00000021522,ENSDART00000147406.2,,
ZDB-TSCRIPT-090929-5200,OTTDART00000021534,ENSDART00000143770.2,,
ZDB-TSCRIPT-090929-5206,OTTDART00000021540,ENSDART00000127270.3,,
ZDB-TSCRIPT-090929-5213,OTTDART00000021547,ENSDART00000142331.2,,
ZDB-TSCRIPT-090929-5246,OTTDART00000021600,ENSDART00000138658.2,,
ZDB-TSCRIPT-090929-5251,OTTDART00000021605,ENSDART00000136586.2,,
ZDB-TSCRIPT-090929-5255,OTTDART00000021609,ENSDARG00000094368.2,,
ZDB-TSCRIPT-090929-5268,OTTDART00000021624,ENSDART00000147139.2,,
ZDB-TSCRIPT-090929-5277,OTTDART00000021633,ENSDART00000138292.2,,
ZDB-TSCRIPT-090929-5279,OTTDART00000021635,ENSDART00000139796.3,,
ZDB-TSCRIPT-090929-5280,OTTDART00000021636,ENSDART00000142363.2,,
ZDB-TSCRIPT-090929-5283,OTTDART00000021668,ENSDART00000134593.3,,
ZDB-TSCRIPT-090929-5284,OTTDART00000021669,ENSDART00000133852.3,,
ZDB-TSCRIPT-090929-5285,OTTDART00000021670,ENSDART00000138421.2,,
ZDB-TSCRIPT-090929-5286,OTTDART00000021671,ENSDART00000142651.2,,
ZDB-TSCRIPT-090929-5287,OTTDART00000021672,ENSDART00000131679.2,,
ZDB-TSCRIPT-090929-5288,OTTDART00000021673,ENSDART00000134967.2,,
ZDB-TSCRIPT-090929-5294,OTTDART00000021679,ENSDART00000138560.2,,
ZDB-TSCRIPT-090929-5311,OTTDART00000021721,ENSDART00000145779.3,,
ZDB-TSCRIPT-090929-5319,OTTDART00000021732,ENSDART00000140873.2,,
ZDB-TSCRIPT-090929-5321,OTTDART00000021734,ENSDART00000139456.2,,
ZDB-TSCRIPT-090929-5337,OTTDART00000021760,ENSDART00000139371.3,,
ZDB-TSCRIPT-090929-5344,OTTDART00000021777,ENSDART00000139788.2,,
ZDB-TSCRIPT-090929-5358,OTTDART00000021793,ENSDART00000144008.2,,
ZDB-TSCRIPT-090929-5361,OTTDART00000021796,ENSDART00000131725.2,,
ZDB-TSCRIPT-090929-5373,OTTDART00000021808,ENSDART00000147121.2,,
ZDB-TSCRIPT-090929-5374,OTTDART00000021809,ENSDART00000137903.2,,
ZDB-TSCRIPT-090929-5378,OTTDART00000021813,ENSDART00000140466.2,,
ZDB-TSCRIPT-090929-5389,OTTDART00000021837,ENSDART00000163580.2,,
ZDB-TSCRIPT-090929-5397,OTTDART00000021846,ENSDART00000168078.2,,
ZDB-TSCRIPT-090929-5398,OTTDART00000021847,ENSDART00000172207.2,,
ZDB-TSCRIPT-090929-5399,OTTDART00000021848,ENSDART00000160152.2,,
ZDB-TSCRIPT-090929-5400,OTTDART00000021849,ENSDART00000168875.2,,
ZDB-TSCRIPT-090929-5401,OTTDART00000021850,ENSDART00000161111.2,,
ZDB-TSCRIPT-090929-5402,OTTDART00000021851,ENSDART00000161236.2,,
ZDB-TSCRIPT-090929-5403,OTTDART00000021852,ENSDART00000171018.2,,
ZDB-TSCRIPT-090929-5412,OTTDART00000021907,ENSDART00000133899.2,,
ZDB-TSCRIPT-090929-5419,OTTDART00000021918,ENSDART00000137741.2,,
ZDB-TSCRIPT-090929-5420,OTTDART00000021919,ENSDART00000130522.3,,
ZDB-TSCRIPT-141209-79,OTTDART00000021939,ENSDART00000163974.2,,
ZDB-TSCRIPT-141209-2519,OTTDART00000021943,ENSDART00000160101.2,,
ZDB-TSCRIPT-090929-5441,OTTDART00000021957,ENSDART00000166662.2,,
ZDB-TSCRIPT-090929-5449,OTTDART00000021967,ENSDART00000172724.2,,
ZDB-TSCRIPT-090929-5456,OTTDART00000021982,ENSDART00000171653.2,,
ZDB-TSCRIPT-120213-1,OTTDART00000021984,ENSDART00000165429.2,,
ZDB-TSCRIPT-090929-5458,OTTDART00000021990,ENSDART00000164882.2,,
ZDB-TSCRIPT-091110-768,OTTDART00000022017,ENSDART00000131585.2,,
ZDB-TSCRIPT-091110-1493,OTTDART00000022021,ENSDART00000135162.2,,
ZDB-TSCRIPT-091110-36,OTTDART00000022022,ENSDART00000147235.3,,
