ENSDARG ID,Gene Abbreviation
ENSDARG00000068319,setd8a
ENSDARG00000063436,RPH3A (1 of 2)
ENSDARG00000078718,PLA2G3 (2 of 2)
ENSDARG00000043907,fgf11b
ENSDARG00000069336,rnasekb
ENSDARG00000030129,si:ch211-87m7.2
ENSDARG00000006253,MIER3 (1 of 2)
ENSDARG00000078815,grk5l
ENSDARG00000076381,slc25a1b
ENSDARG00000040535,CSGALNACT1 (1 of 2)
ENSDARG00000010641,slc20a1b
ENSDARG00000038974,DPYSL2 (2 of 2)
ENSDARG00000028725,ADRA1A (2 of 2)
ENSDARG00000028053,bmp1b
ENSDARG00000036458,prlhr2b
ENSDARG00000036462,rab11fip1b
ENSDARG00000004154,orai1b
ENSDARG00000054501,stambpa
ENSDARG00000010603,kctd9
ENSDARG00000014059,cldn5b
ENSDARG00000069279,elovl7a
ENSDARG00000043962,fgf18b
ENSDARG00000061909,PCDH10
ENSDARG00000009930,cadm2a
ENSDARG00000029051,GBE1 (1 of 2)
ENSDARG00000041874,SLC7A1 (2 of 2)
ENSDARG00000074984,MTUS2 (2 of 2)
ENSDARG00000057035,stoml3b
ENSDARG00000075227,GRM5 (2 of 2)
ENSDARG00000061219,postnb
ENSDARG00000005397,trim3b
ENSDARG00000069129,FHDC1 (1 of 5)
ENSDARG00000056664,arfip2b
ENSDARG00000058230,rps6kb1b
ENSDARG00000026531,alcama
ENSDARG00000063372,ZPLD1 (2 of 2)
ENSDARG00000012866,picalm
ENSDARG00000075436,sytl2
ENSDARG00000015968,rabgef1l
ENSDARG00000055578,rtn4rl1b
ENSDARG00000074303,phf12a
ENSDARG00000076220,sez6a
ENSDARG00000008247,vezf1a
ENSDARG00000012982,NF1 (2 of 2)
ENSDARG00000068894,nrip1b
ENSDARG00000053130,pcp4a
ENSDARG00000087983,igsf5
ENSDARG00000055344,mipep
ENSDARG00000087910,DACT3 (1 of 2)
ENSDARG00000023797,ryr1b
ENSDARG00000017251,smtlb
ENSDARG00000079719,abhd8
ENSDARG00000045003,vsg1
ENSDARG00000003165,nr2f6b
ENSDARG00000079988,CU694222.2
ENSDARG00000070873,ccl25b
ENSDARG00000008727,ranbp3
ENSDARG00000013221,pde4ca
ENSDARG00000006568,kcnmb2
ENSDARG00000016405,hug
ENSDARG00000077038,pbrm1l
ENSDARG00000045006,ptprga
ENSDARG00000094792,twf2a
ENSDARG00000089622,FGD5 (2 of 2)
ENSDARG00000044278,synpr
ENSDARG00000043661,cadpsa
ENSDARG00000070404,fam212ab
ENSDARG00000033376,chchd4
ENSDARG00000027963,CAMKV (2 of 3)
ENSDARG00000087939,TEX264 (1 of 2)
ENSDARG00000054342,CABZ01080074.1
ENSDARG00000076371,SHROOM2 (1 of 2)
ENSDARG00000011407,COL2A1 (1 of 2)
ENSDARG00000031560,srpk1b
ENSDARG00000045023,lhfpl5a
ENSDARG00000070056,ADORA1 (1 of 2)
ENSDARG00000076747,TMCC1 (2 of 2)
ENSDARG00000070145,magi1a
ENSDARG00000018530,mapkapk2b
ENSDARG00000011613,rbm39a
ENSDARG00000042717,adipor1b
ENSDARG00000070513,BRPF3 (1 of 2)
ENSDARG00000068575,tmem51a
ENSDARG00000029402,sort1a
ENSDARG00000056268,atxn7l2b
ENSDARG00000061082,CR936337.1
ENSDARG00000079822,BSN (2 of 3)
ENSDARG00000070925,EDN3 (1 of 3)
ENSDARG00000039647,slc6a1b
ENSDARG00000077513,ppp1r3da
ENSDARG00000056150,rbms2b
ENSDARG00000036695,calcoco1
ENSDARG00000046043,hoxc12b
ENSDARG00000070941,igfbp6a
ENSDARG00000060626,dgkaa
ENSDARG00000007601,zmynd8
ENSDARG00000089038,CABZ01057013.1
ENSDARG00000076730,syt6a
ENSDARG00000078145,si:ch211-218g4.2
ENSDARG00000002750,phf20a
ENSDARG00000070545,top1l
ENSDARG00000074293,adnpb
ENSDARG00000089063,lactbl1a
ENSDARG00000021539,ephb2b
ENSDARG00000044803,dhrs3b
ENSDARG00000031049,igsf21a
ENSDARG00000074827,C23H1orf116 (2 of 2)
ENSDARG00000053854,uts2a
ENSDARG00000054894,EMP3 (2 of 2)
ENSDARG00000060900,znf362
ENSDARG00000008473,FP017304.1
ENSDARG00000032619,tob1a
ENSDARG00000037357,WIPI1 (1 of 2)
ENSDARG00000069806,SSTR2 (2 of 2)
ENSDARG00000003293,sox9a
ENSDARG00000079004,TANC2 (1 of 2)
ENSDARG00000016923,si:dkey-94f20.4
ENSDARG00000034588,scn4ab
ENSDARG00000037917,itga3a
ENSDARG00000070371,KAT7 (2 of 2)
ENSDARG00000014967,g6pcb
ENSDARG00000076431,PPP1R9B (1 of 2)
ENSDARG00000002546,rap2ip
ENSDARG00000053453,mpp2a
ENSDARG00000053254,mylpfa
ENSDARG00000026840,arhgap23b
ENSDARG00000068477,csdc2b
ENSDARG00000045145,shisa9
ENSDARG00000036541,rhbdf1
ENSDARG00000010953,ndel1a
ENSDARG00000077297,nbr1
ENSDARG00000078149,grin2ca
ENSDARG00000076742,cyth1a
ENSDARG00000089276,TMEM235 (1 of 2)
ENSDARG00000038373,KCNJ2 (2 of 2)
ENSDARG00000074018,BTBD17 (1 of 2)
ENSDARG00000077477,aatkb
ENSDARG00000062799,baiap2a
ENSDARG00000052232,pcdh15a
ENSDARG00000029291,ipmkb
ENSDARG00000017128,MYOF
ENSDARG00000090314,SHISA8 (2 of 2)
ENSDARG00000045105,foxn2b
ENSDARG00000015050,calm2a
ENSDARG00000054878,six2b
ENSDARG00000069928,prkceb
ENSDARG00000008697,epas1a
ENSDARG00000069382,mxtx1
ENSDARG00000077188,atrnl1a
ENSDARG00000060149,ablim1a
ENSDARG00000060729,trim8b
ENSDARG00000086269,ndst2a
ENSDARG00000075265,plaua
ENSDARG00000038639,elovl6l
ENSDARG00000002632,anxa11b
ENSDARG00000057053,SGMS1 (2 of 2)
ENSDARG00000013926,slc16a9a
ENSDARG00000043334,ccdc6a
ENSDARG00000077979,CU638868.1
ENSDARG00000044096,NRBF2 (2 of 2)
ENSDARG00000017569,reep3l
ENSDARG00000032831,htra1a
ENSDARG00000044144,WAPAL (2 of 2)
ENSDARG00000074583,GRID1 (2 of 2)
ENSDARG00000014554,ppp1r3cb
ENSDARG00000056600,papss2b
ENSDARG00000057058,minpp1a
ENSDARG00000021151,ptpreb
ENSDARG00000079029,DHX32 (2 of 2)
ENSDARG00000005001,grem2
ENSDARG00000037337,cnrip1b
ENSDARG00000079361,abcg2b
ENSDARG00000052435,spred2a
ENSDARG00000087205,AKT3
ENSDARG00000069951,eef1a1b
ENSDARG00000018321,lbx1a
ENSDARG00000039615,fgf8b
ENSDARG00000078733,CNNM2 (2 of 2)
ENSDARG00000058231,nt5c2b
ENSDARG00000053248,inab
ENSDARG00000030289,jag1a
ENSDARG00000031461,golga7bb
ENSDARG00000058421,lgi1b
ENSDARG00000014840,prph2b
ENSDARG00000087084,hcar1-4
ENSDARG00000076595,sema4ga
ENSDARG00000057378,fam213aa
ENSDARG00000090631,PDZD7 (2 of 2)
ENSDARG00000074597,lzts2a
ENSDARG00000091009,si:ch211-28p3.4
ENSDARG00000060680,si:ch73-127m5.1
ENSDARG00000077293,SYNPO2L (1 of 2)
ENSDARG00000045097,bmpr1ab
ENSDARG00000076081,sncgb
ENSDARG00000001452,adam8a
ENSDARG00000052896,lrit1b
ENSDARG00000004643,cdhr1a
ENSDARG00000061070,chst3a
ENSDARG00000034201,ppa1a
ENSDARG00000039349,QRFPR (1 of 3)
ENSDARG00000074502,zmiz1a
ENSDARG00000053186,vstm4b
ENSDARG00000021255,arhgap22
ENSDARG00000017254,kcnk1b
ENSDARG00000078741,FRMD1 (1 of 2)
ENSDARG00000059850,slc35f3b
ENSDARG00000031702,prkg1b
ENSDARG00000045219,dkk1b
ENSDARG00000073716,CPXM1 (1 of 2)
ENSDARG00000056651,gfra4
ENSDARG00000025187,six6a
ENSDARG00000033742,nt5c1bb
ENSDARG00000006891,KCNS3 (1 of 2)
ENSDARG00000027940,kcnf1a
ENSDARG00000014246,JAG2 (1 of 2)
ENSDARG00000003827,snapc1b
ENSDARG00000054680,chrna9
ENSDARG00000030514,acsl1
ENSDARG00000051970,SMU1 (2 of 2)
ENSDARG00000059682,slc43a3a
ENSDARG00000037495,rtn4rl2b
ENSDARG00000037748,slc43a1b
ENSDARG00000062132,cyp4v8
ENSDARG00000037101,mtmr7a
ENSDARG00000078599,MICU3 (2 of 2)
ENSDARG00000052782,glrba
ENSDARG00000037409,tmem144a
ENSDARG00000052764,chrnb3a
ENSDARG00000089805,pcdh18a
ENSDARG00000071353,AL929007.1
ENSDARG00000039963,FGFBP1 (1 of 2)
ENSDARG00000061459,RAPGEF2 (2 of 2)
ENSDARG00000058128,msna
ENSDARG00000002707,her11
ENSDARG00000058103,glra4b
ENSDARG00000079267,fermt3a
ENSDARG00000022109,kcnip1a
ENSDARG00000017615,tlx3b
ENSDARG00000058941,CABZ01112358.1
ENSDARG00000094386,gpr112b
ENSDARG00000090629,si:ch73-52f15.6
ENSDARG00000010097,f9a
ENSDARG00000022895,mcf2a
ENSDARG00000062720,pcdh1a
ENSDARG00000055463,LRIT3 (1 of 2)
ENSDARG00000088248,RAB11FIP5 (1 of 2)
ENSDARG00000054658,slc34a1b
ENSDARG00000060200,RGS14 (2 of 2)
ENSDARG00000067701,myoz3a
ENSDARG00000062397,CU468924.1
ENSDARG00000007960,hnrnpab
ENSDARG00000025071,brd8
ENSDARG00000078865,cxxc5a
ENSDARG00000017542,fgf1a
ENSDARG00000056680,stc2a
ENSDARG00000032714,gria1b
ENSDARG00000054542,il12bb
ENSDARG00000014233,sept8b
ENSDARG00000060018,C14H5orf24 (1 of 2)
ENSDARG00000012860,tmprss4b
ENSDARG00000015134,CAMKK1 (1 of 2)
ENSDARG00000042293,ca4b
ENSDARG00000042621,cryaba
ENSDARG00000079618,sik2a
ENSDARG00000056934,hepacam
ENSDARG00000077107,OAF (2 of 2)
ENSDARG00000067634,arhgef12b
ENSDARG00000040568,pdzd3a
ENSDARG00000021380,ppm1db
ENSDARG00000018025,tbx2a
ENSDARG00000020178,nova1
ENSDARG00000013804,capns1b
ENSDARG00000076639,ESAM (1 of 2)
ENSDARG00000037402,lim2.3
ENSDARG00000042489,prkrira
ENSDARG00000074521,map6
ENSDARG00000056427,auts2
ENSDARG00000003910,med13b
ENSDARG00000061862,myo18ab
ENSDARG00000061120,slc43a2b
ENSDARG00000044091,pitpnab
ENSDARG00000019949,serpinh1b
ENSDARG00000076962,BX537138.1
ENSDARG00000078647,samsn1b
ENSDARG00000033901,msi2a
ENSDARG00000068716,cuedc1a
ENSDARG00000079772,hmgb1a
ENSDARG00000077740,b3galtlb
ENSDARG00000019660,rxfp2a
ENSDARG00000056001,fryb
ENSDARG00000079850,dchs1b
ENSDARG00000078618,inpp5k
ENSDARG00000062183,TRPC4
ENSDARG00000074369,frem2b
ENSDARG00000078430,tiam1a
ENSDARG00000040627,GRIK1 (1 of 2)
ENSDARG00000003973,CHORDC1 (1 of 2)
ENSDARG00000040911,MEOX2 (1 of 2)
ENSDARG00000093668,ankmy2b
ENSDARG00000070479,tspan13b
ENSDARG00000069503,cldnh
ENSDARG00000030758,guca1c
ENSDARG00000062552,lpar6a
ENSDARG00000069498,phkg1b
ENSDARG00000057027,rtn2b
ENSDARG00000010231,ppm1na
ENSDARG00000022295,hnf1bb
ENSDARG00000025302,dixdc1a
ENSDARG00000056181,ncam1a
ENSDARG00000029381,aldh3a2b
ENSDARG00000061383,serpinf2b
ENSDARG00000077691,slc13a5
ENSDARG00000044362,unc119b
ENSDARG00000061551,RAP1GAP2 (1 of 2)
ENSDARG00000011113,chrna10
ENSDARG00000059368,gria4b
ENSDARG00000035648,irx4a
ENSDARG00000034668,celf3a
ENSDARG00000091784,CABZ01049057.1
ENSDARG00000077964,LIMD1 (1 of 2)
ENSDARG00000005271,ZC3H12A (1 of 2)
ENSDARG00000021987,plecb
ENSDARG00000062502,CU571162.1
ENSDARG00000070881,CMTM8 (2 of 2)
ENSDARG00000078831,abhd5b
ENSDARG00000019426,TRIO (2 of 2)
ENSDARG00000086742,ECM1 (1 of 2)
ENSDARG00000061974,grhl2b
ENSDARG00000035986,ptpn2b
ENSDARG00000062831,si:ch73-22o12.1
ENSDARG00000036816,pou2f2a
ENSDARG00000063417,erf
ENSDARG00000075764,grik5
ENSDARG00000086207,grin2da
ENSDARG00000038052,si:ch211-149k23.9
ENSDARG00000062108,iffo1b
ENSDARG00000012269,clcn1b
ENSDARG00000063682,FHOD3 (2 of 2)
ENSDARG00000074307,rapgef5b
ENSDARG00000009023,ankrd28b
ENSDARG00000074216,COLQ (2 of 2)
ENSDARG00000036236,hibadha
ENSDARG00000009045,hoxa11a
ENSDARG00000040485,dfna5
ENSDARG00000058690,cgnb
ENSDARG00000071015,pbxip1a
ENSDARG00000012367,TRIM46 (1 of 2)
ENSDARG00000025254,s100a10b
ENSDARG00000016977,snx27b
ENSDARG00000040295,apoeb
ENSDARG00000062268,jarid2b
ENSDARG00000061687,atxn1a
ENSDARG00000070702,s100v2
ENSDARG00000056105,syt11b
ENSDARG00000031751,npr1a
ENSDARG00000075592,tnfaip8l2a
ENSDARG00000002748,sema6d
ENSDARG00000014015,zgc:77086
ENSDARG00000070555,LDLRAD4 (2 of 2)
ENSDARG00000004672,ptk2.1
ENSDARG00000078797,dennd3a
ENSDARG00000014222,zgc:86598
ENSDARG00000010420,ndrg1b
ENSDARG00000025789,chd4b
ENSDARG00000007135,cnot3a
ENSDARG00000034643,fhl3a
ENSDARG00000037159,oprd1b
ENSDARG00000056532,serinc2
ENSDARG00000054797,zgc:153441
ENSDARG00000075152,CABZ01111953.1
ENSDARG00000034541,tgfbr2
ENSDARG00000040069,CPNE4 (1 of 2)
ENSDARG00000014159,mtdha
ENSDARG00000071252,scn1bb
ENSDARG00000019622,rims2a
ENSDARG00000001971,cthrc1b
ENSDARG00000089168,EXT1 (4 of 4)
ENSDARG00000007257,rab5ab
ENSDARG00000059888,AGO3 (1 of 2)
ENSDARG00000035880,atp6v1c1b
ENSDARG00000012588,ptdss1
ENSDARG00000017219,pabpc1a
ENSDARG00000069589,tmem222a
ENSDARG00000063229,xpo1b
ENSDARG00000091592,peli1a
ENSDARG00000061778,fmn2b
ENSDARG00000071298,chrm3b
ENSDARG00000090343,ACTN2 (2 of 2)
ENSDARG00000061736,ank3a
ENSDARG00000061682,BICC1 (1 of 4)
ENSDARG00000094504,PLEKHA1 (2 of 2)
ENSDARG00000038237,tbc1d12a
ENSDARG00000040765,drd6b
ENSDARG00000075263,ankrd1a
ENSDARG00000089287,HTR7 (2 of 2)
ENSDARG00000010098,pank1b
ENSDARG00000086663,UNC79 (1 of 2)
ENSDARG00000069598,chrm5b
ENSDARG00000062849,kcnk10a
ENSDARG00000013669,NAPB (1 of 2)
ENSDARG00000059233,runx2b
ENSDARG00000020443,XKR6 (1 of 2)
ENSDARG00000009949,FNDC4 (1 of 2)
ENSDARG00000039577,ptk2bb
ENSDARG00000054150,cx23
ENSDARG00000042859,SLC5A6 (2 of 2)
ENSDARG00000093008,si:dkey-30j22.5
ENSDARG00000042904,foxo3b
ENSDARG00000018047,brms1lb
ENSDARG00000071230,LRFN5 (1 of 2)
ENSDARG00000009142,ppp1r13bb
ENSDARG00000014081,fam184a
ENSDARG00000034650,fabp7b
ENSDARG00000008212,kcnk13a
ENSDARG00000062693,nrxn3b
ENSDARG00000018976,sptlc2a
ENSDARG00000079555,ccdc85cb
ENSDARG00000019001,ak7a
ENSDARG00000037064,galca
ENSDARG00000011696,esrrgb
ENSDARG00000076096,LPIN1 (2 of 2)
ENSDARG00000086789,BX649281.3
ENSDARG00000030844,klf11a
ENSDARG00000055120,ctsba
ENSDARG00000069302,snx9b
ENSDARG00000069307,pomcb
ENSDARG00000024602,ACBD3 (1 of 2)
ENSDARG00000088117,FUT8 (2 of 2)
ENSDARG00000005827,eif2s1a
ENSDARG00000042551,mboat2b
ENSDARG00000010181,asap2a
ENSDARG00000093093,adam17b
ENSDARG00000077187,impg1a
ENSDARG00000044016,myo6a
ENSDARG00000016154,zfp36l1a
ENSDARG00000015425,slc24a4a
ENSDARG00000057195,GPR132 (2 of 3)
ENSDARG00000013134,CABZ01071407.1
ENSDARG00000060459,LRFN2 (1 of 2)
ENSDARG00000073814,pax1b
ENSDARG00000011127,ahsa1l
ENSDARG00000078095,si:ch73-387e10.3
ENSDARG00000093659,entpd5b
ENSDARG00000043026,TTBK2 (2 of 2)
ENSDARG00000043035,capn3b
ENSDARG00000002353,tagapa
ENSDARG00000025091,ezrb
ENSDARG00000052928,arf6b
ENSDARG00000042368,kif26aa
ENSDARG00000016763,znf292a
ENSDARG00000078419,FILIP1 (1 of 2)
ENSDARG00000068428,si:ch211-153j24.3
ENSDARG00000030832,otof
ENSDARG00000027867,CU634009.1
ENSDARG00000008209,myt1la
ENSDARG00000087474,ccr6a
ENSDARG00000005842,cd9a
ENSDARG00000003210,ANO2 (1 of 2)
ENSDARG00000030078,glipr1b
ENSDARG00000063299,pcloa
ENSDARG00000069402,lrrc4.1
ENSDARG00000045706,tspan9b
ENSDARG00000045753,tmtc2
ENSDARG00000011830,fgd4a
ENSDARG00000063255,btbd11a
ENSDARG00000045768,cry1a
ENSDARG00000008748,ube2na
ENSDARG00000010745,dnaja2l
ENSDARG00000078541,CABZ01067609.1
ENSDARG00000069425,hsbp1a
ENSDARG00000028943,mtss1l
ENSDARG00000036139,lctla
ENSDARG00000069006,gro1
ENSDARG00000027423,igf1ra
ENSDARG00000054196,CR352249.1
ENSDARG00000036058,gnao1b
ENSDARG00000057527,MEF2A (2 of 2)
ENSDARG00000001414,mctp2a
ENSDARG00000068296,SLCO3A1 (2 of 2)
ENSDARG00000079622,FRMD5
ENSDARG00000090375,BX001033.2
ENSDARG00000068144,nmba
ENSDARG00000034753,tspan3a
ENSDARG00000062220,plekha7b
ENSDARG00000022437,CD81 (1 of 2)
ENSDARG00000069430,tp53i11a
ENSDARG00000056656,tspan18a
ENSDARG00000036299,nucb2a
ENSDARG00000017105,vasp
ENSDARG00000075383,GRAMD1B (2 of 2)
ENSDARG00000061685,hcn4
ENSDARG00000013780,glg1b
ENSDARG00000062469,hipk3a
ENSDARG00000029239,syt9b
ENSDARG00000023214,mob2a
ENSDARG00000007714,ube2q1
ENSDARG00000076852,CABZ01113374.2
ENSDARG00000069765,SYNGAP1 (2 of 2)
ENSDARG00000063718,vps72
ENSDARG00000071250,tmem79a
ENSDARG00000019428,eomesb
ENSDARG00000054914,dgat1b
ENSDARG00000074826,GPR20 (1 of 2)
ENSDARG00000077326,slc45a4
ENSDARG00000077855,znrf2a
ENSDARG00000013935,TMEM196 (1 of 2)
ENSDARG00000011870,sp8a
ENSDARG00000074394,CABZ01049058.1
ENSDARG00000040119,ccdc127a
ENSDARG00000054344,gabpb2b
ENSDARG00000089441,si:ch211-105c13.3
ENSDARG00000036773,s100s
ENSDARG00000032485,efna3b
ENSDARG00000058992,cers2b
ENSDARG00000074676,rprd2b
ENSDARG00000027192,hcn3
ENSDARG00000013295,slc2a3a
ENSDARG00000036457,cacng6a
ENSDARG00000020450,cacng8a
ENSDARG00000063006,cacng7a
ENSDARG00000087519,USF2 (2 of 2)
ENSDARG00000092112,tomm40
ENSDARG00000075819,arhgef2
ENSDARG00000002614,pip5k1aa
ENSDARG00000035985,FAM210A (1 of 2)
ENSDARG00000011797,fam46bb
ENSDARG00000032221,phactr4b
ENSDARG00000024619,FOXO6 (1 of 2)
ENSDARG00000056793,jazf1b
ENSDARG00000034062,tax1bp1a
ENSDARG00000036254,hoxa13b
ENSDARG00000040474,snx10b
ENSDARG00000029761,mpp6b
ENSDARG00000086499,RFTN1 (2 of 2)
ENSDARG00000057586,sall3b
ENSDARG00000091623,TMEM74 (2 of 2)
ENSDARG00000076546,trhra
ENSDARG00000077103,sema4aa
ENSDARG00000036107,txnipa
ENSDARG00000077084,col28a1
ENSDARG00000074025,C1GALT1 (4 of 4)
ENSDARG00000015290,SACM1L (1 of 2)
ENSDARG00000077671,CABZ01078889.1
ENSDARG00000043235,sox4b
ENSDARG00000010290,stx12
ENSDARG00000040216,tpbga
ENSDARG00000079879,arid1aa
ENSDARG00000035869,azin1b
ENSDARG00000040278,KLHL38 (2 of 2)
ENSDARG00000032859,fam84b
ENSDARG00000087934,CABZ01080435.1
ENSDARG00000077499,plekho1b
ENSDARG00000060768,ankib1a
ENSDARG00000013174,nkd3
ENSDARG00000038634,CCK (1 of 2)
ENSDARG00000037533,mep1b
ENSDARG00000088634,adcy1b
ENSDARG00000014947,igfbp1a
ENSDARG00000045828,wu:fi26e04
ENSDARG00000055412,mylk4b
ENSDARG00000005716,olfml2ba
ENSDARG00000016630,tprb
ENSDARG00000024546,cpla2
ENSDARG00000060618,ipo13
ENSDARG00000001891,syt14b
ENSDARG00000002467,rdh14b
ENSDARG00000043220,kcnh5a
ENSDARG00000069752,ckba
ENSDARG00000076440,btbd6a
ENSDARG00000016454,esr2a
ENSDARG00000006395,rbm25
ENSDARG00000007151,kcnk2b
ENSDARG00000079992,SENP6 (2 of 2)
ENSDARG00000057790,ANKRD6 (2 of 2)
ENSDARG00000008803,marcksb
ENSDARG00000037613,LGALS8 (2 of 2)
ENSDARG00000053859,ism2
ENSDARG00000089545,BEGAIN (2 of 2)
ENSDARG00000075707,NID2 (2 of 2)
ENSDARG00000086808,DDHD1 (2 of 2)
ENSDARG00000052898,KCNK3 (2 of 2)
ENSDARG00000088377,RP1L1 (1 of 2)
ENSDARG00000009689,daam1b
ENSDARG00000057792,cx52.7
ENSDARG00000000161,itsn2a
ENSDARG00000053864,ELMSAN1 (2 of 2)
ENSDARG00000056125,myct1
ENSDARG00000009499,syne1a
ENSDARG00000070583,ITPK1 (2 of 2)
ENSDARG00000090064,CABZ01084273.1
ENSDARG00000040492,mthfd1b
ENSDARG00000031240,kidins220a
ENSDARG00000054537,NHSL1 (2 of 2)
ENSDARG00000007179,sash1a
ENSDARG00000029234,stxbp5b
ENSDARG00000041162,GRM1 (2 of 2)
ENSDARG00000024189,pnocb
ENSDARG00000024195,znf395b
ENSDARG00000024537,emilin1a
ENSDARG00000060211,ankef1b
ENSDARG00000020609,snap25a
ENSDARG00000042759,cnstb
ENSDARG00000021664,fzd3a
ENSDARG00000089954,TDRD6 (2 of 2)
ENSDARG00000020594,txlnba
ENSDARG00000020123,adck3
ENSDARG00000009844,DUSP23 (1 of 2)
ENSDARG00000032838,si:dkey-206f10.1
ENSDARG00000031506,flvcr2b
ENSDARG00000040137,CU694315.1
ENSDARG00000005394,dnmt3aa
ENSDARG00000027082,hmbox1a
ENSDARG00000079731,kif13ba
ENSDARG00000004721,mpp5b
ENSDARG00000079878,CU915814.1
ENSDARG00000041239,wdr20b
ENSDARG00000035650,evla
ENSDARG00000018882,jak2b
ENSDARG00000032188,lrrc8a
ENSDARG00000035122,camsap1b
ENSDARG00000044841,notch1a
ENSDARG00000052631,thbs4a
ENSDARG00000079472,F2RL2 (1 of 2)
ENSDARG00000045955,prlrb
ENSDARG00000056245,zgc:162952
ENSDARG00000060025,nsmfa
ENSDARG00000073792,MAN1B1 (1 of 2)
ENSDARG00000026634,ehmt1b
ENSDARG00000004177,fam169ab
ENSDARG00000019013,barhl1b
ENSDARG00000067548,fgf10b
ENSDARG00000042909,lifra
ENSDARG00000017312,lmbrd2b
ENSDARG00000077938,cd248b
ENSDARG00000061454,nrxn2a
ENSDARG00000056690,mtmr1a
ENSDARG00000056725,hmgb3a
ENSDARG00000043593,rapgef1a
ENSDARG00000077906,rnf165a
ENSDARG00000003920,setb
ENSDARG00000011594,smarcb1b
ENSDARG00000016718,mmp11b
ENSDARG00000005122,atp2a2b
ENSDARG00000043697,nefmb
ENSDARG00000007671,ghrb
ENSDARG00000060601,rgs7bpa
ENSDARG00000073720,RNF180 (2 of 2)
ENSDARG00000057399,CR954145.1
ENSDARG00000014956,diablob
ENSDARG00000025033,stx5a
ENSDARG00000089094,B3GNT2 (3 of 4)
ENSDARG00000086585,nrg2b
ENSDARG00000015557,zgc:100829
ENSDARG00000041173,adra1bb
ENSDARG00000075121,hbegfa
ENSDARG00000020645,slc7a3a
ENSDARG00000037122,TENM2 (2 of 2)
ENSDARG00000095339,COL23A1 (2 of 2)
ENSDARG00000005908,clk4b
ENSDARG00000091277,adra2da
ENSDARG00000013979,ndfip1
ENSDARG00000078259,bnip1a
ENSDARG00000018989,hspa4b
ENSDARG00000079125,SOWAHA (2 of 2)
ENSDARG00000069745,slc35f2
ENSDARG00000004260,cul5b
ENSDARG00000059774,dub
ENSDARG00000031075,cadm1a
ENSDARG00000061794,jam3b
ENSDARG00000039065,BX571707.1
ENSDARG00000053831,vtnb
ENSDARG00000090642,CU856359.2
ENSDARG00000032013,pafah1b1a
ENSDARG00000005172,dynll2b
ENSDARG00000086169,sgk494b
ENSDARG00000063651,limk1a
ENSDARG00000068175,ing5b
ENSDARG00000024588,gpc5
ENSDARG00000042670,eps15l1a
ENSDARG00000062550,rc3h1
ENSDARG00000011281,osbpl1a
ENSDARG00000093342,si:ch211-13f8.1
ENSDARG00000076836,gpx4b
ENSDARG00000071325,C22H19orf26 (1 of 2)
ENSDARG00000090115,HCN2 (2 of 2)
ENSDARG00000090903,CREB3L3 (2 of 2)
ENSDARG00000042091,btbd2
ENSDARG00000042029,mbd3b
ENSDARG00000068918,map2k2b
ENSDARG00000067815,LINGO3 (2 of 2)
ENSDARG00000006368,crlf1b
ENSDARG00000094243,shda
ENSDARG00000053326,gna11b
ENSDARG00000052997,sema4e
ENSDARG00000007265,RGS13 (1 of 2)
ENSDARG00000042628,b3galt2
ENSDARG00000009477,prkar2ab
ENSDARG00000006079,gpr37l1a
ENSDARG00000030250,dennd2db
ENSDARG00000029457,cacna1sa
ENSDARG00000095855,si:ch211-163l21.11
ENSDARG00000043180,gpd1b
ENSDARG00000069095,gls2
ENSDARG00000036685,ccnt2a
ENSDARG00000030104,sh3bp4
ENSDARG00000010481,bzw1a
ENSDARG00000004789,lrp1ba
ENSDARG00000077403,col8a1a
ENSDARG00000062148,SENP7 (2 of 2)
ENSDARG00000009524,rnf150a
ENSDARG00000012125,cnga1
ENSDARG00000036894,AIMP1 (1 of 2)
ENSDARG00000052520,sgms2
ENSDARG00000078908,fbxo41
ENSDARG00000062396,anks1aa
ENSDARG00000042128,pacsin1b
ENSDARG00000016256,nudt3a
ENSDARG00000077044,arl6ip5a
ENSDARG00000079491,KCNA3 (2 of 2)
ENSDARG00000078210,TULP1 (2 of 2)
ENSDARG00000020610,tnnt2a
ENSDARG00000052708,tnni1b
ENSDARG00000006603,csrp1a
ENSDARG00000028618,KRT18 (2 of 3)
ENSDARG00000004843,foxp1a
ENSDARG00000026540,ppp4r2a
ENSDARG00000013647,
ENSDARG00000007412,slc2a1b
ENSDARG00000016348,DIP2B (2 of 2)
ENSDARG00000060797,pfkmb
ENSDARG00000052142,ACVR1B (2 of 2)
ENSDARG00000040031,tardbp
ENSDARG00000076640,NFATC2 (1 of 2)
ENSDARG00000043059,VDR (1 of 2)
ENSDARG00000076299,EMILIN3 (1 of 2)
ENSDARG00000078485,snpha
ENSDARG00000074902,C8H20orf112 (2 of 2)
ENSDARG00000013655,tpd52l2b
ENSDARG00000042948,dnajc5aa
ENSDARG00000023445,atp2b3b
ENSDARG00000017884,bgna
ENSDARG00000056995,snai1a
ENSDARG00000017121,mafba
ENSDARG00000058873,PTPDC1 (2 of 3)
ENSDARG00000044827,wnt7aa
ENSDARG00000070922,cnbpb
ENSDARG00000078971,CABZ01061873.1
ENSDARG00000010052,ndrg3b
ENSDARG00000012777,nucks1b
ENSDARG00000091126,RNF207 (2 of 2)
