Box1,Box2,cDNA Name,Gene symbol,Biblio data,comments,Complexes,ENSDARG,Epigenetic,Function,Gene Name,GO component,GO function,GO process,Modification,NR-NS,Original Name,ovaries,pattern,PMID,polymerase,primers,Sequence,size,star,submission ZFIN,target entity,Target moleculres,Vector,ZDB_gene,ZFIN probe ID
V159,,FR_3291,uspl1,,,,ENSDARG00000034825,,,ubiquitin specific peptidase like 1,Cajal body ; nucleus,SUMO-specific isopeptidase activity ; SUMO binding ; cysteine-type peptidase activity ; peptidase activity ; hydrolase activity ; protein binding,Cajal body organization ; protein desumoylation ; cell proliferation ; proteolysis,,NR,GS4874 ,,NR,,T3,ADX299-M13F or PU,CK688956,4,,9 th sending,,,pDNR-LIB,ZDB-GENE-040930-7, ZDB-EST-050411-60
V16,V438,CB785,c1qbp,,,,,,,"complement component 1, q subcomponent binding protein",mitochondrial matrix,molecular_function,biological_process,,,CG1838,,"G : NR, ES : anterior neural plate, paraxial mesoderm, MS : retina, tectum, somies, 24 hrs : retina, tectum, muscles (including hypaxial musculature), later : same, liver, fin bud muscles",,T7,PU-RP,CF416989 ,1.4,2,sending CB,,,pBSIISK+,ZDB-GENE-050417-408,
V160,,FR_3345,lrig2,,,,,,,leucine-rich repeats and immunoglobulin-like domains 2,membrane ; integral component of membrane,molecular_function,biological_process,,NR,GS4975 ,,NR,,T3,ADX299-M13F or PU,CK691814,2.5,,9 th sending,,,pDNR-LIB,ZDB-GENE-041111-75,
V161,,FR_3379,acin1a,,,,ENSDARG00000054290,,,apoptotic chromatin condensation inducer 1a,NA,nucleotide binding,NA,,NR,GS5054 ,,NR strong,,T3,ADX299-M13F or PU,CK687759,1.8,,9 th sending,,,pDNR-LIB,ZDB-GENE-030616-583, ZDB-EST-050411-109
V162,,FR_3406,nup107,,,,ENSDARG00000016010,,,nucleoporin 107,nuclear pore outer ring ; nuclear pore,nucleocytoplasmic transporter activity ; structural constituent of nuclear pore,"nuclear pore complex assembly ; protein import into nucleus ; transport ; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery ; mRNA export from nucleus ; regulation of transcription, DNA-templated",,NR,GS5168 ,,NR,,T3,ADX299-M13F or PU,CK689055,3.5,,9 th sending,,,pDNR-LIB,ZDB-GENE-041210-245, ZDB-EST-050411-124
V163,,FR_4582,fam199x,,,,ENSDARG00000009982,,,"family with sequence similarity 199, X-linked",cellular_component,molecular_function,biological_process,,NR,GS5214 ,,NR,,T3,ADX299-M13F or PU,CK689334,1.9,,11 th sending,,,pDNR-LIB,ZDB-GENE-040808-24, ZDB-EST-050809-74
V164,,FR_5606,ctcf,A CTCF-CHD8 complex is involved in both enhancer blocking and epigenetic remodeling at chromatin boundary in vivo.,,#,,epi TF,"Chromatin remodelling, TF",CCCTC-binding factor (zinc finger protein),NA,metal ion binding ; nucleic acid binding ; chromatin binding ; DNA binding,regulation of gene expression ; regulation of transcription from RNA polymerase II promoter,"#, TF activator",NR,GS5352 ,,NR,16949368,T3,ADX299-M13F or PU,CK689524,1.8,,11 th sending,#,DNA motif,pDNR-LIB,ZDB-GENE-040624-5,
V165,,FR_5625,im:7152883,,,,,,,im:7152883,,,,,NR,GS5373 ,, NR,,T3,ADX299-M13F or PU,CK689708,1.8,,11 th sending,,,pDNR-LIB,ZDB-GENE-050809-25,
V166,,FR_5690,im:7159318,,,,,,,im:7159318,,,,,NS,GS5455 ,,no labelling,,T3,ADX299-M13F or PU,CK694607,2.5,,11 th sending,,,pDNR-LIB,ZDB-GENE-050809-77,
V167,,FR_1,id2b,,,,ENSDARG00000029544,,,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein, a",cytoplasm ; nucleus,protein dimerization activity,"regulation of neuron differentiation ; intra-S DNA damage checkpoint ; negative regulation of transcription, DNA-templated",,,N1,,"G : Ø
ES : (late) border of neural plate at the level of the MHB
MS :  notochord, posterior lateral line primordia, pronephric ducts
24 h : notochord, pronephric ducts, heart
36 h : heart
48 h : ventral tectum, neurons in retina (amacrine cells ?), cell at the MHB
5 d : individual cells (neurons) in brain and retina
",,T7,PU-RP,BC059690,1463,2,1 st sending,,,pBluescriptSK-,ZDB-GENE-020910-1, ZDB-CDNA-040425-370
V168,,FR_27,fgf1a,,,,ENSDARG00000017542,,,fibroblast growth factor 1a,extracellular region ; cytosol ; cell cortex ; extracellular space ; cytoplasm ; nucleus,S100 protein binding ; fibroblast growth factor receptor binding ; receptor binding ; heparin binding ; growth factor activity,branch elongation involved in ureteric bud branching ; positive regulation of cholesterol biosynthetic process ; positive regulation of intracellular signal transduction ; positive regulation of angiogenesis ; positive regulation of cell division ; fibroblast growth factor receptor signaling pathway ; hemopoiesis ; multicellular organism development ; cell differentiation ; positive regulation of cell proliferation ; positive regulation of transcription from RNA polymerase II promoter ; positive regulation of cell migration ; angiogenesis,,,N31,,"G : 	Ø
ES :	Ø
MS : 	Ø
24 h :	Ø
36 h :	Ø
48 h : 	strong in ventral photoreceptor cell layer of retina
5 d :	photoreceptor cell layer of retina
",,T7,PU-RP,BC059588,1729,4,1 st sending,,,pBluescriptSK-,ZDB-GENE-040426-1729, ZDB-CDNA-040425-2669
V169,,FR_55,ahcyl2,,,,ENSDARG00000039343,,,adenosylhomocysteinase-like 2,NA,adenosylhomocysteinase activity ; hydrolase activity,one-carbon metabolic process,,,N61,,"G : 	NR weak
ES :	NR weak, adaxial cells anteriorly in segmental plate, posterior notochord
MS : 	NR, otic vesicle, somites, pronephric ducts
24 h :	NR, otic vesicle, somites, pronephric ducts
36 h :	NR, otic vesicle, somites, pronephric ducts
48 h : 	brain non ventricular, otic vesicle, pronephric ducts
",,T7,PU-RP,BC059517,2152,1,1 st sending,,,pBluescriptSK-,ZDB-GENE-040115-5, ZDB-CDNA-040425-17
V17,V440,CB806,ptpn2a,,,,,,,"protein tyrosine phosphatase, non-receptor type 2, a",membrane ; integral component of membrane,protein tyrosine phosphatase activity ; phosphoprotein phosphatase activity ; hydrolase activity ; phosphatase activity,dephosphorylation ; protein dephosphorylation,,,CG2124,,"MS : weak in ventral diencephalon, >36hrs : liver",,T7,PU-RP,CF417010 ,1.3,0,sending CB,,,pBSIISK+,ZDB-GENE-040426-1196,
V170,,FR_100,nme2a,,,,ENSDARG00000043820,,,NME/NM23 nucleoside diphosphate kinase 2a,NA,transferase activity ; nucleotide binding ; ATP binding ; kinase activity ; nucleoside diphosphate kinase activity,UTP biosynthetic process ; CTP biosynthetic process ; nucleoside diphosphate phosphorylation ; GTP biosynthetic process ; nucleoside triphosphate biosynthetic process ; pyrimidine nucleotide metabolic process ; purine nucleotide metabolic process ; phosphorylation ; regulation of apoptotic process,,,N110,,"G-24h : Ø
36h : epiphysis
48h : dorsal cerebellum, ventral part of retina
5d : retina",,T7,PU-RP,BC059486,671,3,1 st sending,,,pBluescriptSK-,ZDB-GENE-030131-7656, ZDB-CDNA-040425-1577
V171,,FR_111,slc25a3a,,,,ENSDARG00000027424,,,"solute carrier family 25 (mitochondrial carrier phosphate carrier), member 3",membrane ; integral component of membrane,structural constituent of ribosome,transport ; translation,,,N121,,"G-MS : Ø
24h : retina, tectum, myotomes, pronephric ducts
36h : same, epiphysis
48h : pectoral fin muslces, epiphysis, ventral part of retina, gut
5d : epiphysis, photoreceptor cell layer retina",,T7,PU-RP,BC059476,1392,1,1 st sending,,,pBluescriptSK-,ZDB-GENE-040426-1916, ZDB-CDNA-040425-2613
V172,,FR_139,dynll1,,,,ENSDARG00000058454,,,"dynein, axonemal, intermediate chain 1, paralog 2",cellular_component,molecular_function,biological_process,,NR,N151 ,,NR,,T7,PU-RP,"BC059707
",805,,1 st sending,,,pBluescriptSK-,ZDB-GENE-070112-1302, ZDB-CDNA-040425-2908
V173,,FR_167,stx8,,,,ENSDARG00000103173,,,syntaxin 8,endomembrane system ; membrane ; SNARE complex ; integral component of membrane,SNAP receptor activity ; SNARE binding,vesicle docking ; vesicle fusion ; intracellular protein transport,,NR,N181 ,,NR,,T7,T7-SP6,BC053241,1394,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1360, ZDB-CDNA-040425-2294
V174,,FR_192,slc48a1b,,,,ENSDARG00000026109,,,"solute carrier family 48 (heme transporter), member 1a",endosome membrane ; lysosomal membrane ; membrane ; lysosome ; endosome ; integral component of membrane,heme transporter activity,heme transport ; transport,,NR,N211 ,,NR,,T7,T7-SP6,BC053186,1420,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040718-121, ZDB-CDNA-040425-1535
V175,,FR_219,tcea1,,,,ENSDARG00000003531,,,"transcription elongation factor A (SII), 3",nucleus,nucleic acid binding ; translation elongation factor activity ; zinc ion binding ; DNA binding,"regulation of DNA-templated transcription, elongation ; transcription, DNA-templated ; translational elongation ; translation ; regulation of transcription, DNA-templated ; regulation of transcription from RNA polymerase II promoter",,NR,N241 ,,NR,,T7,T7-SP6,BC053177,1597,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1860, ZDB-CDNA-040425-1521
V176,,FR_245,ggt1a,,,,ENSDARG00000023526,,,gamma-glutamyltransferase 1a,membrane ; integral component of membrane,gamma-glutamyltransferase activity ; transferase activity,glutathione metabolic process,,,N272,,"G : 	Ø
ES :	Ø
MS : 	Ø
24 h :	lens
36 h :	lens
48 h : 	lens
",,T7,T7-SP6,BC054631,2296,1,2 nd sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1388, ZDB-CDNA-040425-2322
V177,,FR_270,pfkfb4b,,,,ENSDARG00000029075,,,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4b",NA,6-phosphofructo-2-kinase activity ; transferase activity ; ATP binding ; catalytic activity ; kinase activity,"fructose metabolic process ; fructose 2,6-bisphosphate metabolic process ; metabolic process ; phosphorylation",,,N301,,"G : 	anterior neural plate, forerunner cells
ES :	neural plate (2 rhombomeres) ,v entral mesenchyme
MS : 	CNS, nose
24 h :	CNS marginal (weak)
36 h :	CNS marginal (weak)
48 h : 	CNS marginal (weak)
",,T7,T7-SP6,BC053282,2680,1,2 nd sending,,,pCMV-SPORT6.1,ZDB-GENE-031031-4, ZDB-CDNA-040425-648
V178,,FR_297,itm2bb,,,,ENSDARG00000041505,,,integral membrane protein 2Bb,membrane ; integral component of membrane,NA,NA,,,N331,,"G : 	Ø
ES :	Ø
MS : 	pronephric ducts, macrophages
24 h :	pronephric ducts, YSL
36 h :	pronephric ducts,
48 h : 	pronephric ducts,

",,T7,T7-SP6,BC053278,1487,1,2 nd sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-2139, ZDB-CDNA-040425-3086
V18,V442,CB665,itga6a,,,,,,,"integrin, alpha 6a",integrin complex ; membrane ; integral component of membrane,NA,skeletal muscle tissue development ; integrin-mediated signaling pathway ; cell adhesion,,,CG2798,,"G : NR
ES : neural plate border, segmental plate, adaxial cells ++
MS : Ysl, neural crest migrating in branchial arches, adaxial cells, ventral mesoderm, unsegmented paraxial mesoderm
24 h : choroid fissure, YSL on yolk tube, branchial arches posteriorly, ventral mesoderm
36 h : branchial arches, axial vasculature, pectoral fin
48 h : branchial arches, pectoral fin, otic vesicle, liver

",,T7,PU-RP,,3.3,3,sending CB,,,pBSIISK+,ZDB-GENE-050309-23,
V180,,FR_343,stx3a,,,,ENSDARG00000001880,,,syntaxin 3A,synaptic vesicle ; endomembrane system ; membrane ; SNARE complex ; plasma membrane ; integral component of membrane,SNAP receptor activity ; SNARE binding,synaptic vesicle docking ; vesicle docking ; synaptic vesicle fusion to presynaptic active zone membrane ; exocytosis ; vesicle-mediated transport ; intracellular protein transport,,,N396 ,,"G : 	prechordal plate
ES :	polster
MS : 	hatching gland
24 h :	hatching gland, lens
36 h :	hatching gland, lens
48 h : 	hatching gland, lens
",,T7,T7-SP6,BC056333,1794,0,2 nd sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1489, ZDB-CDNA-040425-2423
V181,,FR_360,ncl1,,,,ENSDARG00000058861,,,nicalin,membrane ; endoplasmic reticulum membrane ; plasma membrane ; integral component of membrane,NA,negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry ; regulation of signal transduction ; multicellular organism development,,NR,N422 ,,NR,,T7,T7-SP6,BC056523,2558,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-030131-8788, ZDB-CDNA-040425-3131
V182,,FR_371,zgc:66024,,,,ENSDARG00000068840,,,zgc:66024,NA,palmitoyl hydrolase activity ; thiolester hydrolase activity ; palmitoyl-(protein) hydrolase activity,NA,,NS,N451 ,,no staining,,T7,T7-SP6,BC058849,1170,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1511, ZDB-CDNA-040425-2445
V183,,FR_387,pdcd10a,,,,ENSDARG00000035054,,,programmed cell death 10a,Golgi apparatus ; Golgi membrane ; membrane ; plasma membrane ; cytoplasm,NA,heart morphogenesis ; vasculature development ; blood vessel development ; apoptotic process ; blood vessel morphogenesis ; angiogenesis ; chordate embryonic development ; heart development,,NR,N482 ,,NR,,T7,T7-SP6,BC056552,1268,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1432, ZDB-CDNA-040425-2366
V184,,FR_399,gpd1b,,,,ENSDARG00000043180,,,glycerol-3-phosphate dehydrogenase 1b,glycerol-3-phosphate dehydrogenase complex,"glycerol-3-phosphate dehydrogenase [NAD+] activity ; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; oxidoreductase activity ; NAD binding ; protein homodimerization activity",glycerol-3-phosphate metabolic process ; glycerol-3-phosphate catabolic process ; oxidation-reduction process ; carbohydrate metabolic process,,,N511,,"G : 	neural plate, Ø in axis
ES :	neural plate at the level of anterior presumptive neural plate
MS : 	YSL, ventral hematopoietic mesoderm
24 h :	YSL, ICM, migrating neural crest cells in lateral pathway
36 h :	YSL, ICM, migrating neural crest cells in lateral pathway
48 h : 	liver ++, dorsal hindbrain
5d : 	liver ++
",,T7,T7-SP6,BC055382,1355,3,2 nd sending,,,pCMV-SPORT6.1,ZDB-GENE-030131-3906, ZDB-CDNA-040425-1263
V185,,FR_426,gpr19,,,,ENSDARG00000102226,,,G protein-coupled receptor 19,membrane ; integral component of plasma membrane ; integral component of membrane,G-protein coupled receptor activity,cell surface receptor signaling pathway ; G-protein coupled receptor signaling pathway,,NR,N541 ,,NR,,T7,T7-SP6,BC053145,1852,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1295, ZDB-CDNA-040425-2229
V186,,FR_451,ap4b1,,,,ENSDARG00000013726,,,"adaptor-related protein complex 4, mu 1 subunit",clathrin adaptor complex ; membrane,NA,protein transport ; transport ; vesicle-mediated transport ; intracellular protein transport,,NR,N572 ,,NR,,T7,T7-SP6,BC053128,2351,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040718-421, ZDB-CDNA-040425-2218
V187,,FR_476,snx27b,,,,ENSDARG00000016977,,,sorting nexin family member 27b,early endosome,phosphatidylinositol binding ; phosphatidylinositol-3-phosphate binding,"retrograde transport, endosome to plasma membrane ; signal transduction ; endosomal transport ; intracellular protein transport",,NR,N605 ,,NR,,T7,T7-SP6,BC056315,2120,,1 st sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1529, ZDB-CDNA-040425-2463
V188,,FR_489,hoxd9a,,,,ENSDARG00000059274,,,homeobox D9a,nucleus,sequence-specific DNA binding ; DNA binding,"transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated",,,N633,,"NR, more in retina ≥ 36h, epiphysis ≥ 24h
",,T7,T7-SP6,BC056695,1410,0,2 nd sending,,,pCMV-SPORT6.1,ZDB-GENE-990415-121, ZDB-CDNA-040425-379
V19,V442,CB722,aclya,,,,,,,ATP citrate lyase a,cytoplasm,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer ; ATP citrate synthase activity ; cofactor binding ; lyase activity ; transferase activity ; nucleotide binding ; ATP binding ; metal ion binding ; catalytic activity",acetyl-CoA biosynthetic process ; citrate metabolic process ; metabolic process ; lipid metabolic process,,,CG2808,,"G : Ø
ES : weak in axis
MS : weak NR, ventral spinal chord neurons (motor neurons)
24 h : epidermis, spinal chord neurons (stronger in motor neurons)
36 h : same + epiphysis
48 h : same + epiphysis and pectoral fin
",,T7,PU-RP,CF673243,2,2,sending CB,,,pBSIISK+,ZDB-GENE-031113-1,
V190,,FR_520,dnaja3b,,,,ENSDARG00000102295,,,"DnaJ (Hsp40) homolog, subfamily B, member 13",cellular_component,unfolded protein binding,protein folding,,NR,N691 ,,NR,,T3,ACY9-ACY10,BC055555,2099,,1 st sending,,,pME18S-FL3,ZDB-GENE-040910-4, ZDB-CDNA-040425-244
V191,,FR_550,eif3c,,,,ENSDARG00000016443,,,"eukaryotic translation initiation factor 3, subunit Jb",eukaryotic 43S preinitiation complex ; eukaryotic 48S preinitiation complex ; eukaryotic translation initiation factor 3 complex ; cytoplasm,translation initiation factor activity,formation of translation preinitiation complex ; cytoplasmic translation ; translational initiation ; translation ; regulation of translational initiation,,NR,N721,,NR,,T3,ACY9-ACY10,BC057465,3222,,1 st sending,,,pME18S-FL3,ZDB-GENE-040426-2900, ZDB-CDNA-040425-3768
V192,,FR_579,smpd4,,,,ENSDARG00000020730,,,sphingomyelin phosphodiesterase 4,Golgi apparatus ; Golgi membrane ; membrane ; endoplasmic reticulum membrane ; endoplasmic reticulum ; integral component of membrane,sphingomyelin phosphodiesterase D activity ; sphingomyelin phosphodiesterase activity ; metal ion binding ; hydrolase activity,NA,,NR,N752,,NR,,T3,ACY9-ACY10,BC057525,3408,,1 st sending,,,pME18S-FL3,ZDB-GENE-040426-2672, ZDB-CDNA-040425-3619
V193,,FR_609,timm50,,,,ENSDARG00000031098,,,translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae),mitochondrial inner membrane presequence translocase complex ; mitochondrial inner membrane ; membrane ; mitochondrion ; integral component of membrane,protein serine/threonine phosphatase activity ; protein tyrosine phosphatase activity ; phosphoprotein phosphatase activity ; phosphatase activity,mitochondrial membrane organization ; protein transport ; transport ; protein import into mitochondrial matrix ; apoptotic process,,,N782,,"G : margin
ES : tail bud, segmental plate
MS : eye, midbrain, somites
24 h : retina, midbrain
36 h : retina, posterior tectum, pectoral fin, branchial arche
48 h : retina, posterior tectum, pectoral fin, branchial arche",,T3,ACY9-ACY10,BC057522,1888,1,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-1618, ZDB-CDNA-040425-2552
V194,,FR_637,psma6a,,,,ENSDARG00000019398,,,proteasome subunit alpha 6a,"proteasome core complex, alpha-subunit complex ; proteasome core complex ; proteasome complex ; cytoplasm ; nucleus",threonine-type endopeptidase activity ; peptidase activity ; hydrolase activity ; endopeptidase activity,ubiquitin-dependent protein catabolic process ; proteolysis involved in cellular protein catabolic process ; proteolysis,,NR,N813,,NR,,T3,ACY9-ACY10,BC055520,998,,2 nd sending,,,pME18S-FL3,ZDB-GENE-020326-1, ZDB-CDNA-040425-696
V195,,FR_662,ankrd10a,,,,ENSDARG00000037100,,,ankyrin repeat domain 10a,NA,NA,regulation of canonical Wnt signaling pathway,,NR,N841 ,,NR,,T3,ACY9-ACY10,BC044376,1739,,2 nd sending,,,pME18S-FL3,ZDB-GENE-040426-700, ZDB-CDNA-040425-1626
V196,,FR_688,sap30bp,,,,ENSDARG00000031261,,,SAP30 binding protein,nucleus,molecular_function,"regulation of transcription, DNA-templated",,NR,N871 ,,NR,,T3,ACY9-ACY10,BC048030,1555,,2 nd sending,,,pME18S-FL3,ZDB-GENE-030131-457, ZDB-CDNA-040425-1091
V197,,FR_715,smc2,,,,ENSDARG00000017744,,,structural maintenance of chromosomes 2,condensin complex ; chromosome ; nucleus,ATP binding,chromosome organization ; mitotic chromosome condensation,,,N902,,linked to cell cycle / proliferation,,T3,ACY9-ACY10,BC044141,2467,1,5 th sending,,,pME18S-FL3,ZDB-GENE-030131-105, ZDB-CDNA-040425-371
V198,,FR_737,abhd17c,,,,ENSDARG00000058452,,,abhydrolase domain containing 17C,cellular_component,coenzyme F390-A hydrolase activity ; coenzyme F390-G hydrolase activity ; GPI-anchor transamidase activity ; hydrolase activity,NA,,NR,N931 ,,NR,,T3,ACY9-ACY10,BC045350,2807,,2 nd sending,,,pME18S-FL3,ZDB-GENE-040426-714, ZDB-CDNA-040425-1640
V199,,FR_767,spns1,,,,ENSDARG00000011925,,,spinster homolog 1 (Drosophila),lysosomal membrane ; mitochondrial inner membrane ; membrane ; mitochondrion ; vesicle ; integral component of membrane,sphingolipid transporter activity,cellular senescence ; locomotion ; sphingosine-1-phosphate signaling pathway ; autophagy ; lipid transport ; transport ; autophagosome maturation ; transmembrane transport,,,N962,,"G - ES : Ø
ES : notochord
MS - 48 h : YSL
5 d : YSL",,T3,ACY9-ACY10,BC048024,2614,1,5 th sending,,,pME18S-FL3,ZDB-GENE-020228-1, ZDB-CDNA-040425-877
V2,V407,CB100,sb:cb100,,,,,,,sb:cb100,,,,,,BS35,,"G : NR
ES : weak in  anterior neural plate and paraxial mesoderm
MS : retina, tectum
24 hrs : retina, tectum, ear, branchial arches
> Ø",,T7,PU-RP,BI850036,1.1,1,sending CB,,,pBSIISK+,ZDB-GENE-030131-9647,
V20,V443,CB922,sb:cb922,,,,,,,sb:cb922,,,,,,CG3127,,24hrs - late : epidermis (or evl) on top of the head,,T7,PU-RP,CF673262,0.8,2,sending CB,,,pBSIISK+,ZDB-GENE-031116-30,
V200,,FR_793,wdr82,A mammalian Set1A complex analogous to the yeast Set1/COMPASS histone H3-Lys4 methyltransferase complex has previously been identified. WDR82 is a regulatory component of the SET1 complex implicated in the tethering of this complex to transcriptional start sites of active genes.,,COMPASS,ENSDARG00000014083,epi,Histone modification write cofactor,WD repeat domain 82,intracellular ; nucleus,actin binding,NA,Histone methylation,NR,N991 ,,NR,17355966,T3,ACY9-ACY10,BC044174,1811,,5 th sending,#,#,pME18S-FL3,ZDB-GENE-030131-333, ZDB-CDNA-040425-1073
V201,,FR_822,homer3b,,,,ENSDARG00000010789,,,homer scaffolding protein 3,NA,G-protein coupled glutamate receptor binding,NA,,NR,N1021 ,,± NR,,T3,ACY9-ACY10,BC045383,3755,,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-739, ZDB-CDNA-040425-1665
V202,,FR_848,tmem117,,,,ENSDARG00000088356,,,transmembrane protein 117,membrane ; integral component of membrane,molecular_function,biological_process,,NR,N1051 ,,NR,,T3,ACY9-ACY10,BC045388,1824,,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-2809, ZDB-CDNA-040425-3756
V203,,FR_875,agk,,,,ENSDARG00000009837,,,acylglycerol kinase,mitochondrial membrane ; membrane ; mitochondrion,acylglycerol kinase activity ; transferase activity ; nucleotide binding ; ATP binding ; kinase activity,glycerolipid metabolic process ; phosphorylation,,NR,N1081 ,,"± NR weak, more in pectoral fin, liver (at 48 h)",,T3,ACY9-ACY10,BC045347,2496,,5 th sending,,,pME18S-FL3,ZDB-GENE-030131-6202, ZDB-CDNA-040425-1450
V204,,FR_902,sulf2a,,,,ENSDARG00000018423,,,sulfatase 2a,Golgi apparatus ; cell surface ; endoplasmic reticulum,sulfuric ester hydrolase activity ; catalytic activity ; calcium ion binding,metabolic process,,,N1111,,"G : Ø
Es : anterior neural plate (eye field), ventral neural plate
MS : telencephalon, ventral CNS +++, ventral posterior epidermis
24 : telencephalon ventricular zone, part of diencephalon, dorsal diencephalon, dorsal midbrain, tegmentum, ventral hindbrain, spinal chord, ventral epidermis
36 h : sam + one branchial arche
48 h : same, more in ventricular zone",,T3,ACY9-ACY10,BC045403,3668,4,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-759, ZDB-CDNA-040425-1685
V205,,FR_928,znf503,,,,ENSDARG00000018492,,,zinc finger protein 503,nucleus,"transcription factor activity, RNA polymerase II transcription factor binding ; metal ion binding ; nucleic acid binding ; protein binding","embryonic camera-type eye morphogenesis ; hindbrain development ; transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated",,,N1141,,"G : margin +++
ES : segmental plate, ventral mesoderm, anterior spinal chord, part of midbrain and diencephalon
MS : retina, diencephalon, midbrain, rhombomere 4, 5, 6, spinal chord, somites, branchial arches
24 h : hindbrain from rhombomere 4 to spinal chord, telencephalon and diencephalon ventricular zone, branchial arches, midbrain, retina, myotomes
36 h : hindbrain from rhombomere 4 to spinal chord, telencephalon and diencephalon ventricular zone, branchial arches, midbrain, retina, myotomes, tectum
48 h : forebrain, tectum, hindbrain, AER pectoral fin, branchial arches +++, spinal chord, retina ganglion cell layer.",,T3,ACY9-ACY10,BC044193,2209,4,6 th sending,,,pME18S-FL3,ZDB-GENE-031113-5, ZDB-CDNA-040425-586
V206,,FR_956,garem,,,,ENSDARG00000017242,,,"GRB2 associated, regulator of MAPK1",NA,proline-rich region binding,cellular response to epidermal growth factor stimulus ; positive regulation of cell division ; epidermal growth factor receptor signaling pathway ; positive regulation of cell proliferation ; positive regulation of ERK1 and ERK2 cascade,,NR,N1171 ,,NER more in ventral mesoderm at ES,,T3,ACY9-ACY10,BC045411,3054,,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-767, ZDB-CDNA-040425-1693
V207,,FR_4432,b4galt6,,,,ENSDARG00000010301,,,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2",Golgi apparatus ; membrane ; integral component of membrane,"galactosyltransferase activity ; transferase activity ; transferase activity, transferring glycosyl groups",protein glycosylation,,NR,N1202 ,,NR more in pancreas ≥ 24h ,,T3,ACY9-ACY10,BC046890,2.4,,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-2078, ZDB-CDNA-040425-1715
V208,,FR_4461,mark3a,,,,ENSDARG00000019345,,,MAP/microtubule affinity-regulating kinase 3a,cellular_component,transferase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; kinase activity,protein phosphorylation ; phosphorylation,,NR,N1231 ,,NR more in polster at ES,,T3,ACY9-ACY10,BC047179,3.5,,5 th sending,,,pME18S-FL3,ZDB-GENE-030131-6232, ZDB-CDNA-040425-1456
V209,,FR_4490,cyp2k22,,,,ENSDARG00000040433,,,"cytochrome P450, family 4, subfamily V, polypeptide 8",membrane ; integral component of membrane,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; iron ion binding ; metal ion binding ; monooxygenase activity ; heme binding ; oxidoreductase activity",oxidation-reduction process,,NR,N1261 ,,no staining,,T3,ACY9-ACY10,BC046898,2.1,,5 th sending,,,pME18S-FL3,ZDB-GENE-061103-601, ZDB-CDNA-040425-1750
V210,,FR_4517,hug,,,,ENSDARG00000101744,,,HuG,viral nucleocapsid ; virion ; intracellular ribonucleoprotein complex,nucleotide binding ; nucleic acid binding ; RNA binding,NA,,NR,N1291 ,,NR,,T3,ACY9-ACY10,BC045277,2.4,,5 th sending,,,pME18S-FL3,ZDB-GENE-000210-17, ZDB-CDNA-040425-393
V211,,FR_4543,cdc14b,,,,ENSDARG00000021483,,,cell division cycle 14B,condensed chromosome ; spindle ; nucleolus ; cytoplasm,protein tyrosine/serine/threonine phosphatase activity ; protein serine/threonine phosphatase activity ; protein tyrosine phosphatase activity ; hydrolase activity ; phosphatase activity,dephosphorylation ; protein dephosphorylation ; cell division ; cell cycle ; cilium assembly,,,N1321,,linked to cell proliferation / cell cycle,,T3,ACY9-ACY10,BC045476,2,2,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-820, ZDB-CDNA-040425-1748
