si:ch211-64i20.6 [Source:ZFIN;Acc:ZDB-GENE-141212-85]
si:ch73-365k7.1 [Source:ZFIN;Acc:ZDB-GENE-131121-304]
si:dkey-14d8.24 [Source:ZFIN;Acc:ZDB-GENE-131121-11]
si:dkey-14d8.24 [Source:ZFIN;Acc:ZDB-GENE-131121-11]
si:dkey-208k4.7 [Source:ZFIN;Acc:ZDB-GENE-060503-622]
si:dkey-208k4.7 [Source:ZFIN;Acc:ZDB-GENE-060503-622]
si:ch73-234b20.4 [Source:ZFIN;Acc:ZDB-GENE-090313-145]
abhydrolase domain containing 5a [Source:ZFIN;Acc:ZDB-GENE-070615-1]
abhydrolase domain containing 5a [Source:ZFIN;Acc:ZDB-GENE-070615-1]
si:ch211-277g23.5 [Source:ZFIN;Acc:ZDB-GENE-030131-7938]
si:ch211-277g23.5 [Source:ZFIN;Acc:ZDB-GENE-030131-7938]
si:ch211-42i6.1 [Source:ZFIN;Acc:ZDB-GENE-131121-394]
si:ch211-42i6.1 [Source:ZFIN;Acc:ZDB-GENE-131121-394]
si:ch211-250c4.9 [Source:ZFIN;Acc:ZDB-GENE-141216-193]
si:dkey-69n2.2 [Source:ZFIN;Acc:ZDB-GENE-141216-421]
si:dkey-22o12.6 [Source:ZFIN;Acc:ZDB-GENE-121214-126]
si:dkey-246j7.2 [Source:ZFIN;Acc:ZDB-GENE-141216-255]
si:ch211-152l15.1 [Source:ZFIN;Acc:ZDB-GENE-081104-133]
si:ch211-145d10.5 [Source:ZFIN;Acc:ZDB-GENE-090312-16]
si:ch211-285d14.9 [Source:ZFIN;Acc:ZDB-GENE-131121-444]
si:zfos-2566f7.2 [Source:ZFIN;Acc:ZDB-GENE-131121-344]
si:ch211-230k8.1 [Source:ZFIN;Acc:ZDB-GENE-131127-359]
si:dkey-183n20.2 [Source:ZFIN;Acc:ZDB-GENE-041001-153]
si:ch211-216b21.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1045]
si:ch211-216b21.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1045]
si:ch211-216b21.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1045]
si:ch211-216b21.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1045]
si:ch211-216b21.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1045]
si:ch211-216b21.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1045]
si:ch211-216b21.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1045]
si:dkey-22a24.7 [Source:ZFIN;Acc:ZDB-GENE-141211-59]
si:dkey-250a19.1 [Source:ZFIN;Acc:ZDB-GENE-131121-518]
si:dkey-250a19.1 [Source:ZFIN;Acc:ZDB-GENE-131121-518]
si:dkey-199m13.10 [Source:ZFIN;Acc:ZDB-GENE-141216-166]
si:ch73-95a24.1 [Source:ZFIN;Acc:ZDB-GENE-121214-219]
si:dkey-3e19.2 [Source:ZFIN;Acc:ZDB-GENE-141216-278]
si:dkey-22o12.7 [Source:ZFIN;Acc:ZDB-GENE-121214-4]
si:ch73-123f19.1 [Source:ZFIN;Acc:ZDB-GENE-130603-66]
si:ch73-123f19.2 [Source:ZFIN;Acc:ZDB-GENE-130603-24]
si:ch211-157e21.2 [Source:ZFIN;Acc:ZDB-GENE-070705-63]
si:ch211-132f21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-308]
si:dkey-14i9.1 [Source:ZFIN;Acc:ZDB-GENE-130603-4]
si:dkey-200j6.4 [Source:ZFIN;Acc:ZDB-GENE-110914-250]
si:dkey-101c24.2 [Source:ZFIN;Acc:ZDB-GENE-131127-440]
si:ch73-57a19.4 [Source:ZFIN;Acc:ZDB-GENE-141216-377]
si:dkey-200j6.5 [Source:ZFIN;Acc:ZDB-GENE-110914-195]
si:ch211-150o20.5 [Source:ZFIN;Acc:ZDB-GENE-120215-6]
si:ch211-123n6.1 [Source:ZFIN;Acc:ZDB-GENE-131121-232]
si:ch73-112l6.6 [Source:ZFIN;Acc:ZDB-GENE-131121-439]
si:ch73-112l6.6 [Source:ZFIN;Acc:ZDB-GENE-131121-439]
si:dkey-163i6.7 [Source:ZFIN;Acc:ZDB-GENE-091118-51]
si:rp71-1d10.7 [Source:ZFIN;Acc:ZDB-GENE-141216-394]
si:ch211-157e21.22 [Source:ZFIN;Acc:ZDB-GENE-070705-66]
si:dkey-219e24.7 [Source:ZFIN;Acc:ZDB-GENE-141216-455]
si:dkey-150h13.1 [Source:ZFIN;Acc:ZDB-GENE-130531-69]
si:ch211-10m5.2 [Source:ZFIN;Acc:ZDB-GENE-110914-145]
si:ch211-28p3.7 [Source:ZFIN;Acc:ZDB-GENE-130603-94]
si:ch211-10m5.3 [Source:ZFIN;Acc:ZDB-GENE-110914-168]
si:dkey-56m19.3 [Source:ZFIN;Acc:ZDB-GENE-141222-43]
si:rp71-1c10.7 [Source:ZFIN;Acc:ZDB-GENE-030131-7204]
si:ch211-69l10.2 [Source:ZFIN;Acc:ZDB-GENE-091204-42]
si:ch211-69l10.2 [Source:ZFIN;Acc:ZDB-GENE-091204-42]
si:ch211-241e1.6 [Source:ZFIN;Acc:ZDB-GENE-131127-67]
si:ch73-160p18.5 [Source:ZFIN;Acc:ZDB-GENE-141222-36]
si:ch73-160p18.5 [Source:ZFIN;Acc:ZDB-GENE-141222-36]
si:ch73-160p18.5 [Source:ZFIN;Acc:ZDB-GENE-141222-36]
si:ch73-160p18.5 [Source:ZFIN;Acc:ZDB-GENE-141222-36]
si:ch73-158e15.3 [Source:ZFIN;Acc:ZDB-GENE-141216-238]
si:ch211-13b16.1 [Source:ZFIN;Acc:ZDB-GENE-110411-98]
si:ch211-13b16.1 [Source:ZFIN;Acc:ZDB-GENE-110411-98]
si:ch211-13b16.1 [Source:ZFIN;Acc:ZDB-GENE-110411-98]
si:ch211-13b16.1 [Source:ZFIN;Acc:ZDB-GENE-110411-98]
si:ch211-170a17.1 [Source:ZFIN;Acc:ZDB-GENE-131127-306]
si:ch73-158e15.2 [Source:ZFIN;Acc:ZDB-GENE-141216-198]
si:ch211-188p14.8 [Source:ZFIN;Acc:ZDB-GENE-121214-109]
si:dkey-171n3.6 [Source:ZFIN;Acc:ZDB-GENE-160114-13]
si:ch73-286f12.1 [Source:ZFIN;Acc:ZDB-GENE-131121-221]
si:dkey-56m19.6 [Source:ZFIN;Acc:ZDB-GENE-141216-129]
si:ch211-132d3.5 [Source:ZFIN;Acc:ZDB-GENE-141222-93]
si:ch211-132d3.5 [Source:ZFIN;Acc:ZDB-GENE-141222-93]
si:ch73-158e15.1 [Source:ZFIN;Acc:ZDB-GENE-070705-210]
si:ch211-195d17.4 [Source:ZFIN;Acc:ZDB-GENE-130603-42]
si:dkey-108f8.7 [Source:ZFIN;Acc:ZDB-GENE-100922-147]
si:dkey-277i15.2 [Source:ZFIN;Acc:ZDB-GENE-141216-203]
si:ch1073-26e8.2 [Source:ZFIN;Acc:ZDB-GENE-141212-354]
si:ch211-215j19.7 [Source:ZFIN;Acc:ZDB-GENE-141212-192]
si:dkey-108f8.6 [Source:ZFIN;Acc:ZDB-GENE-100922-140]
si:ch211-132p20.5 [Source:ZFIN;Acc:ZDB-GENE-110411-65]
si:dkey-11n14.2 [Source:ZFIN;Acc:ZDB-GENE-131127-174]
si:ch73-242k11.2 [Source:ZFIN;Acc:ZDB-GENE-131122-27]
si:ch73-195j15.1 [Source:ZFIN;Acc:ZDB-GENE-131121-561]
si:ch211-128b10.8 [Source:ZFIN;Acc:ZDB-GENE-131126-63]
si:ch211-264g8.3 [Source:ZFIN;Acc:ZDB-GENE-131121-301]
si:ch211-243c14.6 [Source:ZFIN;Acc:ZDB-GENE-160114-51]
si:dkey-25g12.2 [Source:ZFIN;Acc:ZDB-GENE-131127-552]
si:dkey-190e14.2 [Source:ZFIN;Acc:ZDB-GENE-141216-157]
si:ch73-14h10.4 [Source:ZFIN;Acc:ZDB-GENE-141215-25]
si:ch211-132d3.4 [Source:ZFIN;Acc:ZDB-GENE-141216-148]
transmembrane protein 100b [Source:ZFIN;Acc:ZDB-GENE-110420-4]
transmembrane protein 100b [Source:ZFIN;Acc:ZDB-GENE-110420-4]
si:dkey-165a24.7 [Source:ZFIN;Acc:ZDB-GENE-160728-15]
im:7154473 [Source:ZFIN;Acc:ZDB-GENE-050309-277]
im:7154473 [Source:ZFIN;Acc:ZDB-GENE-050309-277]
im:7154473 [Source:ZFIN;Acc:ZDB-GENE-050309-277]
si:dkeyp-91h6.2 [Source:ZFIN;Acc:ZDB-GENE-131119-9]
si:ch211-139k8.2 [Source:ZFIN;Acc:ZDB-GENE-070912-67]
si:ch211-139k8.2 [Source:ZFIN;Acc:ZDB-GENE-070912-67]
si:ch73-171a6.2 [Source:ZFIN;Acc:ZDB-GENE-131121-481]
si:ch211-136a13.3 [Source:ZFIN;Acc:ZDB-GENE-131121-90]
si:ch211-80j13.1 [Source:ZFIN;Acc:ZDB-GENE-060503-513]
si:ch211-136a13.2 [Source:ZFIN;Acc:ZDB-GENE-050419-257]
si:dkey-53f14.4 [Source:ZFIN;Acc:ZDB-GENE-131120-93]
si:ch73-334l12.4 [Source:ZFIN;Acc:ZDB-GENE-131127-194]
si:dkey-126h10.2 [Source:ZFIN;Acc:ZDB-GENE-121214-343]
si:ch211-188p14.6 [Source:ZFIN;Acc:ZDB-GENE-121214-313]
si:ch211-160d14.11 [Source:ZFIN;Acc:ZDB-GENE-121214-238]
si:dkey-151m6.6 [Source:ZFIN;Acc:ZDB-GENE-131121-295]
si:rp71-42a14.2 [Source:ZFIN;Acc:ZDB-GENE-120709-29]
linc RNA mir30e-2 [Source:ZFIN;Acc:ZDB-GENE-141216-251]
si:ch211-155m12.5 [Source:ZFIN;Acc:ZDB-GENE-060526-52]
si:rp71-84b10.3 [Source:ZFIN;Acc:ZDB-GENE-141216-80]
si:ch211-145d10.7 [Source:ZFIN;Acc:ZDB-GENE-131121-246]
si:ch211-121d13.5 [Source:ZFIN;Acc:ZDB-GENE-131127-600]
si:ch211-160d14.9 [Source:ZFIN;Acc:ZDB-GENE-121214-65]
si:dkey-53f14.5 [Source:ZFIN;Acc:ZDB-GENE-131119-70]
si:ch211-157p5.4 [Source:ZFIN;Acc:ZDB-GENE-141216-388]
si:ch73-55c21.1 [Source:ZFIN;Acc:ZDB-GENE-141216-339]
si:ch211-160d14.12 [Source:ZFIN;Acc:ZDB-GENE-121214-38]
si:ch211-160d14.12 [Source:ZFIN;Acc:ZDB-GENE-121214-38]
si:ch73-65n21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-526]
si:dkeyp-91h6.3 [Source:ZFIN;Acc:ZDB-GENE-131120-195]
si:dkey-197a4.1 [Source:ZFIN;Acc:ZDB-GENE-131122-30]
si:ch73-65n21.2 [Source:ZFIN;Acc:ZDB-GENE-131121-355]
si:ch73-65n21.3 [Source:ZFIN;Acc:ZDB-GENE-131121-372]
si:ch211-117k16.4 [Source:ZFIN;Acc:ZDB-GENE-131127-96]
si:ch211-253h3.2 [Source:ZFIN;Acc:ZDB-GENE-070705-147]
si:dkeyp-44b5.2 [Source:ZFIN;Acc:ZDB-GENE-120709-6]
microRNA 724 [Source:ZFIN;Acc:ZDB-GENE-090929-302]
si:dkey-33g13.1 [Source:ZFIN;Acc:ZDB-GENE-130603-103]
si:dkey-33g13.1 [Source:ZFIN;Acc:ZDB-GENE-130603-103]
si:ch211-253h3.3 [Source:ZFIN;Acc:ZDB-GENE-141211-71]
si:ch211-229g11.6 [Source:ZFIN;Acc:ZDB-GENE-131121-515]
si:ch211-229g11.6 [Source:ZFIN;Acc:ZDB-GENE-131121-515]
si:ch211-79h15.3 [Source:ZFIN;Acc:ZDB-GENE-141212-390]
si:dkey-240k8.2 [Source:ZFIN;Acc:ZDB-GENE-131121-223]
si:dkeyp-107f9.3 [Source:ZFIN;Acc:ZDB-GENE-120709-20]
si:ch211-253h3.4 [Source:ZFIN;Acc:ZDB-GENE-141211-64]
si:dkey-248g17.3 [Source:ZFIN;Acc:ZDB-GENE-100922-161]
si:dkey-248g17.3 [Source:ZFIN;Acc:ZDB-GENE-100922-161]
si:dkey-248g17.3 [Source:ZFIN;Acc:ZDB-GENE-100922-161]
si:dkey-27k4.4 [Source:ZFIN;Acc:ZDB-GENE-160728-19]
si:dkey-154p10.5 [Source:ZFIN;Acc:ZDB-GENE-131127-314]
si:ch211-214n22.1 [Source:ZFIN;Acc:ZDB-GENE-131121-274]
si:dkey-240k8.1 [Source:ZFIN;Acc:ZDB-GENE-131127-446]
si:ch211-233f10.7 [Source:ZFIN;Acc:ZDB-GENE-131121-436]
si:ch211-285i13.1 [Source:ZFIN;Acc:ZDB-GENE-131121-614]
si:ch211-285i13.1 [Source:ZFIN;Acc:ZDB-GENE-131121-614]
si:ch211-285i13.1 [Source:ZFIN;Acc:ZDB-GENE-131121-614]
si:ch211-203h15.7 [Source:ZFIN;Acc:ZDB-GENE-131127-230]
si:ch211-170i2.2 [Source:ZFIN;Acc:ZDB-GENE-090313-57]
si:ch211-170i2.2 [Source:ZFIN;Acc:ZDB-GENE-090313-57]
si:ch211-170i2.2 [Source:ZFIN;Acc:ZDB-GENE-090313-57]
si:ch211-170i2.2 [Source:ZFIN;Acc:ZDB-GENE-090313-57]
si:dkey-172o7.1 [Source:ZFIN;Acc:ZDB-GENE-120215-184]
si:dkey-103k8.4 [Source:ZFIN;Acc:ZDB-GENE-131121-305]
si:ch211-221e5.1 [Source:ZFIN;Acc:ZDB-GENE-130531-5]
si:dkey-70b24.7 [Source:ZFIN;Acc:ZDB-GENE-110914-239]
si:ch211-285i13.2 [Source:ZFIN;Acc:ZDB-GENE-131121-586]
si:ch211-152f22.2 [Source:ZFIN;Acc:ZDB-GENE-130603-75]
si:ch211-152f22.2 [Source:ZFIN;Acc:ZDB-GENE-130603-75]
si:ch211-236d3.3 [Source:ZFIN;Acc:ZDB-GENE-141216-89]
si:dkey-172h23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-77]
si:dkey-172h23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-77]
si:ch73-54f23.3 [Source:ZFIN;Acc:ZDB-GENE-160113-24]
si:ch211-93g23.3 [Source:ZFIN;Acc:ZDB-GENE-121214-225]
si:ch211-208g12.1 [Source:ZFIN;Acc:ZDB-GENE-131121-93]
si:ch211-208g12.1 [Source:ZFIN;Acc:ZDB-GENE-131121-93]
si:dkey-45d22.2 [Source:ZFIN;Acc:ZDB-GENE-141222-63]
si:dkey-45d22.2 [Source:ZFIN;Acc:ZDB-GENE-141222-63]
si:dkey-245i2.17 [Source:ZFIN;Acc:ZDB-GENE-141216-111]
si:dkey-27k4.6 [Source:ZFIN;Acc:ZDB-GENE-160728-120]
si:ch211-45m15.6 [Source:ZFIN;Acc:ZDB-GENE-121214-345]
si:dkey-100n23.4 [Source:ZFIN;Acc:ZDB-GENE-070912-346]
si:dkey-100n23.4 [Source:ZFIN;Acc:ZDB-GENE-070912-346]
si:dkey-72l17.8 [Source:ZFIN;Acc:ZDB-GENE-110914-155]
si:dkey-30f11.2 [Source:ZFIN;Acc:ZDB-GENE-131127-99]
si:dkey-27k4.5 [Source:ZFIN;Acc:ZDB-GENE-160728-102]
si:dkey-109a10.1 [Source:ZFIN;Acc:ZDB-GENE-141212-360]
si:ch1073-249f22.1 [Source:ZFIN;Acc:ZDB-GENE-131120-87]
si:dkey-224a6.4 [Source:ZFIN;Acc:ZDB-GENE-131127-393]
si:dkey-30f11.3 [Source:ZFIN;Acc:ZDB-GENE-131121-509]
si:dkey-30f11.3 [Source:ZFIN;Acc:ZDB-GENE-131121-509]
si:dkey-30f11.3 [Source:ZFIN;Acc:ZDB-GENE-131121-509]
si:ch1073-235m4.3 [Source:ZFIN;Acc:ZDB-GENE-141216-217]
si:dkey-24m12.2 [Source:ZFIN;Acc:ZDB-GENE-090716-1]
si:ch211-214g1.4 [Source:ZFIN;Acc:ZDB-GENE-131127-615]
si:dkey-203c4.2 [Source:ZFIN;Acc:ZDB-GENE-090313-226]
si:ch211-117l17.3 [Source:ZFIN;Acc:ZDB-GENE-110914-197]
si:ch73-223i23.1 [Source:ZFIN;Acc:ZDB-GENE-141216-90]
si:ch211-141o18.2 [Source:ZFIN;Acc:ZDB-GENE-141216-484]
si:ch73-156f22.2 [Source:ZFIN;Acc:ZDB-GENE-131127-75]
si:ch211-149f21.3 [Source:ZFIN;Acc:ZDB-GENE-131121-251]
si:ch73-30b17.3 [Source:ZFIN;Acc:ZDB-GENE-131120-65]
si:dkey-76c17.1 [Source:ZFIN;Acc:ZDB-GENE-160728-84]
si:dkey-76c17.3 [Source:ZFIN;Acc:ZDB-GENE-160728-27]
si:ch211-207c15.7 [Source:ZFIN;Acc:ZDB-GENE-120215-197]
si:dkey-125i20.2 [Source:ZFIN;Acc:ZDB-GENE-060526-62]
si:dkeyp-116h7.4 [Source:ZFIN;Acc:ZDB-GENE-131121-115]
si:dkeyp-116h7.2 [Source:ZFIN;Acc:ZDB-GENE-080225-30]
si:ch211-208a5.5 [Source:ZFIN;Acc:ZDB-GENE-141216-235]
si:dkey-188e21.1 [Source:ZFIN;Acc:ZDB-GENE-141216-109]
si:ch211-197e7.7 [Source:ZFIN;Acc:ZDB-GENE-131125-43]
si:ch211-159e12.10 [Source:ZFIN;Acc:ZDB-GENE-131127-484]
si:dkeyp-84f3.10 [Source:ZFIN;Acc:ZDB-GENE-131127-490]
si:ch73-234i15.7 [Source:ZFIN;Acc:ZDB-GENE-141216-246]
si:dkey-11k1.3 [Source:ZFIN;Acc:ZDB-GENE-131121-364]
si:dkey-11p23.12 [Source:ZFIN;Acc:ZDB-GENE-110914-247]
si:dkey-178o8.2 [Source:ZFIN;Acc:ZDB-GENE-090311-39]
si:dkey-49c17.2 [Source:ZFIN;Acc:ZDB-GENE-130603-52]
si:dkey-8o15.2 [Source:ZFIN;Acc:ZDB-GENE-141222-52]
si:dkey-8o15.2 [Source:ZFIN;Acc:ZDB-GENE-141222-52]
si:dkey-82f1.1 [Source:ZFIN;Acc:ZDB-GENE-030131-2982]
si:dkey-82f1.1 [Source:ZFIN;Acc:ZDB-GENE-030131-2982]
si:dkey-82f1.1 [Source:ZFIN;Acc:ZDB-GENE-030131-2982]
si:dkey-82f1.1 [Source:ZFIN;Acc:ZDB-GENE-030131-2982]
si:dkey-148e3.2 [Source:ZFIN;Acc:ZDB-GENE-121214-332]
si:dkeyp-34b8.1 [Source:ZFIN;Acc:ZDB-GENE-131121-193]
si:dkeyp-34b8.1 [Source:ZFIN;Acc:ZDB-GENE-131121-193]
si:ch1073-329i9.1 [Source:ZFIN;Acc:ZDB-GENE-141216-155]
si:ch211-201m7.7 [Source:ZFIN;Acc:ZDB-GENE-131121-200]
si:dkey-224j12.6 [Source:ZFIN;Acc:ZDB-GENE-141216-480]
si:ch73-234i15.3 [Source:ZFIN;Acc:ZDB-GENE-141222-5]
si:ch73-234i15.3 [Source:ZFIN;Acc:ZDB-GENE-141222-5]
si:ch211-244l7.1 [Source:ZFIN;Acc:ZDB-GENE-081104-196]
si:ch211-244l7.1 [Source:ZFIN;Acc:ZDB-GENE-081104-196]
si:ch211-160m12.3 [Source:ZFIN;Acc:ZDB-GENE-131127-644]
si:ch211-200p22.5 [Source:ZFIN;Acc:ZDB-GENE-160728-100]
si:ch211-7c8.1 [Source:ZFIN;Acc:ZDB-GENE-141216-446]
si:dkey-110g7.9 [Source:ZFIN;Acc:ZDB-GENE-131127-592]
si:ch211-190h11.3 [Source:ZFIN;Acc:ZDB-GENE-160114-1]
T cell receptor beta constant 1 [Source:ZFIN;Acc:ZDB-GENE-101111-4]
T cell receptor beta constant 1 [Source:ZFIN;Acc:ZDB-GENE-101111-4]
si:dkey-202b22.7 [Source:ZFIN;Acc:ZDB-GENE-131127-270]
si:dkey-111f13.3 [Source:ZFIN;Acc:ZDB-GENE-160728-124]
si:dkey-53i3.1 [Source:ZFIN;Acc:ZDB-GENE-131127-273]
si:ch211-15l16.3 [Source:ZFIN;Acc:ZDB-GENE-120215-206]
si:ch211-15l16.3 [Source:ZFIN;Acc:ZDB-GENE-120215-206]
si:ch211-15l16.3 [Source:ZFIN;Acc:ZDB-GENE-120215-206]
si:dkeyp-59c12.2 [Source:ZFIN;Acc:ZDB-GENE-131121-635]
si:dkeyp-67e6.3 [Source:ZFIN;Acc:ZDB-GENE-130531-19]
si:ch73-358l22.2 [Source:ZFIN;Acc:ZDB-GENE-131127-302]
si:ch211-276i12.12 [Source:ZFIN;Acc:ZDB-GENE-160113-23]
si:ch73-106k19.8 [Source:ZFIN;Acc:ZDB-GENE-160114-10]
si:ch73-106k19.8 [Source:ZFIN;Acc:ZDB-GENE-160114-10]
si:dkeyp-73a2.2 [Source:ZFIN;Acc:ZDB-GENE-090313-390]
metastasis associated lung adenocarcinoma transcript 1 [Source:ZFIN;Acc:ZDB-GENE-141216-248]
si:dkey-192l17.3 [Source:ZFIN;Acc:ZDB-GENE-131127-204]
si:ch211-280a10.2 [Source:ZFIN;Acc:ZDB-GENE-131126-75]
si:ch1073-216f23.1 [Source:ZFIN;Acc:ZDB-GENE-141216-410]
microRNA 142b [Source:ZFIN;Acc:ZDB-GENE-090929-152]
si:ch211-280a10.1 [Source:ZFIN;Acc:ZDB-GENE-131121-254]
si:ch211-278f21.5 [Source:ZFIN;Acc:ZDB-GENE-121214-280]
si:dkey-48g21.5 [Source:ZFIN;Acc:ZDB-GENE-141212-287]
si:dkey-48g21.7 [Source:ZFIN;Acc:ZDB-GENE-050309-95]
si:dkey-48g21.7 [Source:ZFIN;Acc:ZDB-GENE-050309-95]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-222m2.1 [Source:ZFIN;Acc:ZDB-GENE-070705-118]
si:ch211-112b1.4 [Source:ZFIN;Acc:ZDB-GENE-131127-114]
si:zfos-975f7.1 [Source:ZFIN;Acc:ZDB-GENE-141216-435]
si:ch73-65a8.1 [Source:ZFIN;Acc:ZDB-GENE-131127-349]
si:ch211-142k18.1 [Source:ZFIN;Acc:ZDB-GENE-040724-248]
si:ch1073-121p1.1 [Source:ZFIN;Acc:ZDB-GENE-141216-482]
si:ch211-248a16.3 [Source:ZFIN;Acc:ZDB-GENE-131121-452]
si:rp71-3c13.3 [Source:ZFIN;Acc:ZDB-GENE-030616-68]
si:rp71-3c13.3 [Source:ZFIN;Acc:ZDB-GENE-030616-68]
si:rp71-3c13.3 [Source:ZFIN;Acc:ZDB-GENE-030616-68]
si:ch73-166c6.2 [Source:ZFIN;Acc:ZDB-GENE-131127-565]
si:ch73-25e21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-412]
si:dkey-18b8.8 [Source:ZFIN;Acc:ZDB-GENE-131127-315]
si:dkey-150k17.3 [Source:ZFIN;Acc:ZDB-GENE-120215-144]
si:dkey-150k17.3 [Source:ZFIN;Acc:ZDB-GENE-120215-144]
si:dkey-150k17.3 [Source:ZFIN;Acc:ZDB-GENE-120215-144]
si:ch73-106k19.9 [Source:ZFIN;Acc:ZDB-GENE-160114-9]
si:ch73-140j24.3 [Source:ZFIN;Acc:ZDB-GENE-131127-318]
si:ch211-7c8.2 [Source:ZFIN;Acc:ZDB-GENE-141222-98]
si:ch211-7c8.2 [Source:ZFIN;Acc:ZDB-GENE-141222-98]
si:dkey-110g7.10 [Source:ZFIN;Acc:ZDB-GENE-131127-320]
si:rp71-62i8.2 [Source:ZFIN;Acc:ZDB-GENE-131120-118]
si:rp71-62i8.3 [Source:ZFIN;Acc:ZDB-GENE-131125-27]
si:ch73-305a18.1 [Source:ZFIN;Acc:ZDB-GENE-131127-494]
si:ch211-222h17.8 [Source:ZFIN;Acc:ZDB-GENE-060503-498]
si:ch211-203l7.3 [Source:ZFIN;Acc:ZDB-GENE-091204-366]
si:ch211-203l7.3 [Source:ZFIN;Acc:ZDB-GENE-091204-366]
si:dkey-207j16.3 [Source:ZFIN;Acc:ZDB-GENE-041210-337]
si:dkey-207j16.3 [Source:ZFIN;Acc:ZDB-GENE-041210-337]
si:ch211-198k9.12 [Source:ZFIN;Acc:ZDB-GENE-121214-274]
si:dkeyp-13a3.6 [Source:ZFIN;Acc:ZDB-GENE-070912-637]
si:dkeyp-13a3.6 [Source:ZFIN;Acc:ZDB-GENE-070912-637]
si:dkeyp-13a3.6 [Source:ZFIN;Acc:ZDB-GENE-070912-637]
si:dkeyp-13a3.6 [Source:ZFIN;Acc:ZDB-GENE-070912-637]
si:ch211-1f22.17 [Source:ZFIN;Acc:ZDB-GENE-121214-303]
si:dkey-25c4.1 [Source:ZFIN;Acc:ZDB-GENE-070912-479]
si:dkey-196j8.3 [Source:ZFIN;Acc:ZDB-GENE-081107-59]
si:dkey-54g2.5 [Source:ZFIN;Acc:ZDB-GENE-121214-80]
si:dkey-54g2.6 [Source:ZFIN;Acc:ZDB-GENE-121214-211]
si:ch211-163b2.2 [Source:ZFIN;Acc:ZDB-GENE-081105-152]
si:ch211-202n12.5 [Source:ZFIN;Acc:ZDB-GENE-121214-28]
si:ch211-202n12.5 [Source:ZFIN;Acc:ZDB-GENE-121214-28]
si:ch73-239g21.1 [Source:ZFIN;Acc:ZDB-GENE-131121-236]
si:ch211-198e20.7 [Source:ZFIN;Acc:ZDB-GENE-131121-528]
zgc:136683 [Source:ZFIN;Acc:ZDB-GENE-060421-7397]
si:dkeyp-87d8.9 [Source:ZFIN;Acc:ZDB-GENE-120215-161]
si:dkey-153k10.14 [Source:ZFIN;Acc:ZDB-GENE-110914-198]
si:dkey-27e18.3 [Source:ZFIN;Acc:ZDB-GENE-131121-271]
si:dkey-27e18.3 [Source:ZFIN;Acc:ZDB-GENE-131121-271]
si:dkey-27e18.3 [Source:ZFIN;Acc:ZDB-GENE-131121-271]
si:dkey-27e18.3 [Source:ZFIN;Acc:ZDB-GENE-131121-271]
si:dkey-27e18.3 [Source:ZFIN;Acc:ZDB-GENE-131121-271]
si:dkey-24g18.4 [Source:ZFIN;Acc:ZDB-GENE-131121-602]
si:ch211-142d6.1 [Source:ZFIN;Acc:ZDB-GENE-141216-290]
si:cabz01078388.1 [Source:ZFIN;Acc:ZDB-GENE-160727-13]
si:ch211-198e20.8 [Source:ZFIN;Acc:ZDB-GENE-131127-612]
si:ch211-287i21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-501]
si:ch211-202n12.4 [Source:ZFIN;Acc:ZDB-GENE-121214-53]
si:ch211-202n12.4 [Source:ZFIN;Acc:ZDB-GENE-121214-53]
si:ch73-374e19.2 [Source:ZFIN;Acc:ZDB-GENE-131127-647]
si:ch1073-111a5.3 [Source:ZFIN;Acc:ZDB-GENE-091204-135]
si:ch211-229i10.1 [Source:ZFIN;Acc:ZDB-GENE-131121-362]
si:ch211-229i10.1 [Source:ZFIN;Acc:ZDB-GENE-131121-362]
si:ch211-224m9.4 [Source:ZFIN;Acc:ZDB-GENE-081104-185]
microtubule associated serine/threonine kinase family member 4 [Source:ZFIN;Acc:ZDB-GENE-070912-336]
